XINPUT1_3.dll                      0x000000400000
steam_api64.dll                    0x0000744B0000
X3DAudio1_7.dll                    0x0000744F0000
d3d11.dll                          0x000180000000
SprintStutteringFix.dll            0x02CCA0350000
MSCTF.dll                          0x02CCEF050000
tbb.dll                            0x02CCFD550000
tbbmalloc.dll                      0x02CCFD5D0000
clbcatq.dll                        0x02CDE2190000
Fallout4.exe                       0x7FF77D7C0000
nvcuda64.dll                       0x7FFCBDB00000
d3dcompiler_47_64.dll              0x7FFCBE4B0000
NvCamera64.dll                     0x7FFCBE8C0000
d3dcompiler_46e.dll                0x7FFCC6560000
gameoverlayrenderer64.dll          0x7FFCC6920000
SUP_F4SE.dll                       0x7FFCC6AB0000
steamclient64.dll                  0x7FFCC7910000
wsfw_identifier.dll                0x7FFCEDC70000
ScreenArcherMenu.dll               0x7FFCEDD70000
KiLoaderSatelliteENB.dllplugin     0x7FFCEE2C0000
XDI.dll                            0x7FFCEE5F0000
SAF.dll                            0x7FFCEE660000
RobCo_Patcher.dll                  0x7FFCEEB40000
NAF.dll                            0x7FFCEEC30000
SprintSpeedController.dll          0x7FFCEFC30000
PowerGridTools.dll                 0x7FFCF0870000
LighthousePapyrusExtender.dll      0x7FFCF08E0000
po3_SimpleOffenceSuppressionF4.dll 0x7FFCF3850000
Outfit-ReDress-Fix.dll             0x7FFCF3970000
KiENBExtender.dll                  0x7FFCF39C0000
LongLoadingTimesFix.dll            0x7FFD0E160000
KiLoader.dll                       0x7FFD0E1C0000
KiLoaderSatelliteF4SE.dll          0x7FFD0E250000
HHS.dll                            0x7FFD0E2A0000
CONCRT140.dll                      0x7FFD0E720000
Interior-NavCut-Fix.dll            0x7FFD0E770000
GLXRM_UnleveledWorld.dll           0x7FFD0E7C0000
GLXRM_SprintOverhaul.dll           0x7FFD16F50000
GLXRM_ScalingFlagRemover.dll       0x7FFD16FA0000
f4pm.dll                           0x7FFD16FF0000
f4ee.dll                           0x7FFD17060000
CookableGrenade.dll                0x7FFD17170000
cbp.dll                            0x7FFD171C0000
BodyPartsUI.dll                    0x7FFD17240000
BlockingOverhaul.dll               0x7FFD17290000
BakaLevelUpMenu.dll                0x7FFD172E0000
