XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000051F80000
steam_api64.dll                    0x000051F90000
LL_fourPlay_1_10_163.dll           0x000180000000
Fallout4.exe                       0x7FF7875C0000
nvwgf2umx.dll                      0x7FF822A60000
nvldumdx.dll                       0x7FF833A90000
ResampleDmo.DLL                    0x7FF84B3D0000
DSOUND.DLL                         0x7FF84B490000
nvspcap64.dll                      0x7FF8863C0000
gameoverlayrenderer64.dll          0x7FF8866A0000
XDI.dll                            0x7FF886990000
wsfw_identifier.dll                0x7FF886A00000
RobCo_Patcher.dll                  0x7FF886B00000
po3_SpellPerkItemDistributorF4.dll 0x7FF886BF0000
mcm.dll                            0x7FF886D00000
HHS.dll                            0x7FF886DA0000
f4ee.dll                           0x7FF886E90000
Buffout4.dll                       0x7FF886FA0000
BakaScrapHeap.dll                  0x7FF8872C0000
BakaFramework.dll                  0x7FF887390000
tier0_s64.dll                      0x7FF887480000
steamclient64.dll                  0x7FF887620000
IPHLPAPI.DLL                       0x7FF888C50000
ProjectMojave.dll                  0x7FF88C860000
place.dll                          0x7FF88F060000
HighFPSPhysicsFix.dll              0x7FF898450000
PowerGridTools.dll                 0x7FF898700000
FavoritesMenuEx.dll                0x7FF898820000
F4z Ro D'oh.dll                    0x7FF89CED0000
cbp.dll                            0x7FF89D040000
f4se_1_10_163.dll                  0x7FF89E4D0000
GFSDK_SSAO_D3D11.win64.dll         0x7FF89E5B0000
cudart64_75.dll                    0x7FF8A1280000
symamsi.dll                        0x7FF8A4430000
ConsoleUtilF4.dll                  0x7FF8A4570000
msdmo.dll                          0x7FF8A5E10000
ncryptsslp.dll                     0x7FF8A6210000
GFSDK_GodraysLib.x64.dll           0x7FF8A62A0000
flexRelease_x64.dll                0x7FF8A6300000
MSVCR110.dll                       0x7FF8A6450000
MSVCP110.dll                       0x7FF8A6A20000
bink2w64.dll                       0x7FF8A6AD0000
XAudio2_7.dll                      0x7FF8A6F20000
flexExtRelease_x64.dll             0x7FF8A7290000
enbhelperf4.dll                    0x7FF8A7B30000
BodyPartsUI.dll                    0x7FF8A7B70000
achievements.dll                   0x7FF8A7BC0000
vstdlib_s64.dll                    0x7FF8A7D80000
OneCoreCommonProxyStub.dll         0x7FF8AD280000
MessageBus.dll                     0x7FF8B3BF0000
WINSPOOL.DRV                       0x7FF8B58E0000
MSIMG32.dll                        0x7FF8B5A00000
Windows.UI.dll                     0x7FF8B61C0000
VCRUNTIME140_1.dll                 0x7FF8B87C0000
MSVCP140.dll                       0x7FF8B87D0000
VCRUNTIME140.dll                   0x7FF8B8860000
COMCTL32.dll                       0x7FF8B9F30000
WeaponDebrisCrashFix.dll           0x7FF8BE670000
SprintStutteringFix.dll            0x7FF8BF710000
webio.dll                          0x7FF8BF960000
winmmbase.dll                      0x7FF8C0A40000
MpOav.dll                          0x7FF8C3320000
amsi.dll                           0x7FF8C33F0000
wbemsvc.dll                        0x7FF8C54E0000
fastprox.dll                       0x7FF8C5500000
textinputframework.dll             0x7FF8C66E0000
wbemcomn.dll                       0x7FF8C6880000
AUDIOSES.DLL                       0x7FF8C7280000
nvapi64.dll                        0x7FF8C7730000
igc64.dll                          0x7FF8C8690000
igdgmm64.dll                       0x7FF8CAA90000
MMDevApi.dll                       0x7FF8CB470000
rasadhlp.dll                       0x7FF8CB650000
OneCoreUAPCommonProxyStub.dll      0x7FF8CB7A0000
igd10iumd64.dll                    0x7FF8CC2C0000
f4se_steam_loader.dll              0x7FF8CD7A0000
wbemprox.dll                       0x7FF8CDCB0000
fwpuclnt.dll                       0x7FF8CDE40000
drvstore.dll                       0x7FF8CDF50000
cryptnet.dll                       0x7FF8CE130000
dhcpcsvc.DLL                       0x7FF8CF3A0000
dhcpcsvc6.DLL                      0x7FF8CF5C0000
WINMM.dll                          0x7FF8CF630000
CoreUIComponents.dll               0x7FF8CFAD0000
WINHTTP.dll                        0x7FF8CFF80000
VERSION.dll                        0x7FF8D0450000
avrt.dll                           0x7FF8D08B0000
nvToolsExt64_1.dll                 0x7FF8D1080000
directxdatabasehelper.dll          0x7FF8D10E0000
MSVCP140_ATOMIC_WAIT.dll           0x7FF8D11C0000
