XINPUT1_3.dll               0x000000400000
X3DAudio1_7.dll             0x00006D7E0000
LL_fourPlay_1_10_163.dll    0x000180000000
sfc.dll                     0x01BC63F10000
Fallout4.exe                0x7FF75CFB0000
nvoglv64.dll                0x7FFB316D0000
nvapi64.dll                 0x7FFB416E0000
DSOUND.DLL                  0x7FFB46190000
XAudio2_7.dll               0x7FFB46230000
Buffout4.dll                0x7FFB4CB70000
AcLayers.DLL                0x7FFB4CED0000
opengl32.dll                0x7FFB4E150000
wsfw_identifier.dll         0x7FFB4EDE0000
RobCo_Patcher.dll           0x7FFB4EEE0000
SprintSpeedController.dll   0x7FFB4F0E0000
RustyFaceFix.dll            0x7FFB4F130000
d3d11.dll                   0x7FFB4F180000
nvspcap64.dll               0x7FFB4F340000
rename_anything.dll         0x7FFB502D0000
f4ee.dll                    0x7FFB50320000
NVIDIA_Reflex.dll           0x7FFB50A50000
mcm.dll                     0x7FFB50C00000
EscapeFreeze.dll            0x7FFB50CA0000
ClassicHolsteredWeapons.dll 0x7FFB51200000
PowerGridTools.dll          0x7FFB517A0000
BulletCountedReload.dll     0x7FFB51910000
Outfit-ReDress-Fix.dll      0x7FFB56340000
BakaScrapHeap.dll           0x7FFB56390000
AutoBeam.dll                0x7FFB56460000
flexRelease_x64.dll         0x7FFB56CD0000
GLU32.dll                   0x7FFB58670000
CHW_ASS.dll                 0x7FFB5A160000
achievements.dll            0x7FFB5A1B0000
f4se_1_10_163.dll           0x7FFB5A260000
vulkan-1.dll                0x7FFB5A3B0000
cudart64_75.dll             0x7FFB5AE80000
GFSDK_SSAO_D3D11.win64.dll  0x7FFB5AEE0000
MSVCR110.dll                0x7FFB5AF70000
MSVCP110.dll                0x7FFB5B050000
steam_api64.dll             0x7FFB5CAE0000
GFSDK_GodraysLib.x64.dll    0x7FFB71400000
dxgi.dll                    0x7FFB76750000
f4se_steam_loader.dll       0x7FFB78530000
MPR.dll                     0x7FFB7AA30000
bink2w64.dll                0x7FFB7B4F0000
winmmbase.dll               0x7FFB7B8F0000
WeaponDebrisCrashFix.dll    0x7FFB7C0D0000
cryptnet.dll                0x7FFB7D040000
mskeyprotect.dll            0x7FFB7D150000
ncryptsslp.dll              0x7FFB7D300000
MSVCP140.dll                0x7FFB7ED20000
VCRUNTIME140.dll            0x7FFB7EDB0000
VCRUNTIME140_1.dll          0x7FFB7F470000
dbghelp.dll                 0x7FFB7F560000
webio.dll                   0x7FFB80510000
WINMM.dll                   0x7FFB81740000
