XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000055850000
steam_api64.dll               0x000055860000
LL_fourPlay_1_10_163.dll      0x000180000000
Buffout4.dll                  0x028302120000
wintrust.dll                  0x02832B2D0000
d3dcompiler_47_64.dll         0x028330090000
Fallout4.exe                  0x7FF7B1BE0000
MpOav.dll                     0x7FF803B60000
mskeyprotect.dll              0x7FF805800000
ncryptsslp.dll                0x7FF8058A0000
XINPUT9_1_0.dll               0x7FF8067E0000
nvToolsExt64_1.dll            0x7FF8070F0000
nvspcap64.dll                 0x7FF80AC60000
Windows.UI.dll                0x7FF80AF40000
DSOUND.DLL                    0x7FF80B770000
inputhost.dll                 0x7FF80B9C0000
textinputframework.dll        0x7FF80D150000
Secur32.dll                   0x7FF80E540000
MessageBus.dll                0x7FF80EF30000
MSVCP140.dll                  0x7FF80F6E0000
nvwgf2umx.dll                 0x7FF80FBA0000
VCRUNTIME140_1.dll            0x7FF815340000
VCRUNTIME140.dll              0x7FF815350000
COMCTL32.dll                  0x7FF815E00000
webio.dll                     0x7FF817210000
rasadhlp.dll                  0x7FF819380000
fwpuclnt.dll                  0x7FF8194F0000
winmmbase.dll                 0x7FF819E80000
nvgpucomp64.dll               0x7FF81A4D0000
nvldumdx.dll                  0x7FF81C930000
dxcore.dll                    0x7FF81CA20000
OneCoreUAPCommonProxyStub.dll 0x7FF81D250000
twinapi.appcore.dll           0x7FF81E120000
WindowManagementAPI.dll       0x7FF81E350000
amsi.dll                      0x7FF81EA50000
wbemsvc.dll                   0x7FF81EC50000
fastprox.dll                  0x7FF81EC70000
MessageBus.dll                0x7FF81EE00000
wbemcomn.dll                  0x7FF81F7D0000
wbemprox.dll                  0x7FF81F860000
nvapi64.dll                   0x7FF820430000
WINMM.dll                     0x7FF820F30000
WINHTTP.dll                   0x7FF822B10000
dhcpcsvc6.DLL                 0x7FF822FF0000
MMDevApi.dll                  0x7FF823010000
AUDIOSES.DLL                  0x7FF8231C0000
drvstore.dll                  0x7FF823B90000
dhcpcsvc.DLL                  0x7FF823DF0000
cryptnet.dll                  0x7FF823E10000
VERSION.dll                   0x7FF824010000
WINNSI.DLL                    0x7FF824170000
dcomp.dll                     0x7FF824640000
CoreUIComponents.dll          0x7FF824BB0000
CoreMessaging.dll             0x7FF824F10000
wintypes.dll                  0x7FF825820000
PROPSYS.dll                   0x7FF826020000
WindowsCodecs.dll             0x7FF8262E0000
uxtheme.dll                   0x7FF826540000
resourcepolicyclient.dll      0x7FF8266C0000
dwmapi.dll                    0x7FF8267C0000
windows.storage.dll           0x7FF827250000
HID.DLL                       0x7FF827CC0000
dbghelp.dll                   0x7FF827D90000
d3d11.dll                     0x7FF827F80000
avrt.dll                      0x7FF828200000
kernel.appcore.dll            0x7FF828270000
dxgi.dll                      0x7FF828290000
schannel.DLL                  0x7FF828940000
rsaenh.dll                    0x7FF828A30000
ntmarta.dll                   0x7FF828B50000
UMPDC.dll                     0x7FF828E10000
IPHLPAPI.DLL                  0x7FF828E30000
DNSAPI.dll                    0x7FF828E80000
powrprof.dll                  0x7FF828FA0000
MSWSOCK.dll                   0x7FF829190000
CRYPTSP.dll                   0x7FF829380000
CRYPTBASE.DLL                 0x7FF8293A0000
Wldp.dll                      0x7FF829430000
NTASN1.dll                    0x7FF829460000
ncrypt.dll                    0x7FF8294A0000
msasn1.dll                    0x7FF8295C0000
devobj.dll                    0x7FF829780000
DPAPI.DLL                     0x7FF8297C0000
USERENV.dll                   0x7FF8298A0000
SSPICLI.DLL                   0x7FF8298D0000
profapi.dll                   0x7FF829920000
gdi32full.dll                 0x7FF829AA0000
msvcp_win.dll                 0x7FF829BC0000
ucrtbase.dll                  0x7FF829CD0000
win32u.dll                    0x7FF829DD0000
CRYPT32.dll                   0x7FF829E00000
bcrypt.dll                    0x7FF829F60000
KERNELBASE.dll                0x7FF829F90000
bcryptPrimitives.dll          0x7FF82A290000
cfgmgr32.dll                  0x7FF82A320000
sechost.dll                   0x7FF82A370000
IMM32.DLL                     0x7FF82A410000
PSAPI.DLL                     0x7FF82A4A0000
OLEAUT32.dll                  0x7FF82A4B0000
KERNEL32.DLL                  0x7FF82A600000
WS2_32.dll                    0x7FF82A6C0000
NSI.dll                       0x7FF82A730000
ADVAPI32.dll                  0x7FF82A740000
USER32.dll                    0x7FF82A7F0000
ole32.dll                     0x7FF82A9F0000
SHCORE.dll                    0x7FF82AB30000
msvcrt.dll                    0x7FF82AC70000
RPCRT4.dll                    0x7FF82AD10000
SETUPAPI.dll                  0x7FF82AFF0000
imagehlp.dll                  0x7FF82B460000
combase.dll                   0x7FF82B480000
shlwapi.dll                   0x7FF82B7E0000
MSCTF.dll                     0x7FF82B840000
SHELL32.dll                   0x7FF82B960000
GDI32.dll                     0x7FF82C110000
COMDLG32.dll                  0x7FF82C140000
clbcatq.dll                   0x7FF82C220000
ntdll.dll                     0x7FF82C310000
NvCamera64.dll                0x7FFF87B30000
graphics-hook64.dll           0x7FFF8A460000
XAudio2_7.dll                 0x7FFF8A4B0000
DINPUT8.dll                   0x7FFF8A950000
gameoverlayrenderer64.dll     0x7FFF8A9A0000
XDI.dll                       0x7FFF8AB30000
wsfw_identifier.dll           0x7FFF8AC30000
PowerGridTools.dll            0x7FFF8AD30000
place.dll                     0x7FFF8ADA0000
mcm.dll                       0x7FFF8AE20000
CONCRT140.dll                 0x7FFF8AEC0000
HighFPSPhysicsFix.dll         0x7FFF8AF10000
faster_workshop.dll           0x7FFF8AFA0000
f4ee.dll                      0x7FFF8B000000
ClassicHolsteredWeapons.dll   0x7FFF8B110000
f4se_1_10_163.dll             0x7FFF8B520000
vstdlib_s64.dll               0x7FFF8B600000
tier0_s64.dll                 0x7FFF8B6C0000
steamclient64.dll             0x7FFF8B860000
flexRelease_x64.dll           0x7FFF8CE90000
GFSDK_SSAO_D3D11.win64.dll    0x7FFF96D10000
Interior-NavCut-Fix.dll       0x7FFF9C580000
cudart64_75.dll               0x7FFF9C870000
GFSDK_GodraysLib.x64.dll      0x7FFF9D200000
flexExtRelease_x64.dll        0x7FFF9D260000
MSVCR110.dll                  0x7FFF9D2C0000
MSVCP110.dll                  0x7FFF9E9C0000
bink2w64.dll                  0x7FFFAB620000
achievements.dll              0x7FFFAC510000
f4se_steam_loader.dll         0x7FFFB1FA0000
WeaponDebrisCrashFix.dll      0x7FFFE2760000
OneCoreCommonProxyStub.dll    0x7FFFFEDB0000
