XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x00005A7F0000
steam_api64.dll                    0x00005A800000
d3d11.dll                          0x000180000000
LL_fourPlay_1_10_163.dll           0x01B72B2C0000
wsfw_identifier.dll                0x01B732E70000
clbcatq.dll                        0x01B887CD0000
Fallout4.exe                       0x7FF658570000
nvwgf2umx.dll                      0x7FFE00050000
nvgpucomp64.dll                    0x7FFE05AD0000
nvcuda64.dll                       0x7FFE177A0000
steamclient64.dll                  0x7FFE18150000
d3dcompiler_47_64.dll              0x7FFE29CA0000
NvCamera64.dll                     0x7FFE2A0B0000
XAudio2_7.dll                      0x7FFE2AE50000
d3dcompiler_46e.dll                0x7FFE2AFA0000
gameoverlayrenderer64.dll          0x7FFE2B360000
XDI.dll                            0x7FFE2B710000
WmkActiveEffects.dll               0x7FFE2B880000
UneducatedShooter.dll              0x7FFE2B900000
ShieldFramework.dll                0x7FFE2B960000
RobCo_Patcher.dll                  0x7FFE2B9E0000
PRKF.dll                           0x7FFE2BAD0000
PowerGridTools.dll                 0x7FFE2BB60000
po3_SpellPerkItemDistributorF4.dll 0x7FFE2BBD0000
NVIDIA_Reflex.dll                  0x7FFE2BCE0000
mcm.dll                            0x7FFE2BEA0000
HighFPSPhysicsFix.dll              0x7FFE2BF40000
faster_workshop.dll                0x7FFE2BFD0000
f4ee.dll                           0x7FFE2C030000
Buffout4.dll                       0x7FFE2C140000
BLD_Helper.dll                     0x7FFE2C4A0000
BakaFramework.dll                  0x7FFE2C800000
tier0_s64.dll                      0x7FFE2C8F0000
f4se_1_10_163.dll                  0x7FFE2DA10000
DirectHit.dll                      0x7FFE3E430000
Deadeye.dll                        0x7FFE3E490000
BulletCountedReload.dll            0x7FFE47340000
DINPUT8.dll                        0x7FFE54FE0000
BakaScrapHeap.dll                  0x7FFE5E900000
hudextension.dll                   0x7FFE61070000
MessageBus.dll                     0x7FFE613B0000
crafting_highlight_fix.dll         0x7FFE61B10000
flexRelease_x64.dll                0x7FFE625B0000
ClockWidget.dll                    0x7FFE63090000
cudart64_75.dll                    0x7FFE630E0000
GFSDK_GodraysLib.x64.dll           0x7FFE63140000
nvspcap64.dll                      0x7FFE63C10000
GFSDK_SSAO_D3D11.win64.dll         0x7FFE63F70000
flexExtRelease_x64.dll             0x7FFE64000000
MSVCR110.dll                       0x7FFE6B1C0000
enbhelperf4.dll                    0x7FFE6BC10000
MessageBus.dll                     0x7FFE6BDC0000
MSVCP110.dll                       0x7FFE6C630000
DSOUND.DLL                         0x7FFE6D4A0000
Bastion.dll                        0x7FFE71D80000
vstdlib_s64.dll                    0x7FFE71DD0000
D3DCOMPILER_43.dll                 0x7FFE727F0000
achievements.dll                   0x7FFE7BF00000
usvfs_x64.dll                      0x7FFE7C8D0000
bink2w64.dll                       0x7FFE891A0000
f4se_steam_loader.dll              0x7FFE892F0000
ncryptsslp.dll                     0x7FFE9A2A0000
mskeyprotect.dll                   0x7FFE9B540000
nvapi64.dll                        0x7FFE9B9C0000
VCRUNTIME140_1.dll                 0x7FFE9DC20000
MSVCP140.dll                       0x7FFE9DC30000
VCRUNTIME140.dll                   0x7FFE9DCC0000
d3dx11_43.dll                      0x7FFE9E2C0000
XINPUT9_1_0.dll                    0x7FFE9EDF0000
nvldumdx.dll                       0x7FFEA0430000
nvToolsExt64_1.dll                 0x7FFEA04F0000
webio.dll                          0x7FFEA1DC0000
COMCTL32.dll                       0x7FFEA4CE0000
Secur32.dll                        0x7FFEA4F80000
OneCoreCommonProxyStub.dll         0x7FFEA55D0000
dbghelp.dll                        0x7FFEA5DB0000
inputhost.dll                      0x7FFEA77A0000
amsi.dll                           0x7FFEA7E60000
Windows.UI.dll                     0x7FFEA7EC0000
wbemsvc.dll                        0x7FFEA8590000
fastprox.dll                       0x7FFEA85B0000
wbemcomn.dll                       0x7FFEA8BF0000
WINMM.dll                          0x7FFEA95D0000
winmmbase.dll                      0x7FFEAA180000
textinputframework.dll             0x7FFEAFFF0000
fwpuclnt.dll                       0x7FFEB0100000
rasadhlp.dll                       0x7FFEB1780000
MpOav.dll                          0x7FFEB17D0000
dxcore.dll                         0x7FFEB2010000
wbemprox.dll                       0x7FFEB23F0000
OneCoreUAPCommonProxyStub.dll      0x7FFEB2D60000
WINHTTP.dll                        0x7FFEB3530000
drvstore.dll                       0x7FFEB3B60000
cryptnet.dll                       0x7FFEB3DD0000
MMDevApi.dll                       0x7FFEB3FB0000
AUDIOSES.DLL                       0x7FFEB4040000
dhcpcsvc6.DLL                      0x7FFEB42C0000
VERSION.dll                        0x7FFEB4310000
dhcpcsvc.DLL                       0x7FFEB4320000
WINNSI.DLL                         0x7FFEB4340000
WindowsCodecs.dll                  0x7FFEB46E0000
twinapi.appcore.dll                0x7FFEB48B0000
WindowManagementAPI.dll            0x7FFEB4B70000
avrt.dll                           0x7FFEB50C0000
PROPSYS.dll                        0x7FFEB5870000
wintypes.dll                       0x7FFEB5F90000
d3d11.dll                          0x7FFEB6550000
dcomp.dll                          0x7FFEB6D80000
CoreUIComponents.dll               0x7FFEB72F0000
CoreMessaging.dll                  0x7FFEB7650000
uxtheme.dll                        0x7FFEB79E0000
resourcepolicyclient.dll           0x7FFEB7B60000
dwmapi.dll                         0x7FFEB7C60000
kernel.appcore.dll                 0x7FFEB7F50000
windows.storage.dll                0x7FFEB8150000
HID.DLL                            0x7FFEB88F0000
dxgi.dll                           0x7FFEB8930000
schannel.DLL                       0x7FFEB8FE0000
rsaenh.dll                         0x7FFEB90D0000
ntmarta.dll                        0x7FFEB91F0000
UMPDC.dll                          0x7FFEB94B0000
IPHLPAPI.DLL                       0x7FFEB94D0000
DNSAPI.dll                         0x7FFEB9520000
powrprof.dll                       0x7FFEB9640000
MSWSOCK.dll                        0x7FFEB9830000
CRYPTBASE.DLL                      0x7FFEB9A20000
CRYPTSP.dll                        0x7FFEB9A30000
Wldp.dll                           0x7FFEB9AD0000
NTASN1.dll                         0x7FFEB9B00000
ncrypt.dll                         0x7FFEB9B40000
msasn1.dll                         0x7FFEB9C60000
devobj.dll                         0x7FFEB9E20000
DPAPI.DLL                          0x7FFEB9E80000
SSPICLI.DLL                        0x7FFEB9F40000
USERENV.dll                        0x7FFEB9F80000
profapi.dll                        0x7FFEB9FC0000
wintrust.dll                       0x7FFEBA090000
bcrypt.dll                         0x7FFEBA1B0000
msvcp_win.dll                      0x7FFEBA1E0000
KERNELBASE.dll                     0x7FFEBA280000
ucrtbase.dll                       0x7FFEBA580000
CRYPT32.dll                        0x7FFEBA680000
gdi32full.dll                      0x7FFEBA7E0000
win32u.dll                         0x7FFEBA900000
cfgmgr32.dll                       0x7FFEBA930000
bcryptPrimitives.dll               0x7FFEBA980000
sechost.dll                        0x7FFEBAA10000
PSAPI.DLL                          0x7FFEBAAB0000
KERNEL32.DLL                       0x7FFEBAB20000
NSI.dll                            0x7FFEBABE0000
MSCTF.dll                          0x7FFEBABF0000
RPCRT4.dll                         0x7FFEBAD70000
GDI32.dll                          0x7FFEBAEA0000
shlwapi.dll                        0x7FFEBAF50000
ole32.dll                          0x7FFEBAFB0000
ADVAPI32.dll                       0x7FFEBB0F0000
IMM32.DLL                          0x7FFEBB200000
SHCORE.dll                         0x7FFEBB230000
WS2_32.dll                         0x7FFEBB2E0000
SHELL32.dll                        0x7FFEBB500000
COMDLG32.dll                       0x7FFEBBC50000
USER32.dll                         0x7FFEBBD30000
imagehlp.dll                       0x7FFEBBED0000
msvcrt.dll                         0x7FFEBBF80000
SETUPAPI.dll                       0x7FFEBC0D0000
combase.dll                        0x7FFEBC540000
OLEAUT32.dll                       0x7FFEBC8A0000
ntdll.dll                          0x7FFEBC9B0000
