XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000057010000
steam_api64.dll               0x000057020000
pcre64.dll                    0x000057060000
LL_fourPlay_1_10_163.dll      0x000180000000
achievements.dll              0x025424C00000
Fallout4.exe                  0x7FF6BF1D0000
ResampleDmo.DLL               0x7FFA780B0000
winmmbase.dll                 0x7FFA78170000
DSOUND.DLL                    0x7FFA781A0000
XAudio2_7.dll                 0x7FFA78510000
gameoverlayrenderer64.dll     0x7FFA799A0000
wsfw_identifier.dll           0x7FFA79B30000
RobCo_Patcher.dll             0x7FFA79C30000
UnlimitedSurvivalMode.dll     0x7FFA79F20000
SSW.dll                       0x7FFA79F70000
PowerGridTools.dll            0x7FFA79FD0000
place.dll                     0x7FFA7A040000
mcm.dll                       0x7FFA7A0C0000
HighFPSPhysicsFix.dll         0x7FFA7A160000
f4ee.dll                      0x7FFA7A1F0000
ClassicHolsteredWeapons.dll   0x7FFA7A300000
BulletCountedReload.dll       0x7FFA7A3B0000
Buffout4.dll                  0x7FFA7A440000
BLD_Helper.dll                0x7FFA7A7A0000
BetterConsole.dll             0x7FFA7AB00000
steamclient64.dll             0x7FFA7AB70000
crafting_highlight_fix.dll    0x7FFA7E5A0000
f4se_1_10_163.dll             0x7FFA7E630000
tier0_s64.dll                 0x7FFA7E710000
vstdlib_s64.dll               0x7FFA7E8B0000
cudart64_75.dll               0x7FFA7E970000
GFSDK_GodraysLib.x64.dll      0x7FFA7E9D0000
flexRelease_x64.dll           0x7FFA7EA30000
MSVCR110.dll                  0x7FFA7EB80000
IPHLPAPI.DLL                  0x7FFA7EC60000
ammemb64.dll                  0x7FFA848E0000
MSVCP140.dll                  0x7FFA97E10000
VCRUNTIME140.dll              0x7FFA9F990000
nvwgf2umx.dll                 0x7FFAACA30000
GFSDK_SSAO_D3D11.win64.dll    0x7FFAB3000000
MSVCP110.dll                  0x7FFAB3090000
AUDIOSES.DLL                  0x7FFAB79E0000
ncryptsslp.dll                0x7FFABC760000
webio.dll                     0x7FFABF570000
WINSPOOL.DRV                  0x7FFABF6A0000
COMCTL32.dll                  0x7FFAC63B0000
VCRUNTIME140_1.dll            0x7FFAC6F90000
MessageBus.dll                0x7FFAC8F60000
oleacc.dll                    0x7FFAC9760000
gdiplus.dll                   0x7FFAC9870000
nvapi64.dll                   0x7FFACE080000
OneCoreCommonProxyStub.dll    0x7FFAD12B0000
textinputframework.dll        0x7FFAD18A0000
MpOav.dll                     0x7FFAD45F0000
amsi.dll                      0x7FFAD4670000
WINMM.dll                     0x7FFAD4690000
wbemsvc.dll                   0x7FFAD4770000
fastprox.dll                  0x7FFAD4790000
nvldumdx.dll                  0x7FFAD64C0000
wbemcomn.dll                  0x7FFAD6760000
wbemprox.dll                  0x7FFAD67E0000
OneCoreUAPCommonProxyStub.dll 0x7FFAD67F0000
MMDevApi.dll                  0x7FFAD6FA0000
rasadhlp.dll                  0x7FFAD7060000
DbgHelp.dll                   0x7FFAD7990000
fwpuclnt.dll                  0x7FFAD8270000
drvstore.dll                  0x7FFAD8300000
cryptnet.dll                  0x7FFAD84E0000
VERSION.dll                   0x7FFAD8520000
Windows.UI.dll                0x7FFAD8920000
msdmo.dll                     0x7FFAD8B20000
flexExtRelease_x64.dll        0x7FFAD8B40000
bink2w64.dll                  0x7FFAD8BA0000
directxdatabasehelper.dll     0x7FFAD8E00000
CoreUIComponents.dll          0x7FFAD8FC0000
