[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     HUDFramework.esm
[09]     XDI.esm
[0A]     MutantMenagerie.esm
[0B]     DCGuard_Overhaul.esp
[0C]     SouthOfTheSea.esm
[0D]     CWPointLookoutFO4.esm
[0E]     MutantMenagerie_BackwaterBeasts.esm
[0F]     MFC2023_EndAlz_Trunk.esm
[10]     AmericaRising2.esm
[11]     MutantMenagerie_GrilledTurkey.esm
[12]     CrimeTown.esp
[13]     GoodneighborExpanded.esp
[14]     MN Goodneighbor Overhaul.esp
[15]     10mmSMG.esp
[16]     PlayerComments.esp
[17]     UltraInteriorLighting.esp
[18]     DeeZire.esp
[19]     DeeZireDLC03.esp
[1A]     DeeZireDLC04.esp
[1B]     Better Landscape Grass.esp
[1C]     UltraExteriorLighting.esp
[1D]     PiperCaitCurieDialogueOverhaul.esp
[1E]     Boston_Police_Department.esp
[1F]     3DNPC_FO4.esp
[20]     Ketaros_Treasures.esp
[21]     ABundleofTape.esp
[22]     CROSS_PlasRail.esp
[23]     CastleWallsRepaired 3.esp
[24]     MojaveImports.esp
[25]     Wasteland Illumination Shadow.esp
[26]     Betterautomatronweaponsandbots.esp
[27]     DeeZireDLC01.esp
[28]     Vault4.esp
[29]     UpgradableClothing.esp
[2A]     FarHarborStory.esp
[2B]     Fusion Gun.esp
[2C]     3DNPC_FO4_DLC.esp
[2D]     DCEnhancedSecurity.esp
[2E]     CK-RestoredDamageTypes.esp
[2F]     Raider Gang Extended NPC (Fixed & Cleaned).esp
[30]     WRVR.esp
[31]     9mmPistol.esp
[32]     CSEPAllAmericans.esp
[33]     Reverb and Ambiance Overhaul.esp
[34]     DiamondCityAmbience.esp
[35]     GKX Apple Tree.esp
[36]     psans.esp
[37]     AmazingFollowerTweaks.esp
[38]     NightstrikerCreatureMod.esp
[39]     More Smarter Companions Mod.esp
[3A]     InstituteStory.esp
[3B]     Fo4Lore.esp
[3C]     Skb_RiflesRebirth.esp
[3D]     Flashy_CrimeAndPunishment.esp
[3E]     3DNPC_FO4Settler.esp
[3F]     BoSStory.esp
[40]     CSEPBIARedux.esp
[41]     Rsiyo'sLocationPack.esp
[42]     Floaters.esp
[43]     CSEPBountyMod.esp
[44]     CSEPCompanion.esp
[45]     InsideJobs.esp
[46]     aforgottenpast.esp
[47]     Ak5C.esp
[48]     ChinaLakeandHolorifle.esp
[49]     OldTimeReligion.esp
[4A]     CreationClubDelay.esp
[4B]     Ketaros_MissingMags.esp
[4C]     LeeEnfieldNo4MkI.esp
[4D]     MREs.esp
[4E]     Tomacuzi9.esp
[4F]     LAER.esp
[50]     45autoPistol.esp
[51]     4estGimp - FSD CandP.esp
[52]     4estGimp - FSD_Vault4.esp
[53]     Ephla's Unique Chems.esp
[54]     GrenadeExpansionPack.esp
[55]     Doctor Quench Soda Company 2022.esp
[56]     SimpleBounties.esp
[57]     WattzLaserGun.esp
[58]     LString_Bow.esp
[59]     ClassicSniper.esp
[5A]     ellen.esp
[5B]     RangemasterRemaster.esp
[5C]     AtomsGloryThreads.esp
[5D]     CF_AtomicWarlord.esp
[5E]     [ARRETH] FGEP.esp
[5F]     llamaCompanionHeatherv2.esp
[60]     PBW-TheServicePackRELOADED.esp
[61]     EM2.esp
[62]     HandmadeLeverActionSG.esp
[63]     M2045MagnumRevolverRifle.esp
[64]     skewer.esp
[65]     FO4 NPCs Travel.esp
[66]     tsuki no hana.esp
[67]     AK74M.esp
[68]     lasercannon.esp
[69]     MTs255.esp
[6A]     _00Stingray.esp
[6B]     Zanthir_TasteOfBlues.esp
[6C]     AdvancedPerks.esp
[6D]     CROSS_Recall.esp
[6E]     Archimedes-II.esp
[6F]     BPB_Both_NR.esp
[70]     HaxRPG7.esp
[71]     BullpupBozar.esp
[72]     ImmersiveAnimationFramework.esp
[73]     CBJ-MS PDW.esp
[74]     CSEPHomeSick.esp
[75]     Recharger.esp
[76]     RemingtonModel8.esp
[77]     DP_CaravanShotgun.esp
[78]     ElMudoStore.esp
[79]     FN-FAL.esp
[7A]     HuntingShotgun.esp
[7B]     Sjogren.esp
[7C]     aaaamericandreamradio.esp
[7D]     DiamondCityAutoClose.esp
[7E]     HuntingRevolver.esp
[7F]     ModularGaussRifle.esp
[80]     WinCowbowRepeater.esp
[81]     WRAR3.esp
[82]     ClassicBehemoth.esp
[83]     CompanionStatus.esp
[84]     ConceptCentaur.esp
[85]     SelectRapidMG.esp
[86]     SelectShotgun.esp
[87]     CourierDuster.esp
[88]     Cranky.esp
[89]     CROSS_Techmask.esp
[8A]     Crossbow.esp
[8B]     Cyborg - Cybernetic Enhancements.esp
[8C]     DaksBallisticMask.esp
[8D]     DCMolerats.esp
[8E]     DCRE.esp
[8F]     DCWestSuperMutants.esp
[90]     DLC Timing.esp
[91]     DocDrumlin.esp
[92]     DOOMCatalyst.esp
[93]     DOOMSCARLK.esp
[94]     Eli_Armour_Compendium.esp
[95]     4estGimp - FSD_Catwalk_Patch.esp
[96]     Fallschirmjagergewehr.esp
[97]     Famished.esp
[98]     Gatling Laser Overhaul.esp
[99]     GaussRevolver.esp
[9A]     Grasslands - Healthy.esp
[9B]     GravityFist.esp
[9C]     Skibs-IF88Redux.esp
[9D]     GreaseGunSMG.esp
[9E]     GrenadeExpansionPackChinaLakePatch.esp
[9F]     GS Lever Action Shotgun.esp
[A0]     HVSG_LLInjector.esp
[A1]     JaggedsThirdRail.esp
[A2]     JaguarLMG.esp
