XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000073A40000
steam_api64.dll                    0x000073A50000
ConsoleUtilF4.dll                  0x01EBD4C90000
wsfw_identifier.dll                0x01EBEBC70000
wintrust.dll                       0x01EBF1480000
Fallout4.exe                       0x7FF6DEE30000
nvcuda64.dll                       0x7FF9443C0000
d3dcompiler_47_64.dll              0x7FF944D80000
NvCamera64.dll                     0x7FF945190000
steamclient64.dll                  0x7FF945A00000
XAudio2_7.dll                      0x7FF95E5C0000
gameoverlayrenderer64.dll          0x7FF95E650000
XDI.dll                            0x7FF95E7E0000
WmkActiveEffects.dll               0x7FF95E950000
UnlimitedSurvivalMode.dll          0x7FF95E9D0000
TullFramework.dll                  0x7FF95EA20000
transfer_settlements.dll           0x7FF95EAA0000
terminal+.dll                      0x7FF95ED70000
SSW.dll                            0x7FF95EEC0000
RustyFaceFix.dll                   0x7FF95EF20000
RobCo_Patcher.dll                  0x7FF95EF70000
PRKF.dll                           0x7FF95F060000
PowerGridTools.dll                 0x7FF95F0F0000
po3_SpellPerkItemDistributorF4.dll 0x7FF95F160000
place.dll                          0x7FF95F270000
MODExplorer.dll                    0x7FF95F2F0000
mcm.dll                            0x7FF95F370000
HUDPlusPlus.dll                    0x7FF95F410000
Buffout4.dll                       0x7FF95F490000
BLD_Helper.dll                     0x7FF95F7B0000
FineZoom.dll                       0x7FF95FC00000
FakeThroughScope.dll               0x7FF95FC50000
f4ee.dll                           0x7FF95FD20000
EnergyWeaponCalcFix.dll            0x7FF95FE30000
DirectHit.dll                      0x7FF95FE80000
IPHLPAPI.DLL                       0x7FF95FEE0000
DisableExitSave.dll                0x7FF962F50000
Deadeye.dll                        0x7FF962FA0000
BulletCountedReload.dll            0x7FF963000000
BakaFramework.dll                  0x7FF963090000
DSOUND.DLL                         0x7FF963A10000
usvfs_x64.dll                      0x7FF963EA0000
tagpatch.dll                       0x7FF996F40000
crafting_highlight_fix.dll         0x7FF997070000
nvspcap64.dll                      0x7FF99A350000
f4se_1_10_163.dll                  0x7FF99A790000
vstdlib_s64.dll                    0x7FF99A870000
BodyPartsUI.dll                    0x7FF99AB20000
tier0_s64.dll                      0x7FF99ABE0000
flexRelease_x64.dll                0x7FF99AD80000
BetterScrounger.dll                0x7FF99D590000
GFSDK_SSAO_D3D11.win64.dll         0x7FF99D5D0000
xinput1_4.dll                      0x7FF99E8E0000
BetterConsole.dll                  0x7FF9B4F20000
cudart64_75.dll                    0x7FF9B7E90000
MSVCR110.dll                       0x7FF9B7EF0000
ncryptsslp.dll                     0x7FF9BA050000
winmmbase.dll                      0x7FF9C30F0000
mskeyprotect.dll                   0x7FF9C3B60000
