XINPUT1_3.dll               0x000000400000
X3DAudio1_7.dll             0x000073350000
steam_api64.dll             0x000073360000
LL_fourPlay_1_10_163.dll    0x000180000000
Fallout4.exe                0x7FF7943E0000
steamclient64.dll           0x7FF8A9460000
Buffout4.dll                0x7FF8ABEB0000
gameoverlayrenderer64.dll   0x7FF8B84E0000
RobCo_Patcher.dll           0x7FF8BA520000
place.dll                   0x7FF8BA610000
NVIDIA_Reflex.dll           0x7FF8BA690000
tier0_s64.dll               0x7FF8BE790000
flexRelease_x64.dll         0x7FF8BE930000
f4ee.dll                    0x7FF8BEBC0000
MODExplorer.dll             0x7FF8BF690000
mcm.dll                     0x7FF8C6AC0000
ClassicHolsteredWeapons.dll 0x7FF8C7400000
XDI.dll                     0x7FF8C77F0000
HighFPSPhysicsFix.dll       0x7FF8C7890000
HHS.dll                     0x7FF8C8450000
faster_workshop.dll         0x7FF8C8750000
f4se_1_10_163.dll           0x7FF8C92A0000
F4z Ro D'oh.dll             0x7FF8CAA10000
vstdlib_s64.dll             0x7FF8CB550000
BulletCountedReload.dll     0x7FF8CF120000
RustyFaceFix.dll            0x7FF8D12C0000
cudart64_75.dll             0x7FF8D7B10000
GFSDK_SSAO_D3D11.win64.dll  0x7FF8DA090000
MSVCR110.dll                0x7FF8DA120000
GFSDK_GodraysLib.x64.dll    0x7FF8DBB30000
f4se_steam_loader.dll       0x7FF8DDCD0000
MSVCP110.dll                0x7FF8DDD10000
flexExtRelease_x64.dll      0x7FF8EC3D0000
Secur32.dll                 0x7FF8EFDD0000
MSVCP140.dll                0x7FF8F1930000
VCRUNTIME140.dll            0x7FF8F1F50000
VCRUNTIME140_1.dll          0x7FF8F2600000
WINMM.dll                   0x7FF8F3210000
bink2w64.dll                0x7FF8F3AC0000
dbghelp.dll                 0x7FF8F8340000
WINHTTP.dll                 0x7FF8F86C0000
textinputframework.dll      0x7FF8F9600000
VERSION.dll                 0x7FF8FA270000
WeaponDebrisCrashFix.dll    0x7FF8FB8E0000
d3d11.dll                   0x7FF8FCD50000
wintypes.dll                0x7FF8FDA20000
CoreUIComponents.dll        0x7FF8FE240000
CoreMessaging.dll           0x7FF8FE5F0000
nvToolsExt64_1.dll          0x7FF8FE8E0000
apphelp.dll                 0x7FF8FE960000
uxtheme.dll                 0x7FF8FEA80000
kernel.appcore.dll          0x7FF8FEF50000
windows.storage.dll         0x7FF8FF150000
HID.DLL                     0x7FF8FF8F0000
dxgi.dll                    0x7FF8FF930000
ntmarta.dll                 0x7FF900190000
IPHLPAPI.DLL                0x7FF900450000
MSWSOCK.dll                 0x7FF900760000
CRYPTBASE.DLL               0x7FF9009B0000
Wldp.dll                    0x7FF900AD0000
SSPICLI.DLL                 0x7FF900F40000
profapi.dll                 0x7FF900FC0000
win32u.dll                  0x7FF901100000
gdi32full.dll               0x7FF901130000
bcrypt.dll                  0x7FF901250000
msvcp_win.dll               0x7FF901280000
ucrtbase.dll                0x7FF9013D0000
CRYPT32.dll                 0x7FF9014D0000
bcryptPrimitives.dll        0x7FF901630000
KERNELBASE.dll              0x7FF9016C0000
cfgmgr32.dll                0x7FF9019C0000
KERNEL32.DLL                0x7FF901A10000
sechost.dll                 0x7FF901B30000
RPCRT4.dll                  0x7FF901D80000
combase.dll                 0x7FF901EB0000
msvcrt.dll                  0x7FF902210000
SHELL32.dll                 0x7FF9022B0000
WS2_32.dll                  0x7FF902A80000
SHCORE.dll                  0x7FF902AF0000
ADVAPI32.dll                0x7FF902BB0000
MSCTF.dll                   0x7FF902CF0000
SETUPAPI.dll                0x7FF902E20000
ole32.dll                   0x7FF903290000
USER32.dll                  0x7FF9033C0000
IMM32.DLL                   0x7FF903640000
PSAPI.DLL                   0x7FF903670000
imagehlp.dll                0x7FF903680000
shlwapi.dll                 0x7FF903700000
GDI32.dll                   0x7FF9037C0000
OLEAUT32.dll                0x7FF9038A0000
ntdll.dll                   0x7FF9039B0000
