XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x00005E360000
steam_api64.dll                    0x00005E370000
d3d11.dll                          0x000180000000
LL_fourPlay_1_10_163.dll           0x015260550000
PlotUI.dll                         0x015261E00000
Fallout4.exe                       0x7FF646DB0000
d3dcompiler_46e.dll                0x7FFA511A0000
XAudio2_7.dll                      0x7FFA51B10000
XDI.dll                            0x7FFA51BA0000
DSOUND.DLL                         0x7FFA53A20000
wsfw_identifier.dll                0x7FFA53AE0000
UneducatedShooter.dll              0x7FFA53BE0000
SprintSpeedController.dll          0x7FFA53C40000
SideAimAni.dll                     0x7FFA53C90000
ScreenArcherMenu.dll               0x7FFA53D30000
steamclient64.dll                  0x7FFA53E90000
ShadowBoostFO4.dll                 0x7FFA55CD0000
SAF.dll                            0x7FFA55DA0000
RustyFaceFix.dll                   0x7FFA55E90000
RobCo_Patcher.dll                  0x7FFA55EE0000
ReloadFix.dll                      0x7FFA55FD0000
PowerGridTools.dll                 0x7FFA56020000
po3_SpellPerkItemDistributorF4.dll 0x7FFA56090000
NVIDIA_Reflex.dll                  0x7FFA561A0000
MODExplorer.dll                    0x7FFA56270000
mcm.dll                            0x7FFA562F0000
KnockoutFramework.dll              0x7FFA56390000
hudextension.dll                   0x7FFA563F0000
HighFPSPhysicsFix.dll              0x7FFA56440000
f4ee.dll                           0x7FFA564D0000
Buffout4.dll                       0x7FFA565E0000
BLD_Helper.dll                     0x7FFA56940000
D3DCOMPILER_43.dll                 0x7FFA56CA0000
IPHLPAPI.DLL                       0x7FFA56F10000
GLXRM_ScalingFlagRemover.dll       0x7FFA58520000
EscapeFreeze.dll                   0x7FFA58570000
ClassicHolsteredWeapons.dll        0x7FFA58630000
GCBugFix.dll                       0x7FFA5C870000
BakaFramework.dll                  0x7FFA5C8D0000
tier0_s64.dll                      0x7FFA5D360000
flexRelease_x64.dll                0x7FFA5D500000
BakaScrapHeap.dll                  0x7FFA5DEF0000
f4se_1_10_163.dll                  0x7FFA5E400000
winmmbase.dll                      0x7FFA61CD0000
BulletCountedReload.dll            0x7FFA62AC0000
