[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     WorkshopFramework.esm
[09]     HUDFramework.esm
[0A]     SS2.esm
[0B]     SS2_XPAC_Chapter2.esm
[0C]     XDI.esm
[0D]     SouthOfTheSea.esm
[0E]     ArmorKeywords.esm
[0F]     AAF.esm
[10]     GoodneighborExpanded.esp
[11]     AmericaRising2.esm
[12]     Random Robots - True Leveled.esm
[13]     GR005-Scavs.esp
[14]     Companion Infinite Ammo.esm
[15]     Knockout Framework.esm
[16]     TacticalReload.esm
[17]     SuperMutantRedux.esp
[18]     SS2WastelandVenturers.esp
[19]     Hunkered Down - No AtomCatsGarage.esp
[1A]     Phase4DLC.esp
[1B]     3DNPC_FO4.esp
[1C]     OutcastsAndRemnants.esp
[1D]     Vault4.esp
[1E]     DCGuard_Overhaul.esp
[1F]     Children of Ug Qualtoth.esp
[20]     3DNPC_FO4Settler.esp
[21]     ProjectValkyrie.esp
[22]     llamaCompanionHeatherv2.esp
[23]     AtomicRadio.esp
[24]     Eli_Armour_Compendium.esp
[25]     BetterSettlers.esp
[26]     FO4 NPCs Travel.esp
[27]     PhotoMode.esp
[28]     SettlementMenuManager.esp
[29]     TheEyesOfBeauty.esp
[2A]     Depravity.esp
[2B]     Stm_DiamondCityExpansion.esp
[2C]     KSHairdos.esp
[2D]     Laser Weapon Reanimated.esp
[2E]     RealNameSettlers.esp
[2F]     SettleObjExpandPack.esp
[30]     3dscopes-replacer.esp
[31]     The Eyes Of Beauty.esp
[32]     PiperCaitCurieDialogueOverhaul.esp
[33]     Backpacks of the Commonwealth.esp
[34]     DX_Banshee_Recon_Armor.esp
[35]     DT_GunnerOutfitPack.esp
[36]     Mk41GyrojetHMG.esp
[37]     Enclave-X02.esp
[38]     HN66Fo4_EasyGirl_BS.esp
[39]     Post Nuclear Girl.esp
[3A]     tschutschiWardrobe2.esp
[3B]     WestTekTacticalOptics.esp
[3C]     UltraInteriorLighting.esp
[3D]     RED.esp
[3E]     Better Locational Damage.esp
[3F]     AWARHERO The Great Green Jewel.esp
[40]     COLPlus.esp
[41]     RynsFallout4.esp
[42]     Hangmans Alley Optimized.esp
[43]     subwayrunnnernodynamic.esp
[44]     BetterBostonAirport.esp
[45]     moreXplore.esp
[46]     nvvault1080.esp
[47]     AGNISNikaCola01.esp
[48]     Realistic Reverb and Ambiance.esp
[49]     Immersive Lighting Overhaul - AIO.esp
[4A]     Autumn Overhaul.esp
[4B]     AnimatedCandles.esp
[4C]     HAIA With Crafting.esp
[4D]     CombatZoneRestored.esp
[4E]     TrainBar.esp
[4F]     QuazDiamondCityApartment.esp
[50]     Kellogg_House.esp
[51]     DCEnhancedSecurity.esp
[52]     4estGimp - DCES_Bleachers_WalkwayPatch.esp
[53]     PlutoniumCreatures.esp
[54]     DeadlierDeathclaws.esp
[55]     AA FusionCityRising.esp
[56]     jsrs.esp
[57]     W.A.T.Minutemen.esp
[58]     dD-Enhanced Blood Basic.esp
[59]     GhoulBlood.esp
[5A]     VALENTINE.esp
[5B]     CSEPAllAmericans.esp
[5C]     AtlasSummit.esp
[5D]     Flashy_PersonalEssentials.esp
[5E]     IcebreakerCDO-Piper.esp
[5F]     AmazingFollowerTweaks.esp
[60]     KaBarBeckerBK9.esp
[61]     WorkshopPlus.esp
[62]     AVBPipeGunsReplace.esp
[63]     Better Explosives.esp
[64]     RaiderOverhaul.esp
[65]     PlaneWreck.esp
[66]     DTG_LeveledListIntegration.esp
[67]     Flashy_CrimeAndPunishment.esp
[68]     Eli_Rockin Red Rocket.esp
[69]     Flashy_CrimeAndPunishment_GunForHire_Addon.esp
[6A]     UniqueUniques.esp
[6B]     LightsDontCastShadows.esp
[6C]     LooksMenu Customization Compendium.esp
[6D]     NAC.esp
[6E]     IFC Complete.esp
[6F]     Live Dismemberment - Brutal.esp
[70]     Live Dismemberment - Insane-o.esp
[71]     Live Dismemberment - Liebermode.esp
[72]     Live Dismemberment - Mental.esp
[73]     Live Dismemberment - Mind-Blowing.esp
[74]     Live Dismemberment - POSTAL.esp
[75]     Live Dismemberment - Regular.esp
[76]     PIP-Pad.esp
[77]     Vault Outfits Redux.esp
[78]     Flashy_Infestations.esp
[79]     Eli_RV DC Home.esp
[7A]     CSEPLoadedBases.esp
[7B]     4estGimp-DCES_GGJ_CandP.esp
[7C]     Eli_Hangman's Home.esp
[7D]     CSEPBountyMod.esp
[7E]     VD_SIGMCXVirtus.esp
[7F]     WZXM4.esp
[80]     APC9.esp
[81]     MWM91.esp
[82]     Winters_FJX-Imperium.esp
[83]     American180nv.esp
[84]     AAC_HoneyBadger.esp
[85]     HandmadeSMG.esp
[86]     M2Agency.esp
[87]     F4NVRechargerWeapons.esp
[88]     MWIIGolf17.esp
[89]     Vargo52.esp
[8A]     BH_StG44.esp
[8B]     CWMP5.esp
[8C]     PigAAMC96.esp
[8D]     Glock19x.esp
[8E]     KrissVector.esp
[8F]     LoadedBasesFSDPatch.esp
[90]     stumbleuponinteriors.esp
[91]     9mmPistol.esp
[92]     MK18.esp
[93]     MWAN94.esp
[94]     CWCreateABot.esp
[95]     RU556.esp
[96]     AK74M.esp
[97]     Non-Lethal Armory.esp
[98]     CavesOfTheCommonwealth.esp
[99]     FNX45.esp
[9A]     CSEPHomeSick.esp
[9B]     Bruen Bullpup Family.esp
[9C]     ArdentBlade.esp
[9D]     Armament.esp
[9E]     FnScar.esp
[9F]     MP7.esp
