XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000055FE0000
steam_api64.dll                    0x000055FF0000
amdenc64.dll                       0x000056050000
LL_fourPlay_1_10_163.dll           0x000180000000
clbcatq.dll                        0x0171DB550000
WINTRUST.dll                       0x0171DD720000
achievements.dll                   0x0171EF190000
wsfw_identifier.dll                0x0171FEA90000
Fallout4.exe                       0x7FF648F30000
winmmbase.dll                      0x7FF800070000
gameoverlayrenderer64.dll          0x7FF801CD0000
XDI.dll                            0x7FF801E60000
SUP_F4SE.dll                       0x7FF801ED0000
MSIMG32.dll                        0x7FF802BC0000
msdmo.dll                          0x7FF802E50000
gdiplus.dll                        0x7FF802EB0000
WmkActiveEffects.dll               0x7FF825010000
ScreenArcherMenu.dll               0x7FF825090000
SAF.dll                            0x7FF8251F0000
RobCo_Patcher.dll                  0x7FF8260A0000
rename_anything.dll                0x7FF826190000
PowerGridTools.dll                 0x7FF8261E0000
po3_SpellPerkItemDistributorF4.dll 0x7FF826250000
place.dll                          0x7FF826360000
NativeSync.dll                     0x7FF8263E0000
modify_frequency.dll               0x7FF826430000
mcm.dll                            0x7FF826520000
LooksmenuPlayerRotation.dll        0x7FF8265C0000
KnockoutFramework.dll              0x7FF826610000
hudextension.dll                   0x7FF826670000
HighFPSPhysicsFix.dll              0x7FF8266C0000
HHS.dll                            0x7FF826750000
FloatingDamage.dll                 0x7FF826840000
f4ee.dll                           0x7FF8268A0000
ESPExplorer.dll                    0x7FF8269B0000
EscapeFreeze.dll                   0x7FF826A10000
crafting_highlight_fix.dll         0x7FF826AD0000
ConsoleUtilF4.dll                  0x7FF826B20000
Buffout4.dll                       0x7FF826B70000
BakaScrapHeap.dll                  0x7FF826ED0000
auto_backup_executable.dll         0x7FF826FA0000
IPHLPAPI.DLL                       0x7FF827310000
ClassicHolsteredWeapons.dll        0x7FF827900000
BakaPowerArmorStorage.dll          0x7FF8279B0000
f4se_1_10_163.dll                  0x7FF827AE0000
tier0_s64.dll                      0x7FF827BC0000
vstdlib_s64.dll                    0x7FF829B80000
cudart64_75.dll                    0x7FF829C40000
GFSDK_SSAO_D3D11.win64.dll         0x7FF829D90000
GFSDK_GodraysLib.x64.dll           0x7FF82B290000
flexRelease_x64.dll                0x7FF82B340000
MSVCP110.dll                       0x7FF82B530000
flexExtRelease_x64.dll             0x7FF82B620000
WeaponDebrisCrashFix.dll           0x7FF82B800000
MSVCR110.dll                       0x7FF82BB70000
f4se_steam_loader.dll              0x7FF82C4A0000
SprintStutteringFix.dll            0x7FF82C520000
bink2w64.dll                       0x7FF82C540000
libdiskCacheEnabler.dll            0x7FF83DDF0000
WININET.dll                        0x7FF83F5C0000
SortWindows61.dll                  0x7FF840550000
WINSPOOL.DRV                       0x7FF841610000
ncryptsslp.dll                     0x7FF8430D0000
wbemprox.dll                       0x7FF8434D0000
wbemsvc.dll                        0x7FF843FA0000
fastprox.dll                       0x7FF844010000
AcLayers.DLL                       0x7FF8466D0000
MpOav.dll                          0x7FF846D90000
amsi.dll                           0x7FF846E10000
COMCTL32.dll                       0x7FF848870000
webio.dll                          0x7FF84BD50000
wbemcomn.dll                       0x7FF84D580000
VCRUNTIME140_1.dll                 0x7FF84EA40000
VCRUNTIME140.dll                   0x7FF84EA50000
MSVCP140.dll                       0x7FF84EA80000
Windows.UI.dll                     0x7FF850330000
textinputframework.dll             0x7FF8509D0000
AUDIOSES.DLL                       0x7FF852AB0000
rasadhlp.dll                       0x7FF853540000
amdihk64.dll                       0x7FF8538A0000
AcGenral.DLL                       0x7FF8538E0000
MMDevApi.dll                       0x7FF8539F0000
MPR.dll                            0x7FF853CB0000
atidxx64.dll                       0x7FF853CD0000
amdxx64.dll                        0x7FF853D30000
aticfx64.dll                       0x7FF8577F0000
fwpuclnt.dll                       0x7FF859270000
DbgHelp.dll                        0x7FF859430000
dhcpcsvc.DLL                       0x7FF85AAA0000
WINHTTP.dll                        0x7FF85ACB0000
CoreUIComponents.dll               0x7FF85ADF0000
WINMM.dll                          0x7FF85B160000
VERSION.dll                        0x7FF85B1A0000
dhcpcsvc6.DLL                      0x7FF85B1B0000
avrt.dll                           0x7FF85B730000
directxdatabasehelper.dll          0x7FF85B780000
nvToolsExt64_1.dll                 0x7FF85C7F0000
d3d11.dll                          0x7FF85D850000
CoreMessaging.dll                  0x7FF85E710000
apphelp.dll                        0x7FF85E9F0000
WINNSI.DLL                         0x7FF85EB70000
UxTheme.dll                        0x7FF85EBC0000
