XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x0000729B0000
steam_api64.dll               0x0000729C0000
LL_fourPlay_1_10_163.dll      0x000180000000
ClassicHolsteredWeapons.dll   0x02B475E10000
Fallout4.exe                  0x7FF7A48B0000
steamclient64.dll             0x7FFF7EF10000
gameoverlayrenderer64.dll     0x7FFF85D30000
XAudio2_7.dll                 0x7FFF86250000
XDI.dll                       0x7FFF862E0000
wsfw_identifier.dll           0x7FFF864D0000
RobCo_Patcher.dll             0x7FFF865D0000
PowerGridTools.dll            0x7FFF866C0000
place.dll                     0x7FFF86730000
NVIDIA_Reflex.dll             0x7FFF867B0000
MODExplorer.dll               0x7FFF86880000
mcm.dll                       0x7FFF86900000
HighFPSPhysicsFix.dll         0x7FFF869A0000
HHS.dll                       0x7FFF86A30000
f4ee.dll                      0x7FFF86AD0000
Buffout4.dll                  0x7FFF86BE0000
faster_workshop.dll           0x7FFF87510000
f4se_1_10_163.dll             0x7FFF87620000
tier0_s64.dll                 0x7FFF877F0000
vstdlib_s64.dll               0x7FFF87990000
flexRelease_x64.dll           0x7FFF87A50000
MSVCR110.dll                  0x7FFF87BA0000
DSOUND.DLL                    0x7FFF88DA0000
F4z Ro D'oh.dll               0x7FFF88E60000
BulletCountedReload.dll       0x7FFF891C0000
GFSDK_SSAO_D3D11.win64.dll    0x7FFF941B0000
MSVCP110.dll                  0x7FFF94240000
bink2w64.dll                  0x7FFF944E0000
cudart64_75.dll               0x7FFF95F30000
UnlimitedSurvivalMode.dll     0x7FFF965E0000
GFSDK_GodraysLib.x64.dll      0x7FFF98650000
winmmbase.dll                 0x7FFF988D0000
RustyFaceFix.dll              0x7FFF9B590000
f4se_steam_loader.dll         0x7FFF9CFD0000
flexExtRelease_x64.dll        0x7FFFA2160000
nvspcap64.dll                 0x7FFFA5BB0000
COMCTL32.dll                  0x7FFFAD270000
VCRUNTIME140.dll              0x7FFFB3F90000
MSVCP140.dll                  0x7FFFB4340000
VCRUNTIME140_1.dll            0x7FFFB6760000
mskeyprotect.dll              0x7FFFB8420000
ncryptsslp.dll                0x7FFFB86F0000
Secur32.dll                   0x7FFFB8750000
nvwgf2umx.dll                 0x7FFFBACE0000
webio.dll                     0x7FFFC0140000
InputHost.dll                 0x7FFFC0900000
textinputframework.dll        0x7FFFC0A60000
Windows.UI.dll                0x7FFFC0BB0000
WeaponDebrisCrashFix.dll      0x7FFFC1460000
nvgpucomp64.dll               0x7FFFC1BA0000
MessageBus.dll                0x7FFFC3D90000
nvldumdx.dll                  0x7FFFC45B0000
MpOav.dll                     0x7FFFC4670000
OneCoreCommonProxyStub.dll    0x7FFFC5010000
nvToolsExt64_1.dll            0x7FFFC52C0000
wbemsvc.dll                   0x7FFFC5460000
nvapi64.dll                   0x7FFFC5490000
OneCoreUAPCommonProxyStub.dll 0x7FFFC5C40000
fastprox.dll                  0x7FFFC66D0000
WINMM.dll                     0x7FFFC6B40000
fwpuclnt.dll                  0x7FFFC8580000
wbemcomn.dll                  0x7FFFC8710000
wbemprox.dll                  0x7FFFC8BC0000
rasadhlp.dll                  0x7FFFC8BE0000
amsi.dll                      0x7FFFC8F00000
dxcore.dll                    0x7FFFC8F20000
dbghelp.dll                   0x7FFFC9100000
drvstore.dll                  0x7FFFC9C80000
cryptnet.dll                  0x7FFFC9F30000
VERSION.dll                   0x7FFFC9F80000
twinapi.appcore.dll           0x7FFFC9F90000
WindowManagementAPI.dll       0x7FFFCA230000
WINHTTP.dll                   0x7FFFCA380000
avrt.dll                      0x7FFFCA970000
MMDevApi.dll                  0x7FFFCAFB0000
dhcpcsvc.DLL                  0x7FFFCB0E0000
dhcpcsvc6.DLL                 0x7FFFCB100000
WINNSI.DLL                    0x7FFFCB120000
AUDIOSES.DLL                  0x7FFFCB140000
PROPSYS.dll                   0x7FFFCCBA0000
d3d11.dll                     0x7FFFCCD20000
wintypes.dll                  0x7FFFCDB00000
dcomp.dll                     0x7FFFCDC60000
CoreUIComponents.dll          0x7FFFCE1D0000
CoreMessaging.dll             0x7FFFCE530000
apphelp.dll                   0x7FFFCE8F0000
uxtheme.dll                   0x7FFFCEA20000
resourcepolicyclient.dll      0x7FFFCEAE0000
dwmapi.dll                    0x7FFFCED10000
kernel.appcore.dll            0x7FFFCEEF0000
windows.storage.dll           0x7FFFCF0F0000
HID.DLL                       0x7FFFCF890000
dxgi.dll                      0x7FFFCF8D0000
schannel.DLL                  0x7FFFCFF10000
rsaenh.dll                    0x7FFFD0000000
ntmarta.dll                   0x7FFFD0120000
IPHLPAPI.DLL                  0x7FFFD0420000
DNSAPI.dll                    0x7FFFD0460000
UMPDC.dll                     0x7FFFD0740000
MSWSOCK.dll                   0x7FFFD0760000
powrprof.dll                  0x7FFFD07D0000
CRYPTSP.dll                   0x7FFFD09A0000
CRYPTBASE.DLL                 0x7FFFD09C0000
Wldp.dll                      0x7FFFD0A50000
NTASN1.dll                    0x7FFFD0A80000
ncrypt.dll                    0x7FFFD0AC0000
msasn1.dll                    0x7FFFD0BE0000
devobj.dll                    0x7FFFD0DA0000
DPAPI.DLL                     0x7FFFD0E00000
USERENV.dll                   0x7FFFD0EC0000
SSPICLI.DLL                   0x7FFFD0EF0000
profapi.dll                   0x7FFFD0F40000
msvcp_win.dll                 0x7FFFD1010000
gdi32full.dll                 0x7FFFD10B0000
CRYPT32.dll                   0x7FFFD11D0000
KERNELBASE.dll                0x7FFFD13E0000
bcryptPrimitives.dll          0x7FFFD16E0000
bcrypt.dll                    0x7FFFD1770000
win32u.dll                    0x7FFFD17A0000
ucrtbase.dll                  0x7FFFD17D0000
cfgmgr32.dll                  0x7FFFD18D0000
wintrust.dll                  0x7FFFD1920000
NSI.dll                       0x7FFFD1990000
WS2_32.dll                    0x7FFFD19A0000
ole32.dll                     0x7FFFD1A10000
sechost.dll                   0x7FFFD1B40000
USER32.dll                    0x7FFFD1BE0000
IMM32.DLL                     0x7FFFD1D80000
MSCTF.dll                     0x7FFFD1DB0000
ADVAPI32.dll                  0x7FFFD1ED0000
COMDLG32.dll                  0x7FFFD1F80000
SETUPAPI.dll                  0x7FFFD20C0000
SHELL32.dll                   0x7FFFD2530000
KERNEL32.DLL                  0x7FFFD2C80000
PSAPI.DLL                     0x7FFFD2DD0000
msvcrt.dll                    0x7FFFD2DE0000
shlwapi.dll                   0x7FFFD2E80000
clbcatq.dll                   0x7FFFD2EE0000
GDI32.dll                     0x7FFFD2F90000
combase.dll                   0x7FFFD2FC0000
RPCRT4.dll                    0x7FFFD3380000
SHCORE.dll                    0x7FFFD3510000
OLEAUT32.dll                  0x7FFFD3650000
imagehlp.dll                  0x7FFFD38D0000
ntdll.dll                     0x7FFFD3930000
