XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000056080000
steam_api64.dll               0x000056090000
RTSSHooks64.dll               0x000180000000
Fallout4.exe                  0x7FF78D270000
nvcuda64.dll                  0x7FF860C60000
NvCamera64.dll                0x7FF863420000
nvcuda.dll                    0x7FF864570000
PhysXDevice64.dll             0x7FF864C60000
d3dcompiler_47_64.dll         0x7FF864D20000
gameoverlayrenderer64.dll     0x7FF865130000
steamclient64.dll             0x7FF865620000
dxgi.dll                      0x7FF866C80000
Buffout4.dll                  0x7FF8678F0000
ResampleDmo.DLL               0x7FF86F850000
XAudio2_7.dll                 0x7FF870010000
wsfw_identifier.dll           0x7FF8700A0000
DSOUND.DLL                    0x7FF873A20000
XDI.dll                       0x7FF875960000
ShadowBoostFO4.dll            0x7FF875E50000
RobCo_Patcher.dll             0x7FF876600000
PRKF.dll                      0x7FF8766F0000
FakeThroughScope.dll          0x7FF876780000
DINPUT8.dll                   0x7FF877E60000
NVIDIA_Reflex.dll             0x7FF878460000
PowerGridTools.dll            0x7FF878660000
mcm.dll                       0x7FF879670000
HighFPSPhysicsFix.dll         0x7FF879750000
tier0_s64.dll                 0x7FF8797E0000
CONCRT140.dll                 0x7FF8832F0000
DirectHit.dll                 0x7FF883340000
Deadeye.dll                   0x7FF8836E0000
BakaMaxPapyrusOps.dll         0x7FF883B20000
nvspcap64.dll                 0x7FF88DFA0000
msdmo.dll                     0x7FF88EEB0000
BulletCountedReload.dll       0x7FF8910E0000
Interior-NavCut-Fix.dll       0x7FF899860000
BodyPartsUI.dll               0x7FF8AA4A0000
Bastion.dll                   0x7FF8AB200000
flexRelease_x64.dll           0x7FF8AB630000
xinput1_4.dll                 0x7FF8AB7B0000
f4se_1_10_163.dll             0x7FF8B4B50000
achievements.dll              0x7FF8BFBF0000
vstdlib_s64.dll               0x7FF8C1580000
MSVCR110.dll                  0x7FF8C30F0000
f4se_steam_loader.dll         0x7FF8C3250000
GFSDK_SSAO_D3D11.win64.dll    0x7FF8C3290000
cudart64_75.dll               0x7FF8C3370000
WeaponDebrisCrashFix.dll      0x7FF8C9F20000
SprintStutteringFix.dll       0x7FF8CC470000
GFSDK_GodraysLib.x64.dll      0x7FF8CC750000
textinputframework.dll        0x7FF8CF920000
inputhost.dll                 0x7FF8D2BB0000
Windows.UI.dll                0x7FF8D2DB0000
MSVCP110.dll                  0x7FF8D7100000
bink2w64.dll                  0x7FF8D71B0000
usvfs_x64.dll                 0x7FF8D7800000
MpOav.dll                     0x7FF8DB850000
mskeyprotect.dll              0x7FF8DB950000
amsi.dll                      0x7FF8DC450000
ncryptsslp.dll                0x7FF8DCC00000
webio.dll                     0x7FF8DFE50000
MessageBus.dll                0x7FF8E1B20000
WININET.dll                   0x7FF8E2260000
nvwgf2umx.dll                 0x7FF8E4630000
fastprox.dll                  0x7FF8E9A40000
MessageBus.dll                0x7FF8E9B40000
winmmbase.dll                 0x7FF8EAC10000
wbemsvc.dll                   0x7FF8EAD40000
nvapi64.dll                   0x7FF8EB210000
