XINPUT1_3.dll                      0x000000400000
steam_api64.dll                    0x000075990000
X3DAudio1_7.dll                    0x0000759D0000
amdenc64.dll                       0x0000759E0000
d3d11.dll                          0x000180000000
LL_fourPlay_1_10_163.dll           0x01BAA5C70000
MSCTF.dll                          0x01BADA240000
clbcatq.dll                        0x01BAF37D0000
WINTRUST.dll                       0x01BAF3990000
Fallout4.exe                       0x7FF6C4B80000
d3dcompiler_46e.dll                0x7FFD8FFA0000
steamclient64.dll                  0x7FFD90A60000
Buffout4.dll                       0x7FFD929A0000
gameoverlayrenderer64.dll          0x7FFD9DF60000
wsfw_identifier.dll                0x7FFDADFF0000
usvfs_x64.dll                      0x7FFDD90D0000
po3_SpellPerkItemDistributorF4.dll 0x7FFDDC0C0000
po3_BaseObjectSwapperF4.dll        0x7FFDDC1D0000
RobCo_Patcher.dll                  0x7FFDDC330000
f4ee.dll                           0x7FFDDC420000
XDI.dll                            0x7FFDDCC60000
MSIMG32.dll                        0x7FFDE8440000
ShadowBoostFO4.dll                 0x7FFDEF1D0000
PowerGridTools.dll                 0x7FFE268C0000
BakaFramework.dll                  0x7FFE26930000
place.dll                          0x7FFE3ADC0000
f4se_1_10_163.dll                  0x7FFE3FBF0000
mcm.dll                            0x7FFE43440000
dxgi.dll                           0x7FFE434E0000
D3DCOMPILER_43.dll                 0x7FFE43910000
HighFPSPhysicsFix.dll              0x7FFE48330000
tier0_s64.dll                      0x7FFE487A0000
f4pm.dll                           0x7FFE4D380000
vstdlib_s64.dll                    0x7FFE4D3F0000
MSVCR110.dll                       0x7FFE4D4B0000
flexRelease_x64.dll                0x7FFE4D590000
IPHLPAPI.DLL                       0x7FFE4D6E0000
hudextension.dll                   0x7FFE4DF20000
cudart64_75.dll                    0x7FFE4E2E0000
ncryptsslp.dll                     0x7FFE54470000
d3dx11_43.dll                      0x7FFE546B0000
cryptnet.dll                       0x7FFE54770000
ondemandconnroutehelper.dll        0x7FFE548B0000
GFSDK_GodraysLib.x64.dll           0x7FFE55CC0000
GFSDK_SSAO_D3D11.win64.dll         0x7FFE581E0000
winmmbase.dll                      0x7FFE5BAC0000
mskeyprotect.dll                   0x7FFE5BD70000
xinput1_4.dll                      0x7FFE5BFB0000
flexExtRelease_x64.dll             0x7FFE5BFD0000
enbhelperf4.dll                    0x7FFE5D8F0000
DSOUND.DLL                         0x7FFE5E030000
XAudio2_7.dll                      0x7FFE5E0D0000
f4se_steam_loader.dll              0x7FFE5E300000
wbemprox.dll                       0x7FFE5E8F0000
MpOav.dll                          0x7FFE5EAD0000
amsi.dll                           0x7FFE5EEC0000
wbemsvc.dll                        0x7FFE5EF10000
fastprox.dll                       0x7FFE5F030000
WINSPOOL.DRV                       0x7FFE5F290000
bink2w64.dll                       0x7FFE5F6A0000
MSVCP110.dll                       0x7FFE5F730000
COMCTL32.dll                       0x7FFE62D30000
Secur32.dll                        0x7FFE637C0000
wbemcomn.dll                       0x7FFE650E0000
webio.dll                          0x7FFE653B0000
VCRUNTIME140_1.dll                 0x7FFE661D0000
VCRUNTIME140.dll                   0x7FFE661E0000
MSVCP140.dll                       0x7FFE66200000
OneCoreCommonProxyStub.dll         0x7FFE66EB0000
WININET.dll                        0x7FFE67480000
rasadhlp.dll                       0x7FFE68350000
fwpuclnt.dll                       0x7FFE68BC0000
amdihk64.dll                       0x7FFE69C30000
srvcli.dll                         0x7FFE69C90000
urlmon.dll                         0x7FFE69CC0000
MPR.dll                            0x7FFE69EB0000
AcGenral.DLL                       0x7FFE69ED0000
atidxx64.dll                       0x7FFE69F40000
deviceaccess.dll                   0x7FFE6A2E0000
iertutil.dll                       0x7FFE6A3D0000
inputhost.dll                      0x7FFE6B890000
textinputframework.dll             0x7FFE6B9F0000
Windows.UI.dll                     0x7FFE6BAF0000
amdxx64.dll                        0x7FFE6BD40000
WINMM.dll                          0x7FFE6F800000
aticfx64.dll                       0x7FFE6FB30000
dxcore.dll                         0x7FFE6FD90000
OneCoreUAPCommonProxyStub.dll      0x7FFE70640000
VERSION.dll                        0x7FFE71250000
AUDIOSES.DLL                       0x7FFE71B70000
MMDevApi.dll                       0x7FFE71DB0000
WindowsCodecs.dll                  0x7FFE72140000
