XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x00006A750000
steam_api64.dll                    0x00006A760000
FallSouls.dll                      0x0289B92C0000
Fallout4.exe                       0x7FF62BCA0000
XAudio2_7.dll                      0x7FFC59800000
gameoverlayrenderer64.dll          0x7FFC59890000
XDI.dll                            0x7FFC59A20000
WhoseQuestIsItAnywayF4.dll         0x7FFC59A90000
ToYourFaceFO4.dll                  0x7FFC59AF0000
SprintSpeedController.dll          0x7FFC59B40000
RobCo_Patcher.dll                  0x7FFC59B90000
RememberPickAngleUpdated.dll       0x7FFC59C80000
ReloadFix.dll                      0x7FFC59D40000
PrivateProfileRedirector.dll       0x7FFC59D90000
po3_SimpleOffenceSuppressionF4.dll 0x7FFC59DF0000
Outfit-ReDress-Fix.dll             0x7FFC59E80000
MGEFConditionFix.dll               0x7FFC59ED0000
mcm.dll                            0x7FFC59F20000
LongLoadingTimesFix.dll            0x7FFC59FC0000
CONCRT140.dll                      0x7FFC5A020000
Interior-NavCut-Fix.dll            0x7FFC5A070000
Buffout4.dll                       0x7FFC5A0C0000
steamclient64.dll                  0x7FFC5A420000
HighFPSPhysicsFix.dll              0x7FFC63EB0000
ClassicHolsteredWeapons.dll        0x7FFC63F40000
BulletCountedReload.dll            0x7FFC64070000
BLD_Helper.dll                     0x7FFC64100000
BakaMaxPapyrusOps.dll              0x7FFC64460000
f4se_1_10_163.dll                  0x7FFC64920000
tier0_s64.dll                      0x7FFC64A00000
DirectHit.dll                      0x7FFC65030000
vstdlib_s64.dll                    0x7FFC65090000
CCExtenderF4.dll                   0x7FFC651E0000
GLXRM_FriendlyFire.dll             0x7FFC652B0000
cudart64_75.dll                    0x7FFC65390000
GFSDK_SSAO_D3D11.win64.dll         0x7FFC655A0000
flexRelease_x64.dll                0x7FFC65630000
MSVCR110.dll                       0x7FFC65780000
MSVCP110.dll                       0x7FFC65860000
GFSDK_GodraysLib.x64.dll           0x7FFC6B230000
bink2w64.dll                       0x7FFC6B290000
Bastion.dll                        0x7FFC6BE50000
flexExtRelease_x64.dll             0x7FFC6C330000
ArmorPenetrationBugFix.dll         0x7FFC6C3E0000
f4se_steam_loader.dll              0x7FFC77540000
nvspcap64.dll                      0x7FFC78C50000
encounter_zone_recalculation.dll   0x7FFC80240000
AmmoRemover.dll                    0x7FFC803A0000
SprintStutteringFix.dll            0x7FFC81390000
mskeyprotect.dll                   0x7FFCEBED0000
ncryptsslp.dll                     0x7FFCEBF20000
MSVCP140.dll                       0x7FFCFA760000
winmmbase.dll                      0x7FFCFA7F0000
DSOUND.DLL                         0x7FFCFAE40000
VCRUNTIME140_1.dll                 0x7FFCFB2A0000
VCRUNTIME140.dll                   0x7FFCFB2B0000
MSVCP140_ATOMIC_WAIT.dll           0x7FFCFD290000
nvToolsExt64_1.dll                 0x7FFCFD3C0000
Secur32.dll                        0x7FFCFE1C0000
OneCoreCommonProxyStub.dll         0x7FFCFE6F0000
COMCTL32.dll                       0x7FFCFFE20000
MpOav.dll                          0x7FFD002A0000
fastprox.dll                       0x7FFD00780000
amsi.dll                           0x7FFD00890000
fwpuclnt.dll                       0x7FFD00980000
MessageBus.dll                     0x7FFD00C90000
webio.dll                          0x7FFD013D0000
wbemsvc.dll                        0x7FFD014F0000
wbemcomn.dll                       0x7FFD01930000
nvapi64.dll                        0x7FFD01DF0000
nvwgf2umx.dll                      0x7FFD025A0000
dbghelp.dll                        0x7FFD079B0000
WINMM.dll                          0x7FFD082F0000
nvgpucomp64.dll                    0x7FFD0AB90000
InputHost.dll                      0x7FFD0D0D0000
textinputframework.dll             0x7FFD0D230000
nvldumdx.dll                       0x7FFD0D330000
