XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x00005FB70000
steam_api64.dll                    0x00005FB80000
d3d11.dll                          0x000180000000
wintrust.dll                       0x01D3A0060000
clbcatq.dll                        0x01D3C0060000
BakaFramework.dll                  0x01D3D25F0000
LL_fourPlay_1_10_163.dll           0x01D3EDA90000
Fallout4.exe                       0x7FF62E720000
d3dcompiler_46e.dll                0x7FF9A48F0000
gameoverlayrenderer64.dll          0x7FF9A53D0000
XDI.dll                            0x7FF9A5560000
transfer_settlements.dll           0x7FF9A55D0000
wsfw_identifier.dll                0x7FF9A83C0000
WhoseQuestIsItAnywayF4.dll         0x7FF9A84C0000
UnlimitedSurvivalMode.dll          0x7FF9A8520000
terminal+.dll                      0x7FF9A8570000
SprintSpeedController.dll          0x7FF9A86C0000
RobCo_Patcher.dll                  0x7FF9A8710000
ProjectMojave.dll                  0x7FF9A8800000
PRKF.dll                           0x7FF9A8880000
PowerGridTools.dll                 0x7FF9A8910000
po3_SpellPerkItemDistributorF4.dll 0x7FF9A8980000
po3_SimpleOffenceSuppressionF4.dll 0x7FF9A8A90000
po3_BaseObjectSwapperF4.dll        0x7FF9A8B20000
NVIDIA_Reflex.dll                  0x7FF9A8C30000
steamclient64.dll                  0x7FF9A8D00000
place.dll                          0x7FF9AA510000
MGEFConditionFix.dll               0x7FF9AA590000
mcm.dll                            0x7FF9AA5E0000
LooksmenuPlayerRotation.dll        0x7FF9AA680000
LongLoadingTimesFix.dll            0x7FF9AA6D0000
LighthousePapyrusExtender.dll      0x7FF9AA730000
Interior-NavCut-Fix.dll            0x7FF9AA850000
HighFPSPhysicsFix.dll              0x7FF9AA8A0000
GLXRM_UnleveledWorld.dll           0x7FF9AA930000
GLXRM_SprintOverhaul.dll           0x7FF9AA980000
GLXRM_ScalingFlagRemover.dll       0x7FF9AA9D0000
GLXRM_NoAttackMessages.dll         0x7FF9AAA20000
GLXRM_FriendlyFire.dll             0x7FF9AAA70000
GCBugFix.dll                       0x7FF9AAAC0000
faster_workshop.dll                0x7FF9AAB20000
f4pm.dll                           0x7FF9AAB80000
f4ee.dll                           0x7FF9AABF0000
EscapeFreeze.dll                   0x7FF9AAD00000
DirectHit.dll                      0x7FF9AADC0000
Deadeye.dll                        0x7FF9AAE20000
crafting_highlight_fix.dll         0x7FF9AAE80000
ConsoleUtilF4.dll                  0x7FF9AAED0000
ClassicHolsteredWeapons.dll        0x7FF9AAF20000
CCExtenderF4.dll                   0x7FF9AAFD0000
BulletCountedReload.dll            0x7FF9AB040000
Buffout4.dll                       0x7FF9AB0D0000
BlockingOverhaul.dll               0x7FF9AB430000
BLD_Helper.dll                     0x7FF9AB480000
BetterConsole.dll                  0x7FF9AB7E0000
BakaMaxPapyrusOps.dll              0x7FF9AB850000
f4se_1_10_163.dll                  0x7FF9AB9F0000
Bastion.dll                        0x7FF9C1A20000
vstdlib_s64.dll                    0x7FF9C1A70000
IPHLPAPI.DLL                       0x7FF9C1B30000
tier0_s64.dll                      0x7FF9DE130000
D3DCOMPILER_43.dll                 0x7FF9DE2D0000
ArmorPenetrationBugFix.dll         0x7FF9E17D0000
d3dx11_43.dll                      0x7FF9E1820000
flexRelease_x64.dll                0x7FF9E1870000
nvspcap64.dll                      0x7FF9E24C0000
cudart64_75.dll                    0x7FF9E4360000
usvfs_x64.dll                      0x7FF9E4680000
GFSDK_SSAO_D3D11.win64.dll         0x7FF9E6590000
MSVCR110.dll                       0x7FF9E6620000
MSVCP110.dll                       0x7FF9E6700000
ResampleDmo.DLL                    0x7FF9EA220000
GFSDK_GodraysLib.x64.dll           0x7FF9EC560000
flexExtRelease_x64.dll             0x7FF9ED2A0000
XAudio2_7.dll                      0x7FF9EF6D0000
WeaponDebrisCrashFix.dll           0x7FF9FDDC0000
nvwgf2umx.dll                      0x7FFA00700000
SprintStutteringFix.dll            0x7FFA05B50000
ncryptsslp.dll                     0x7FFA26300000
CONCRT140.dll                      0x7FFA283A0000
VCRUNTIME140_1.dll                 0x7FFA28800000
VCRUNTIME140.dll                   0x7FFA28860000
MSVCP140.dll                       0x7FFA28890000
winmmbase.dll                      0x7FFA28E40000
msdmo.dll                          0x7FFA2B870000
AUDIOSES.DLL                       0x7FFA2BDC0000
MMDevApi.dll                       0x7FFA2CB60000
libdiskCacheEnabler.dll            0x7FFA2CE30000
webio.dll                          0x7FFA308D0000
DSOUND.DLL                         0x7FFA38700000
encounter_zone_recalculation.dll   0x7FFA38F90000
f4se_steam_loader.dll              0x7FFA3B650000
bink2w64.dll                       0x7FFA3B690000
nvgpucomp64.dll                    0x7FFA3B760000
Windows.UI.dll                     0x7FFA3E390000
WINSPOOL.DRV                       0x7FFA3F1F0000
COMCTL32.dll                       0x7FFA3F2A0000
MpOav.dll                          0x7FFA40600000
fastprox.dll                       0x7FFA40870000
MessageBus.dll                     0x7FFA40970000
textinputframework.dll             0x7FFA414C0000
MSVCP140_ATOMIC_WAIT.dll           0x7FFA43080000
nvToolsExt64_1.dll                 0x7FFA430A0000
amsi.dll                           0x7FFA43CD0000
wbemsvc.dll                        0x7FFA43F70000
wbemcomn.dll                       0x7FFA447B0000
nvapi64.dll                        0x7FFA44A00000
nvldumdx.dll                       0x7FFA45240000
wbemprox.dll                       0x7FFA46220000
WINMM.dll                          0x7FFA46290000
drvstore.dll                       0x7FFA46E60000
DbgHelp.dll                        0x7FFA46FC0000
cryptnet.dll                       0x7FFA472D0000
VERSION.dll                        0x7FFA47350000
fwpuclnt.dll                       0x7FFA48CA0000
rasadhlp.dll                       0x7FFA48D90000
CoreUIComponents.dll               0x7FFA48DC0000
avrt.dll                           0x7FFA49440000
directxdatabasehelper.dll          0x7FFA497C0000
dhcpcsvc.DLL                       0x7FFA4A440000
dhcpcsvc6.DLL                      0x7FFA4A740000
MSIMG32.dll                        0x7FFA4A8C0000
WINHTTP.dll                        0x7FFA4A950000
d3d11.dll                          0x7FFA4BAA0000
dcomp.dll                          0x7FFA4BD00000
CoreMessaging.dll                  0x7FFA4C370000
apphelp.dll                        0x7FFA4CD30000
UxTheme.dll                        0x7FFA4DA60000
WINNSI.DLL                         0x7FFA4DC70000
dxcore.dll                         0x7FFA4DD00000
dxgi.dll                           0x7FFA4DD40000
dwmapi.dll                         0x7FFA4DE70000
resourcepolicyclient.dll           0x7FFA4E1B0000
wintypes.dll                       0x7FFA4E4E0000
windows.storage.dll                0x7FFA4E620000
HID.DLL                            0x7FFA4EF20000
IpHlpAPI.dll                       0x7FFA4F1F0000
DNSAPI.dll                         0x7FFA4F260000
UMPDC.dll                          0x7FFA4F530000
POWRPROF.dll                       0x7FFA4F550000
Secur32.dll                        0x7FFA4F5C0000
schannel.DLL                       0x7FFA4F640000
rsaenh.dll                         0x7FFA4F750000
kernel.appcore.dll                 0x7FFA4F790000
ntmarta.dll                        0x7FFA4F820000
SSPICLI.DLL                        0x7FFA4FA60000
MSWSOCK.dll                        0x7FFA4FC70000
USERENV.dll                        0x7FFA4FD50000
CRYPTSP.dll                        0x7FFA4FEE0000
CRYPTBASE.DLL                      0x7FFA4FF00000
wldp.dll                           0x7FFA4FFB0000
NTASN1.dll                         0x7FFA50060000
ncrypt.dll                         0x7FFA500A0000
bcrypt.dll                         0x7FFA500D0000
msasn1.dll                         0x7FFA503E0000
devobj.dll                         0x7FFA50400000
CFGMGR32.dll                       0x7FFA50450000
DPAPI.DLL                          0x7FFA504A0000
profapi.dll                        0x7FFA50670000
ucrtbase.dll                       0x7FFA507B0000
gdi32full.dll                      0x7FFA508D0000
win32u.dll                         0x7FFA509F0000
KERNELBASE.dll                     0x7FFA50A20000
bcryptPrimitives.dll               0x7FFA50DD0000
CRYPT32.dll                        0x7FFA50E50000
msvcp_win.dll                      0x7FFA51080000
KERNEL32.DLL                       0x7FFA51140000
msvcrt.dll                         0x7FFA51210000
sechost.dll                        0x7FFA512C0000
SHELL32.dll                        0x7FFA51370000
combase.dll                        0x7FFA51BD0000
shcore.dll                         0x7FFA51F60000
USER32.dll                         0x7FFA52150000
RPCRT4.dll                         0x7FFA52300000
ADVAPI32.dll                       0x7FFA52420000
IMM32.DLL                          0x7FFA524E0000
imagehlp.dll                       0x7FFA52590000
NSI.dll                            0x7FFA525C0000
WS2_32.dll                         0x7FFA525D0000
OLEAUT32.dll                       0x7FFA52650000
PSAPI.DLL                          0x7FFA52730000
ole32.dll                          0x7FFA52740000
MSCTF.dll                          0x7FFA528E0000
GDI32.dll                          0x7FFA52A30000
SHLWAPI.dll                        0x7FFA52A60000
SETUPAPI.dll                       0x7FFA52B70000
COMDLG32.dll                       0x7FFA53070000
ntdll.dll                          0x7FFA533D0000
