XINPUT1_3.dll                0x000000400000
steam_api64.dll              0x0000519F0000
X3DAudio1_7.dll              0x000051A30000
LL_fourPlay_1_10_163.dll     0x000180000000
Fallout4.exe                 0x7FF6637B0000
steamclient64.dll            0x7FFCCDFE0000
nvwgf2umx.dll                0x7FFCF5A10000
nvldumdx.dll                 0x7FFD23920000
Buffout4.dll                 0x7FFD3C920000
nvspcap64.dll                0x7FFD441F0000
transfer_settlements.dll     0x7FFD44920000
gameoverlayrenderer64.dll    0x7FFD46D20000
XDI.dll                      0x7FFD4BBC0000
wsfw_identifier.dll          0x7FFD4D920000
terminal+.dll                0x7FFD4E530000
RobCo_Patcher.dll            0x7FFD4E680000
PrivateProfileRedirector.dll 0x7FFD4F980000
HHS.dll                      0x7FFD4F9E0000
f4ee.dll                     0x7FFD50610000
BakaScrapHeap.dll            0x7FFD50720000
XAudio2_7.dll                0x7FFD508A0000
BakaFramework.dll            0x7FFD52200000
PowerGridTools.dll           0x7FFD52BB0000
place.dll                    0x7FFD54C60000
mcm.dll                      0x7FFD54D60000
lootman.dll                  0x7FFD55C50000
HighFPSPhysicsFix.dll        0x7FFD56140000
f4se_1_10_163.dll            0x7FFD5C3E0000
tier0_s64.dll                0x7FFD5C9B0000
vstdlib_s64.dll              0x7FFD5CB50000
flexRelease_x64.dll          0x7FFD5CC10000
ConsoleUtilF4.dll            0x7FFD5E520000
cbp.dll                      0x7FFD5F060000
BetterConsole.dll            0x7FFD69350000
flexExtRelease_x64.dll       0x7FFD69520000
GFSDK_SSAO_D3D11.win64.dll   0x7FFD69580000
msdmo.dll                    0x7FFD6C1F0000
cudart64_75.dll              0x7FFD6EEE0000
MSVCR110.dll                 0x7FFD73C00000
GFSDK_GodraysLib.x64.dll     0x7FFD79170000
MSVCP110.dll                 0x7FFD791D0000
symamsi.dll                  0x7FFD7CCC0000
ncryptsslp.dll               0x7FFD7D410000
MessageBus.dll               0x7FFD8C520000
MSVCP140.dll                 0x7FFD8E000000
Windows.UI.dll               0x7FFD8E460000
VCRUNTIME140_1.dll           0x7FFD8E6F0000
VCRUNTIME140.dll             0x7FFD8F0F0000
COMCTL32.dll                 0x7FFD90710000
ResampleDmo.DLL              0x7FFD90B50000
DSOUND.DLL                   0x7FFD90C10000
f4se_steam_loader.dll        0x7FFD94D80000
webio.dll                    0x7FFD965E0000
winmmbase.dll                0x7FFD983B0000
bink2w64.dll                 0x7FFD9ADD0000
MpOav.dll                    0x7FFD9C930000
textinputframework.dll       0x7FFD9D010000
