XINPUT1_3.dll                 0x000000400000
steam_api64.dll               0x000067D80000
X3DAudio1_7.dll               0x000067DC0000
d3d11.dll                     0x000180000000
NSI.dll                       0x021084E30000
LL_fourPlay_1_10_163.dll      0x0210CBAB0000
Fallout4.exe                  0x7FF76A430000
steamclient64.dll             0x7FFB93C00000
DSOUND.DLL                    0x7FFB9BFA0000
XAudio2_7.dll                 0x7FFB9C070000
nvspcap64.dll                 0x7FFB9EE40000
d3dcompiler_46e.dll           0x7FFB9FCE0000
gameoverlayrenderer64.dll     0x7FFBA00A0000
Buffout4.dll                  0x7FFBA0230000
auto_backup_executable.dll    0x7FFBA0590000
D3DCOMPILER_43.dll            0x7FFBA0900000
f4ee.dll                      0x7FFBA1AE0000
f4se_1_10_163.dll             0x7FFBA2090000
tier0_s64.dll                 0x7FFBA3240000
flexRelease_x64.dll           0x7FFBA3750000
mcm.dll                       0x7FFBB4520000
vstdlib_s64.dll               0x7FFBBB5A0000
BulletCountedReload.dll       0x7FFBD3A90000
GFSDK_SSAO_D3D11.win64.dll    0x7FFBD5330000
bink2w64.dll                  0x7FFBD5450000
winmmbase.dll                 0x7FFBDBAD0000
d3dx11_43.dll                 0x7FFBDD810000
GFSDK_GodraysLib.x64.dll      0x7FFBE1650000
MSVCR110.dll                  0x7FFBE16B0000
nvwgf2umx.dll                 0x7FFBE1920000
mskeyprotect.dll              0x7FFBE75C0000
ncryptsslp.dll                0x7FFBE77E0000
COMCTL32.dll                  0x7FFBE96B0000
cudart64_75.dll               0x7FFBEA5C0000
flexExtRelease_x64.dll        0x7FFBEC8A0000
MSVCP110.dll                  0x7FFBECA50000
fwpuclnt.dll                  0x7FFBED030000
webio.dll                     0x7FFBED110000
nvgpucomp64.dll               0x7FFBED1B0000
InputHost.dll                 0x7FFBEF9C0000
MessageBus.dll                0x7FFBEFB50000
textinputframework.dll        0x7FFBF04A0000
Windows.UI.dll                0x7FFBF08B0000
amsi.dll                      0x7FFBF0C40000
OneCoreCommonProxyStub.dll    0x7FFBF13D0000
f4se_steam_loader.dll         0x7FFBF14F0000
rasadhlp.dll                  0x7FFBF2890000
nvldumdx.dll                  0x7FFBF2E50000
nvapi64.dll                   0x7FFBF2F10000
wbemsvc.dll                   0x7FFBF3770000
fastprox.dll                  0x7FFBF3790000
dbghelp.dll                   0x7FFBF4210000
dxcore.dll                    0x7FFBF5740000
WINMM.dll                     0x7FFBF5780000
OneCoreUAPCommonProxyStub.dll 0x7FFBF5840000
wbemcomn.dll                  0x7FFBF6930000
wbemprox.dll                  0x7FFBF6DB0000
Secur32.dll                   0x7FFBF6E60000
MpOav.dll                     0x7FFBF6E70000
drvstore.dll                  0x7FFBF7240000
twinapi.appcore.dll           0x7FFBF7390000
cryptnet.dll                  0x7FFBF7630000
VERSION.dll                   0x7FFBF7830000
WindowManagementAPI.dll       0x7FFBF7960000
WINHTTP.dll                   0x7FFBF7A10000
dhcpcsvc.DLL                  0x7FFBF7C20000
dhcpcsvc6.DLL                 0x7FFBF7D40000
MMDevApi.dll                  0x7FFBF7DF0000
avrt.dll                      0x7FFBF80B0000
AUDIOSES.DLL                  0x7FFBF80C0000
WINNSI.DLL                    0x7FFBF8500000
nvToolsExt64_1.dll            0x7FFBF93B0000
PROPSYS.dll                   0x7FFBF9400000
d3d11.dll                     0x7FFBF9590000
wintypes.dll                  0x7FFBFA360000
dcomp.dll                     0x7FFBFA510000
CoreUIComponents.dll          0x7FFBFAAD0000
CoreMessaging.dll             0x7FFBFAE30000
uxtheme.dll                   0x7FFBFB280000
resourcepolicyclient.dll      0x7FFBFB340000
dwmapi.dll                    0x7FFBFB570000
kernel.appcore.dll            0x7FFBFB750000
windows.storage.dll           0x7FFBFB950000
HID.DLL                       0x7FFBFC0F0000
dxgi.dll                      0x7FFBFC130000
schannel.DLL                  0x7FFBFC7E0000
rsaenh.dll                    0x7FFBFC8D0000
ntmarta.dll                   0x7FFBFC9F0000
UMPDC.dll                     0x7FFBFCC90000
IPHLPAPI.DLL                  0x7FFBFCCB0000
DNSAPI.dll                    0x7FFBFCCF0000
powrprof.dll                  0x7FFBFCDD0000
MSWSOCK.dll                   0x7FFBFD010000
CRYPTSP.dll                   0x7FFBFD200000
CRYPTBASE.DLL                 0x7FFBFD220000
Wldp.dll                      0x7FFBFD2B0000
NTASN1.dll                    0x7FFBFD2E0000
ncrypt.dll                    0x7FFBFD320000
msasn1.dll                    0x7FFBFD440000
devobj.dll                    0x7FFBFD600000
DPAPI.DLL                     0x7FFBFD660000
USERENV.dll                   0x7FFBFD720000
SSPICLI.DLL                   0x7FFBFD750000
profapi.dll                   0x7FFBFD7A0000
wintrust.dll                  0x7FFBFD870000
cfgmgr32.dll                  0x7FFBFD8E0000
ucrtbase.dll                  0x7FFBFD9E0000
win32u.dll                    0x7FFBFDAE0000
msvcp_win.dll                 0x7FFBFDB10000
gdi32full.dll                 0x7FFBFDBB0000
KERNELBASE.dll                0x7FFBFDCD0000
CRYPT32.dll                   0x7FFBFDFD0000
bcryptPrimitives.dll          0x7FFBFE130000
bcrypt.dll                    0x7FFBFE1C0000
