XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000051D40000
steam_api64.dll               0x000051D50000
d3d11.dll                     0x000180000000
LL_fourPlay_1_10_163.dll      0x023AB1920000
MSCTF.dll                     0x023BBD7F0000
WINTRUST.DLL                  0x023BBE3C0000
Fallout4.exe                  0x7FF661760000
nvcuda64.dll                  0x7FFEEC1C0000
steamclient64.dll             0x7FFEECB60000
NvCamera64.dll                0x7FFEF0540000
nvwgf2umx.dll                 0x7FFEF5410000
nvldumdx.dll                  0x7FFEFAC60000
D3DCOMPILER_43.dll            0x7FFF0D180000
d3dcompiler_47_64.dll         0x7FFF0E080000
nvspcap64.dll                 0x7FFF0EDC0000
XAudio2_7.dll                 0x7FFF119D0000
d3dcompiler_46e.dll           0x7FFF130B0000
gameoverlayrenderer64.dll     0x7FFF13C50000
ScreenArcherMenu.dll          0x7FFF13DE0000
IPHLPAPI.DLL                  0x7FFF13F40000
DINPUT8.dll                   0x7FFF24C10000
SAF.dll                       0x7FFF24C60000
Buffout4.dll                  0x7FFF25560000
XDI.dll                       0x7FFF29820000
NVIDIA_Reflex.dll             0x7FFF29890000
UnlimitedSurvivalMode.dll     0x7FFF29AE0000
mcm.dll                       0x7FFF29B30000
HighFPSPhysicsFix.dll         0x7FFF2A950000
HHS.dll                       0x7FFF2A9E0000
f4ee.dll                      0x7FFF2AAD0000
HUDPlusPlus.dll               0x7FFF2AD40000
ClassicHolsteredWeapons.dll   0x7FFF2ADC0000
BulletCountedReload.dll       0x7FFF2AE70000
f4se_1_10_163.dll             0x7FFF2BFC0000
F4z Ro D'oh.dll               0x7FFF2C250000
UneducatedShooter.dll         0x7FFF2C320000
f4pm.dll                      0x7FFF2FE60000
tier0_s64.dll                 0x7FFF2FF60000
SprintSpeedController.dll     0x7FFF64A50000
vstdlib_s64.dll               0x7FFF64AA0000
flexRelease_x64.dll           0x7FFF64B60000
MSVCR110.dll                  0x7FFF64CB0000
d3dx11_43.dll                 0x7FFF660E0000
RaceChanger.dll               0x7FFF6FCD0000
CustomScaleFix.dll            0x7FFF71080000
usvfs_x64.dll                 0x7FFF71BF0000
enbhelperf4.dll               0x7FFF7FA60000
ConsoleUtilF4.dll             0x7FFF8DBB0000
TextShaping.dll               0x7FFF8E6F0000
BetterConsole.dll             0x7FFF90120000
MSVCP110.dll                  0x7FFF90190000
Windows.UI.dll                0x7FFF90640000
OneCoreCommonProxyStub.dll    0x7FFF95340000
ClockWidget.dll               0x7FFF99E10000
GFSDK_SSAO_D3D11.win64.dll    0x7FFF9A680000
cudart64_75.dll               0x7FFF9AC00000
GFSDK_GodraysLib.x64.dll      0x7FFF9B160000
mskeyprotect.dll              0x7FFF9B5D0000
ncryptsslp.dll                0x7FFF9E750000
MessageBus.dll                0x7FFFA6F40000
textinputframework.dll        0x7FFFA8990000
