XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000075410000
steam_api64.dll               0x000075420000
amdenc64.dll                  0x000075670000
LL_fourPlay_1_10_163.dll      0x000180000000
Buffout4.dll                  0x01FD560F0000
Fallout4.exe                  0x7FF6D20A0000
steamclient64.dll             0x7FF9427C0000
XAudio2_7.dll                 0x7FF9462E0000
ResampleDmo.DLL               0x7FF946370000
DSOUND.DLL                    0x7FF946430000
gameoverlayrenderer64.dll     0x7FF946550000
Buffout4.dll                  0x7FF9466E0000
cudart64_75.dll               0x7FF946A40000
GFSDK_GodraysLib.x64.dll      0x7FF946AA0000
flexRelease_x64.dll           0x7FF946B00000
IPHLPAPI.DLL                  0x7FF946C50000
f4se_steam_loader.dll         0x7FF947B90000
GFSDK_SSAO_D3D11.win64.dll    0x7FF947BD0000
flexExtRelease_x64.dll        0x7FF947C60000
MSVCR110.dll                  0x7FF947CC0000
MSVCP110.dll                  0x7FF947DA0000
bink2w64.dll                  0x7FF947E50000
f4ee.dll                      0x7FF947F20000
f4se_1_10_163.dll             0x7FF948390000
vstdlib_s64.dll               0x7FF948470000
tier0_s64.dll                 0x7FF948530000
fastprox.dll                  0x7FF9BDF30000
wbemsvc.dll                   0x7FF9BE740000
wbemprox.dll                  0x7FF9BEC40000
MpOav.dll                     0x7FF9C92E0000
amsi.dll                      0x7FF9C9360000
usvfs_x64.dll                 0x7FF9D1710000
WINSPOOL.DRV                  0x7FF9DCDB0000
msdmo.dll                     0x7FF9DF1B0000
nvToolsExt64_1.dll            0x7FF9DF1C0000
VCRUNTIME140.dll              0x7FF9E05B0000
MSIMG32.dll                   0x7FF9E05D0000
MSVCP140.dll                  0x7FF9E0F10000
VCRUNTIME140_1.dll            0x7FF9E1850000
COMCTL32.dll                  0x7FF9EC8C0000
wbemcomn.dll                  0x7FF9EF1F0000
winmmbase.dll                 0x7FF9EFE10000
textinputframework.dll        0x7FF9EFE40000
Windows.UI.dll                0x7FF9F0960000
OneCoreCommonProxyStub.dll    0x7FF9F2110000
AUDIOSES.DLL                  0x7FF9F2510000
amdihk64.dll                  0x7FF9F3230000
MPR.dll                       0x7FF9F3270000
AcGenral.DLL                  0x7FF9F3330000
atidxx64.dll                  0x7FF9F33A0000
MMDevApi.dll                  0x7FF9F3400000
amdxx64.dll                   0x7FF9F38B0000
WINMM.dll                     0x7FF9F73B0000
aticfx64.dll                  0x7FF9F73F0000
OneCoreUAPCommonProxyStub.dll 0x7FF9F7650000
VERSION.dll                   0x7FF9F8C00000
DbgHelp.dll                   0x7FF9F8D80000
CoreUIComponents.dll          0x7FF9FA620000
avrt.dll                      0x7FF9FADE0000
directxdatabasehelper.dll     0x7FF9FB220000
WINHTTP.dll                   0x7FF9FB540000
d3d11.dll                     0x7FF9FDFD0000
dcomp.dll                     0x7FF9FE230000
CoreMessaging.dll             0x7FF9FE8C0000
apphelp.dll                   0x7FF9FEC90000
UxTheme.dll                   0x7FF9FEE60000
dxcore.dll                    0x7FF9FEF60000
dxgi.dll                      0x7FF9FEFA0000
dwmapi.dll                    0x7FF9FF1A0000
resourcepolicyclient.dll      0x7FF9FF310000
wintypes.dll                  0x7FF9FF700000
windows.storage.dll           0x7FF9FF840000
HID.DLL                       0x7FFA00140000
IpHlpAPI.dll                  0x7FFA003A0000
Secur32.dll                   0x7FFA006F0000
kernel.appcore.dll            0x7FFA00880000
SSPICLI.DLL                   0x7FFA00B80000
MSWSOCK.dll                   0x7FFA00DA0000
USERENV.dll                   0x7FFA00E90000
CRYPTBASE.DLL                 0x7FFA01010000
MSASN1.dll                    0x7FFA01050000
bcrypt.dll                    0x7FFA011E0000
DEVOBJ.dll                    0x7FFA01560000
CFGMGR32.dll                  0x7FFA01590000
UMPDC.dll                     0x7FFA01620000
powrprof.dll                  0x7FFA01740000
profapi.dll                   0x7FFA01850000
win32u.dll                    0x7FFA01920000
KERNELBASE.dll                0x7FFA01950000
WINTRUST.dll                  0x7FFA01D00000
bcryptPrimitives.dll          0x7FFA01E30000
msvcp_win.dll                 0x7FFA01EB0000
ucrtbase.dll                  0x7FFA01F50000
CRYPT32.dll                   0x7FFA02070000
gdi32full.dll                 0x7FFA021E0000
GDI32.dll                     0x7FFA02300000
RPCRT4.dll                    0x7FFA02330000
IMM32.DLL                     0x7FFA02450000
WS2_32.dll                    0x7FFA024F0000
msvcrt.dll                    0x7FFA02600000
OLEAUT32.dll                  0x7FFA026B0000
sechost.dll                   0x7FFA02790000
SHLWAPI.dll                   0x7FFA02860000
shcore.dll                    0x7FFA02930000
imagehlp.dll                  0x7FFA02BF0000
KERNEL32.DLL                  0x7FFA02C10000
combase.dll                   0x7FFA02D60000
clbcatq.dll                   0x7FFA030F0000
COMDLG32.dll                  0x7FFA031A0000
MSCTF.dll                     0x7FFA032A0000
USER32.dll                    0x7FFA033F0000
SHELL32.dll                   0x7FFA035A0000
PSAPI.DLL                     0x7FFA03E70000
ADVAPI32.dll                  0x7FFA03E90000
ole32.dll                     0x7FFA03F50000
SETUPAPI.dll                  0x7FFA040F0000
ntdll.dll                     0x7FFA045B0000
