xinput1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000060170000
steam_api64.dll                    0x000060180000
d3d11.dll                          0x000180000000
imagehlp.dll                       0x01DF14150000
LL_fourPlay_1_10_163.dll           0x01DF2B920000
Fallout4.exe                       0x7FF6EE4D0000
nvspcap64.dll                      0x7FFBD0520000
OWExplorer.dll                     0x7FFC03C10000
OWUtils.dll                        0x7FFC03E10000
DINPUT8.dll                        0x7FFC2A850000
nvcuda64.dll                       0x7FFC34480000
xinput1_4.dll                      0x7FFC44530000
D3DX9_43.dll                       0x7FFC4E200000
OWClient.dll                       0x7FFC4ED20000
NvCamera64.dll                     0x7FFC4FB30000
d3dcompiler_47_64.dll              0x7FFC54020000
ow-graphics-hook64.dll             0x7FFC55CC0000
d3dcompiler_46e.dll                0x7FFC56DB0000
XAudio2_7.dll                      0x7FFC573F0000
gameoverlayrenderer64.dll          0x7FFC57780000
wsfw_identifier.dll                0x7FFC57910000
transfer_settlements.dll           0x7FFC57A10000
auto_backup_executable.dll         0x7FFC57CE0000
Buffout4.dll                       0x7FFC58050000
steamclient64.dll                  0x7FFC583B0000
D3DCOMPILER_43.dll                 0x7FFC59A10000
IPHLPAPI.DLL                       0x7FFC59C80000
terminal+.dll                      0x7FFC5B650000
ShadowBoostFO4.dll                 0x7FFC5BBC0000
po3_SpellPerkItemDistributorF4.dll 0x7FFC5BC90000
RobCo_Patcher.dll                  0x7FFC5BF60000
NVIDIA_Reflex.dll                  0x7FFC5C450000
mcm.dll                            0x7FFC5C520000
HHS.dll                            0x7FFC5C710000
f4ee.dll                           0x7FFC5CB30000
BakaFramework.dll                  0x7FFC5CD50000
tier0_s64.dll                      0x7FFC5CF20000
BakaScrapHeap.dll                  0x7FFC5D180000
f4se_1_10_163.dll                  0x7FFC5D740000
vstdlib_s64.dll                    0x7FFC5D920000
usvfs_x64.dll                      0x7FFC62890000
XDI.dll                            0x7FFC63510000
flexRelease_x64.dll                0x7FFC638D0000
HighFPSPhysicsFix.dll              0x7FFC64170000
nvwgf2umx.dll                      0x7FFC660B0000
nvgpucomp64.dll                    0x7FFC6B4C0000
nvldumdx.dll                       0x7FFC6D950000
WmkActiveEffects.dll               0x7FFC6DB30000
PowerGridTools.dll                 0x7FFC6E4A0000
ResampleDmo.DLL                    0x7FFC765E0000
DSOUND.DLL                         0x7FFC766A0000
ClassicHolsteredWeapons.dll        0x7FFC79DC0000
BulletCountedReload.dll            0x7FFC80950000
MSVCR110.dll                       0x7FFC81A80000
F4z Ro D'oh.dll                    0x7FFC84980000
rename_anything.dll                0x7FFC871A0000
DamageThresholdFramework.dll       0x7FFC879F0000
MessageBus.dll                     0x7FFC8B690000
webio.dll                          0x7FFC90140000
ncryptsslp.dll                     0x7FFC92AA0000
cbp.dll                            0x7FFC94820000
cudart64_75.dll                    0x7FFC948E0000
GFSDK_SSAO_D3D11.win64.dll         0x7FFC94A10000
VCRUNTIME140_1.dll                 0x7FFC96120000
winmmbase.dll                      0x7FFC961F0000
VCRUNTIME140.dll                   0x7FFC96B40000
MSVCP140.dll                       0x7FFC96BB0000
GFSDK_GodraysLib.x64.dll           0x7FFC976F0000
MSVCP110.dll                       0x7FFC983F0000
bink2w64.dll                       0x7FFC987F0000
flexExtRelease_x64.dll             0x7FFC98920000
ConsoleUtilF4.dll                  0x7FFC98F80000
WeaponDebrisCrashFix.dll           0x7FFC994C0000
enbhelperf4.dll                    0x7FFC99C20000
msdmo.dll                          0x7FFC9B570000
f4se_steam_loader.dll              0x7FFC9B580000
d3dx11_43.dll                      0x7FFC9B5F0000
WINSPOOL.DRV                       0x7FFC9B7F0000
COMCTL32.dll                       0x7FFC9BBC0000
MSIMG32.dll                        0x7FFC9C3A0000
textinputframework.dll             0x7FFC9D600000
inputhost.dll                      0x7FFC9D800000
XINPUT1_3.dll                      0x7FFC9EA60000
Windows.UI.dll                     0x7FFCA0520000
SprintStutteringFix.dll            0x7FFCA07D0000
MessageBus.dll                     0x7FFCA0F90000
aamsi.x64.dll                      0x7FFCA16D0000
amsi.dll                           0x7FFCA1790000
AUDIOSES.DLL                       0x7FFCA2B20000
nvapi64.dll                        0x7FFCA2F60000
atidxx64.dll                       0x7FFCA4DA0000
XINPUT9_1_0.dll                    0x7FFCA7A00000
drvstore.dll                       0x7FFCA85A0000
wbemsvc.dll                        0x7FFCA8700000
fastprox.dll                       0x7FFCA8720000
MMDevApi.dll                       0x7FFCA99C0000
amdihk64.dll                       0x7FFCAAC70000
aticfx64.dll                       0x7FFCAB030000
wbemcomn.dll                       0x7FFCAB820000
atiuxp64.dll                       0x7FFCABD00000
wbemprox.dll                       0x7FFCABD40000
DbgHelp.dll                        0x7FFCAC0E0000
CoreUIComponents.dll               0x7FFCAE850000
SilentProtagonistF4SE.dll          0x7FFCAFEA0000
nvToolsExt64_1.dll                 0x7FFCAFEB0000
rasadhlp.dll                       0x7FFCB1110000
cryptnet.dll                       0x7FFCB1120000
fwpuclnt.dll                       0x7FFCB14B0000
VERSION.dll                        0x7FFCB15E0000
WINMM.dll                          0x7FFCB1760000
avrt.dll                           0x7FFCB1A00000
dhcpcsvc.DLL                       0x7FFCB1DC0000
directxdatabasehelper.dll          0x7FFCB2400000
WINHTTP.dll                        0x7FFCB2470000
dhcpcsvc6.DLL                      0x7FFCB25B0000
WindowsCodecs.dll                  0x7FFCB3C90000
D3DCOMPILER_47.dll                 0x7FFCB3E40000
d3d11.dll                          0x7FFCB4AA0000
dcomp.dll                          0x7FFCB4D00000
CoreMessaging.dll                  0x7FFCB5370000
apphelp.dll                        0x7FFCB5690000
WINNSI.DLL                         0x7FFCB57B0000
UxTheme.dll                        0x7FFCB5A20000
dxcore.dll                         0x7FFCB5B00000
dxgi.dll                           0x7FFCB5B40000
dwmapi.dll                         0x7FFCB5C50000
resourcepolicyclient.dll           0x7FFCB5DB0000
wintypes.dll                       0x7FFCB60E0000
windows.storage.dll                0x7FFCB6220000
HID.DLL                            0x7FFCB6B20000
IpHlpAPI.dll                       0x7FFCB6D70000
DNSAPI.dll                         0x7FFCB6DA0000
Secur32.dll                        0x7FFCB70D0000
schannel.DLL                       0x7FFCB7150000
rsaenh.dll                         0x7FFCB7260000
kernel.appcore.dll                 0x7FFCB7300000
ntmarta.dll                        0x7FFCB7320000
SSPICLI.DLL                        0x7FFCB7560000
MSWSOCK.dll                        0x7FFCB7780000
gpapi.dll                          0x7FFCB7810000
USERENV.dll                        0x7FFCB7870000
CRYPTSP.dll                        0x7FFCB79D0000
CRYPTBASE.DLL                      0x7FFCB79F0000
wldp.dll                           0x7FFCB7A80000
NTASN1.dll                         0x7FFCB7BA0000
ncrypt.dll                         0x7FFCB7BE0000
bcrypt.dll                         0x7FFCB7C10000
CFGMGR32.dll                       0x7FFCB7F20000
devobj.dll                         0x7FFCB7F70000
DPAPI.DLL                          0x7FFCB7FC0000
msasn1.dll                         0x7FFCB7FD0000
UMPDC.dll                          0x7FFCB8000000
POWRPROF.dll                       0x7FFCB8020000
profapi.dll                        0x7FFCB8230000
KERNELBASE.dll                     0x7FFCB8300000
ucrtbase.dll                       0x7FFCB86B0000
gdi32full.dll                      0x7FFCB8890000
msvcp_win.dll                      0x7FFCB89B0000
wintrust.dll                       0x7FFCB8A50000
CRYPT32.dll                        0x7FFCB8AC0000
win32u.dll                         0x7FFCB8C30000
bcryptPrimitives.dll               0x7FFCB8C60000
SHELL32.dll                        0x7FFCB8D00000
USER32.dll                         0x7FFCB9580000
KERNEL32.DLL                       0x7FFCB9730000
IMM32.DLL                          0x7FFCB9890000
ADVAPI32.dll                       0x7FFCB98D0000
OLEAUT32.dll                       0x7FFCB9990000
SETUPAPI.dll                       0x7FFCB9A70000
sechost.dll                        0x7FFCB9F00000
clbcatq.dll                        0x7FFCB9FB0000
shcore.dll                         0x7FFCBA060000
RPCRT4.dll                         0x7FFCBA160000
ole32.dll                          0x7FFCBA280000
GDI32.dll                          0x7FFCBA420000
MSCTF.dll                          0x7FFCBA450000
NSI.dll                            0x7FFCBA760000
combase.dll                        0x7FFCBA770000
SHLWAPI.dll                        0x7FFCBAB00000
WS2_32.dll                         0x7FFCBAB60000
PSAPI.DLL                          0x7FFCBABE0000
COMDLG32.dll                       0x7FFCBABF0000
msvcrt.dll                         0x7FFCBAEA0000
ntdll.dll                          0x7FFCBAF90000
