[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     ArmorKeywords.esm
[09]     HUDFramework.esm
[0A]     WorkshopFramework.esm
[0B]     cheat room.esm
[0C]     Darlene.esm
[0D]     Homemaker.esm
[0E]     SettlementKeywords.esm
[0F]     DamageThresholdFramework.esm
[10]     TortureDevices.esm
[11]     DamnApocalypse_CORE.esm
[12]     SkimpyArmorKeywordResource.esm
[13]     AAF.esm
[14]     NoSharedDogmeatTemplate.esp
[15]     ImmersiveGenericDialogues.esp
[16]     PiperCaitCurieDialogueOverhaul.esp
[17]     VisibleCompanionAffinity.esp
[18]     xmaslights.esp
[19]     Clean and Simple -  All CAS Settlements.esp
[1A]     DamnApocalypse_Loot.esp
[1B]     Far Harbor DLC Clean up Combined.esp
[1C]     humanslivehere.esp
[1D]     Ceft_Main.esp
[1E]     goodneighbor clean up project.esp
[1F]     moreuniques.esp
[20]     WelcometoGoodneighbor.esp
[21]     3DNPC_FO4.esp
[22]     A Sensible Prydwen Overhaul.esp
[23]     mysticpines-01.esp
[24]     pre-walled settlemtns.esp
[25]     DamnApocalypse_PowerArmor.esp
[26]     bestintheworldforest.esp
[27]     PiersOfSalem.esp
[28]     Armorsmith Extended.esp
[29]     DamnApocalypse_Radiation.esp
[2A]     Stm_DiamondCityExpansion.esp
[2B]     TruePerks.esp
[2C]     brotherhood of steel overhaul.esp
[2D]     FunctionalDisplays.esp
[2E]     bettersettlements.esp
[2F]     MojaveImports.esp
[30]     settlementsalvagebot.esp
[31]     Reverb and Ambiance Overhaul.esp
[32]     FaceMaxson.esp
[33]     ASmallAdditionStandaloneDrivablesBoat2.esp
[34]     Eli_Armour_Compendium.esp
[35]     ImmersiveDrumlinDiner.esp
[36]     clearly piper new place.esp.2.esp
[37]     rangercabinhome.esp
[38]     fusion gun.esp
[39]     NAC.esp
[3A]     Vivid Weathers - FO4.esp
[3B]     3DNPC_FO4_DLC.esp
[3C]     Vivid Weathers - FO4 - Quest.esp
[3D]     DiverseChildren.esp
[3E]     Orphans.esp
[3F]     W.A.T.Minutemen.esp
[40]     SettleObjExpandPack.esp
[41]     SpiritofSteel.esp
[42]     Thematic and Practical.esp
[43]     CleanMegaSurgery.esp
[44]     BoS_Outposts.esp
[45]     featherfall home (no dlc).esp
[46]     shezloft.esp
[47]     Backpacks of the Commonwealth.esp
[48]     MilitarizedMinutemen.esp
[49]     tdow_lc.esp
[4A]     Breakable Doors.esp
[4B]     3DNPC_FO4Settler.esp
[4C]     SettlementOfSalem.esp
[4D]     RedWave.esp
[4E]     Better Cooking Stations.esp
[4F]     expchineserifle.esp
[50]     Freeze.esp
[51]     RealHandcuffs.esp
[52]     corvalhowidowshotgun.esp
[53]     MK_CanteensofCommonwealth.esp
[54]     mirelurks nest.esp
[55]     MREs.esp
[56]     laer.esp
[57]     minutemenarmory.esp
[58]     rangergearnew.esp
[59]     CombinedArmsNV.esp
[5A]     f4nvservicerifleredux.esp
[5B]     wattzlasergun.esp
[5C]     tbi_railroadsafehouse.esp
[5D]     cwcreateabot.esp
[5E]     cheat room - far harbor.esp
[5F]     3dscopes-replacer.esp
[60]     jaggedsthirdrail.esp
[61]     ellen.esp
[62]     p99.esp
[63]     llamaCompanionHeatherv2.esp
[64]     m2045magnumrevolverrifle.esp
[65]     artilleryv6.esp
[66]     claymoreswordmod.esp
[67]     Driveable Motorcycle Mod.esp
[68]     FCOM.esp
[69]     AkaWaterWorld.esp
[6A]     unionblaster.esp
[6B]     ChildrenofBunkerHill.esp
[6C]     AtomicRadio.esp
[6D]     settlementtidybot.esp
[6E]     dogrug.esp
[6F]     catstuff.esp
[70]     curioinc_immersivelawnflamingos.esp
[71]     skibsweapons-redux.esp
[72]     workshopturretpack.esp
[73]     tinadelucasettlervoiced.esp
[74]     autofireworks.esp
[75]     fn five-seven v3.0.esp
[76]     solarpower.esp
[77]     arcadeworkshoppack-extras.esp
[78]     ANiceOakTree Hairs.esp
[79]     KSHairsFemsheppingRadbeetle.esp
[7A]     HiPolyFaces.esp
[7B]     LooksMenu Customization Compendium.esp
[7C]     KSHairdos.esp
[7D]     IWDanse.esp
[7E]     IWLongfellow.esp
[7F]     IWNPCsOnly.esp
[80]     IWPreston.esp
[81]     Crimsomrider's 1950s Feminine Outfits.esp
[82]     LooksMirror.esp
[83]     DarleneDLC.esp
[84]     Animated Drinking.esp
[85]     Ephla's Unique Chems.esp
[86]     AnimChemRedux.esp
[87]     Better_Settlement_Defence.esp
[88]     Binoculars.esp
[89]     Tactical Flashlights.esp
[8A]     LureEnemies.esp
[8B]     Pet - Call -Feed Dogmeat.esp
[8C]     Water Purification Stations.esp
[8D]     Smoke-able Cigars.esp
[8E]     E3PC.esp
[8F]     Black Widow Suit.esp
[90]     Clothes Pack 3 by DonEb14n.esp
[91]     Clothes Pack 4 by DonEb14n.esp
[92]     Clothes Pack 5 by DonEb14n.esp
[93]     Clothes Pack v2.0 by DonEb14n.esp
[94]     DansesWearableHolotags_v01-2.esp
[95]     DX_Bikini_Collection_pt2.esp
[96]     DX_Bikini_Collection_pt3.esp
[97]     DX_Bikini_Collection_pt4.esp
[98]     GrafsSecurityFences.esp
[99]     PersistentVolumeSliders.esp
[9A]     HHFootsteps.esp
[9B]     Lacy Underwear.esp
[9C]     Louis Vuitton Platform Boots V4.esp
[9D]     Louis Vuitton Platform Heels V1.esp
[9E]     NightDress.esp
[9F]     Scopes.esp
