XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000060340000
steam_api64.dll                    0x000060350000
d3d11.dll                          0x000180000000
XDI.dll                            0x020704900000
MSCTF.dll                          0x020729B40000
AutoBeam.dll                       0x02076B930000
Fallout4.exe                       0x7FF7D9D70000
nvcuda64.dll                       0x7FF8A1AD0000
steamclient64.dll                  0x7FF8A2480000
d3dcompiler_47_64.dll              0x7FF8A4BE0000
NvCamera64.dll                     0x7FF8A4FF0000
d3dcompiler_46e.dll                0x7FF8A5860000
DiscordHook64.dll                  0x7FF8B89B0000
XAudio2_7.dll                      0x7FF8B8B60000
gameoverlayrenderer64.dll          0x7FF8B8BF0000
wsfw_identifier.dll                0x7FF8B8D80000
DSOUND.DLL                         0x7FF8B9B20000
DINPUT8.dll                        0x7FF8BE500000
WmkActiveEffects.dll               0x7FF8BE5C0000
UneducatedShooter.dll              0x7FF8BE640000
ShadowBoostFO4.dll                 0x7FF8BE6A0000
ScreenArcherMenu.dll               0x7FF8BE740000
Buffout4.dll                       0x7FF8BE8F0000
SimpleImpact.dll                   0x7FF8CB2F0000
SAF.dll                            0x7FF8CB360000
po3_SpellPerkItemDistributorF4.dll 0x7FF8CB4D0000
SideAim.dll                        0x7FF8CCA70000
PrivateProfileRedirector.dll       0x7FF8CCAD0000
NVIDIA_Reflex.dll                  0x7FF8CCB30000
nvspcap64.dll                      0x7FF8D0600000
usvfs_x64.dll                      0x7FF8E7D90000
place.dll                          0x7FF8F5F10000
PowerGridTools.dll                 0x7FF8F98C0000
MODExplorer.dll                    0x7FF8FB1F0000
mcm.dll                            0x7FF8FB270000
HighFPSPhysicsFix.dll              0x7FF8FB310000
faster_workshop.dll                0x7FF8FB3A0000
f4ee.dll                           0x7FF8FB400000
winmmbase.dll                      0x7FF8FB6F0000
WeaponDebrisCrashFix.dll           0x7FF8FCA80000
ondemandconnroutehelper.dll        0x7FF8FCB00000
f4pm.dll                           0x7FF8FD0C0000
RefLookup.dll                      0x7FF8FF910000
PriorityMod.dll                    0x7FF8FFB30000
NoScrollwheelPOVChange.dll         0x7FF8FFB60000
enbhelperf4.dll                    0x7FF903F50000
CHW_Addon.dll                      0x7FF903F90000
CCExtenderF4.dll                   0x7FF903FF0000
crafting_highlight_fix.dll         0x7FF904880000
cc_cleaner.dll                     0x7FF9048D0000
BulletCountedReload.dll            0x7FF904910000
BodyPartsUI.dll                    0x7FF905580000
BetterConsole.dll                  0x7FF9055D0000
BakaScrapHeap.dll                  0x7FF905640000
BakaFramework.dll                  0x7FF905710000
f4se_1_10_163.dll                  0x7FF905860000
vstdlib_s64.dll                    0x7FF905940000
tier0_s64.dll                      0x7FF905A00000
d3dx11_43.dll                      0x7FF905BA0000
D3DCOMPILER_43.dll                 0x7FF905BF0000
cudart64_75.dll                    0x7FF905E60000
GFSDK_GodraysLib.x64.dll           0x7FF905EC0000
dxgi.dll                           0x7FF905F20000
GFSDK_SSAO_D3D11.win64.dll         0x7FF906330000
flexExtRelease_x64.dll             0x7FF9063C0000
flexRelease_x64.dll                0x7FF906420000
MSVCR110.dll                       0x7FF906570000
MSVCP110.dll                       0x7FF906650000
bink2w64.dll                       0x7FF906700000
mskeyprotect.dll                   0x7FF906CB0000
ncryptsslp.dll                     0x7FF906D70000
