XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000062EA0000
steam_api64.dll                    0x000062EB0000
XDI.dll                            0x01E00FFD0000
wintrust.dll                       0x01E035F70000
Fallout4.exe                       0x7FF6E7680000
steamclient64.dll                  0x7FFC4CA00000
gameoverlayrenderer64.dll          0x7FFC58F50000
Buffout4.dll                       0x7FFC590E0000
ShadowBoostFO4.dll                 0x7FFC5B530000
tier0_s64.dll                      0x7FFC5B600000
RobCo_Patcher.dll                  0x7FFC5BCC0000
po3_SpellPerkItemDistributorF4.dll 0x7FFC5F570000
NVIDIA_Reflex.dll                  0x7FFC5F8D0000
WmkActiveEffects.dll               0x7FFC74A20000
UneducatedShooter.dll              0x7FFC7CF60000
mcm.dll                            0x7FFC7CFE0000
HighFPSPhysicsFix.dll              0x7FFC7E110000
BulletCountedReload.dll            0x7FFC7E1A0000
BakaFramework.dll                  0x7FFC84F10000
ShieldFramework.dll                0x7FFC85090000
f4se_1_10_163.dll                  0x7FFC85EE0000
vstdlib_s64.dll                    0x7FFC85FC0000
FallSouls.dll                      0x7FFC865D0000
crafting_highlight_fix.dll         0x7FFC9DDF0000
MessageBus.dll                     0x7FFCA3070000
ClockWidget.dll                    0x7FFCA5F90000
AmmoRemover.dll                    0x7FFCA7650000
flexRelease_x64.dll                0x7FFCA7680000
f4se_steam_loader.dll              0x7FFCA94C0000
cudart64_75.dll                    0x7FFCA95D0000
bink2w64.dll                       0x7FFCA9630000
MSVCR110.dll                       0x7FFCA96C0000
GFSDK_GodraysLib.x64.dll           0x7FFCAD9A0000
GFSDK_SSAO_D3D11.win64.dll         0x7FFCADB40000
ResampleDmo.DLL                    0x7FFCADCF0000
DSOUND.DLL                         0x7FFCADDB0000
XAudio2_7.dll                      0x7FFCAE670000
flexExtRelease_x64.dll             0x7FFCAE700000
MSVCP110.dll                       0x7FFCAE760000
xinput1_4.dll                      0x7FFCAF0B0000
MSVCP140.dll                       0x7FFCB1040000
ncryptsslp.dll                     0x7FFCB98F0000
AUDIOSES.DLL                       0x7FFCC1580000
