XINPUT1_3.dll                    0x000000400000
X3DAudio1_7.dll                  0x000077A80000
steam_api64.dll                  0x000077A90000
d3d11.dll                        0x000180000000
BakaAutoLockpicking.dll          0x021741EA0000
clbcatq.dll                      0x02186DA00000
wintrust.dll                     0x02186DC90000
Fallout4.exe                     0x7FF6BDF10000
nvcuda64.dll                     0x7FFB28640000
nvcuda.dll                       0x7FFB28FF0000
d3dcompiler_46e.dll              0x7FFB38ED0000
XAudio2_7.dll                    0x7FFB3D390000
gameoverlayrenderer64.dll        0x7FFB3D420000
XDI.dll                          0x7FFB3D5B0000
UnlimitedSurvivalMode.dll        0x7FFB3D620000
UneducatedShooter.dll            0x7FFB3D670000
SideAimAni.dll                   0x7FFB3D6D0000
ScreenArcherMenu.dll             0x7FFB3D770000
SAF.dll                          0x7FFB3D8D0000
RobCo_Patcher.dll                0x7FFB3D9C0000
SimpleImpact.dll                 0x7FFB450C0000
SeamlessInspect.dll              0x7FFB45130000
RememberPickAngleUpdated.dll     0x7FFB45180000
PRKF.dll                         0x7FFB45240000
NVIDIA_Reflex.dll                0x7FFB45420000
mcm.dll                          0x7FFB454F0000
CONCRT140.dll                    0x7FFB45590000
Interior-NavCut-Fix.dll          0x7FFB455E0000
HighFPSPhysicsFix.dll            0x7FFB45890000
GardenOfEdenPapyrusExtender.dll  0x7FFB45920000
FineZoom.dll                     0x7FFB45AC0000
FavoritesMenuEx.dll              0x7FFB46100000
FakeThroughScope.dll             0x7FFB46190000
f4pm.dll                         0x7FFB46270000
f4ee.dll                         0x7FFB462E0000
ESPExplorer.dll                  0x7FFB463F0000
EnergyWeaponCalcFix.dll          0x7FFB46450000
IPHLPAPI.DLL                     0x7FFB464A0000
crafting_highlight_fix.dll       0x7FFB46AB0000
ClassicHolsteredWeapons.dll      0x7FFB46B00000
ChineseInput.dll                 0x7FFB46BB0000
ClockWidget.dll                  0x7FFB474B0000
cbp.dll                          0x7FFB47500000
Buffout4.dll                     0x7FFB47580000
BulletCountedReload.dll          0x7FFB47E70000
BodyPartsUI.dll                  0x7FFB47F00000
BakaScrapHeap.dll                0x7FFB47F50000
BakaMaxPapyrusOps.dll            0x7FFB48020000
BakaFullscreenPipboy.dll         0x7FFB480D0000
BetterConsole.dll                0x7FFB49260000
f4se_1_10_163.dll                0x7FFB49430000
D3DCOMPILER_43.dll               0x7FFB4A480000
GFSDK_SSAO_D3D11.win64.dll       0x7FFB4CF90000
PhysXDevice64.dll                0x7FFB4D0D0000
AutoNameFix.dll                  0x7FFB5D1D0000
AutoBeam.dll                     0x7FFB5D690000
tier0_s64.dll                    0x7FFB5DFE0000
flexRelease_x64.dll              0x7FFB6E1F0000
vstdlib_s64.dll                  0x7FFB6EF00000
enbhelperf4.dll                  0x7FFB6F0B0000
DSOUND.DLL                       0x7FFB6F460000
usvfs_x64.dll                    0x7FFB71CD0000
steamclient64.dll                0x7FFB737D0000
cudart64_75.dll                  0x7FFB75280000
xinput1_4.dll                    0x7FFB75370000
cc_cleaner.dll                   0x7FFB785F0000
MSVCR110.dll                     0x7FFB789B0000
WeaponDebrisCrashFix.dll         0x7FFB78E50000
PriorityMod.dll                  0x7FFB78ED0000
MSVCP110.dll                     0x7FFB78F00000
SprintStutteringFix.dll          0x7FFB7DDC0000
nvspcap64.dll                    0x7FFB80490000
d3dx11_43.dll                    0x7FFB93620000
encounter_zone_recalculation.dll 0x7FFB93C50000
bink2w64.dll                     0x7FFB93C80000
f4se_steam_loader.dll            0x7FFB99E70000
AmmoRemover.dll                  0x7FFB9AB10000
GFSDK_GodraysLib.x64.dll         0x7FFB9B0F0000
libdiskCacheEnabler.dll          0x7FFB9E560000
