XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000052F50000
steam_api64.dll                    0x000052F60000
Fallout4.exe                       0x7FF79BDD0000
XAudio2_7.dll                      0x7FFF15980000
gameoverlayrenderer64.dll          0x7FFF15A10000
XDI.dll                            0x7FFF15BA0000
wsfw_identifier.dll                0x7FFF15C10000
SUP_F4SE.dll                       0x7FFF15D10000
ShadowBoostFO4.dll                 0x7FFF16010000
RobCo_Patcher.dll                  0x7FFF160E0000
PowerGridTools.dll                 0x7FFF161D0000
po3_SpellPerkItemDistributorF4.dll 0x7FFF16600000
place.dll                          0x7FFF16710000
LighthousePapyrusExtender.dll      0x7FFF16790000
Buffout4.dll                       0x7FFF168B0000
steamclient64.dll                  0x7FFF16C10000
SprintSpeedController.dll          0x7FFF28840000
mcm.dll                            0x7FFF28B20000
IPHLPAPI.DLL                       0x7FFF28BC0000
f4ee.dll                           0x7FFF29440000
EscapeFreeze.dll                   0x7FFF29550000
ClassicHolsteredWeapons.dll        0x7FFF29610000
BakaFullscreenPipboy.dll           0x7FFF296C0000
tier0_s64.dll                      0x7FFF297A0000
HighFPSPhysicsFix.dll              0x7FFF2BC80000
Outfit-ReDress-Fix.dll             0x7FFF35BB0000
F4z Ro D'oh.dll                    0x7FFF36450000
BulletCountedReload.dll            0x7FFF36DC0000
BakaFramework.dll                  0x7FFF36E50000
flexRelease_x64.dll                0x7FFF36F40000
f4se_1_10_163.dll                  0x7FFF37700000
vstdlib_s64.dll                    0x7FFF390D0000
f4pm.dll                           0x7FFF39590000
BakaMaxPapyrusOps.dll              0x7FFF39C80000
DSOUND.DLL                         0x7FFF39E30000
GFSDK_SSAO_D3D11.win64.dll         0x7FFF3ACD0000
nvspcap64.dll                      0x7FFF3AD70000
XInput1_4.dll                      0x7FFF3BF30000
MSVCR110.dll                       0x7FFF3C430000
bink2w64.dll                       0x7FFF3C510000
CONCRT140.dll                      0x7FFF3D060000
Interior-NavCut-Fix.dll            0x7FFF4B270000
BetterConsole.dll                  0x7FFF4BC20000
MSVCP110.dll                       0x7FFF4BDD0000
winmmbase.dll                      0x7FFF4EB00000
GCBugFix.dll                       0x7FFF508E0000
cudart64_75.dll                    0x7FFF52140000
GFSDK_GodraysLib.x64.dll           0x7FFF52B70000
crafting_highlight_fix.dll         0x7FFF55350000
flexExtRelease_x64.dll             0x7FFF568C0000
Windows.UI.dll                     0x7FFF627D0000
autoswitch.dll                     0x7FFF63520000
WeaponDebrisCrashFix.dll           0x7FFF64930000
MSVCP140.dll                       0x7FFF658E0000
VCRUNTIME140.dll                   0x7FFF66AF0000
webio.dll                          0x7FFF67CE0000
VCRUNTIME140_1.dll                 0x7FFF6C0D0000
SprintStutteringFix.dll            0x7FFF6C270000
inputhost.dll                      0x7FFF6CC50000
textinputframework.dll             0x7FFF6DB80000
rasadhlp.dll                       0x7FFF6EF70000
OneCoreCommonProxyStub.dll         0x7FFF6EFC0000
mskeyprotect.dll                   0x7FFF6F4A0000
WININET.dll                        0x7FFF6F4F0000
ncryptsslp.dll                     0x7FFF6FAC0000
nvwgf2umx.dll                      0x7FFF6FB70000
DbgHelp.dll                        0x7FFF74F80000
WINMM.dll                          0x7FFF76790000
Secur32.dll                        0x7FFF767E0000
libdiskCacheEnabler.dll            0x7FFF76D70000
encounter_zone_recalculation.dll   0x7FFF77190000
achievements.dll                   0x7FFF772A0000
f4se_steam_loader.dll              0x7FFF773C0000
fwpuclnt.dll                       0x7FFF781F0000
XINPUT9_1_0.dll                    0x7FFF79520000
MpOav.dll                          0x7FFF796C0000
amsi.dll                           0x7FFF79740000
COMCTL32.dll                       0x7FFF79760000
nvgpucomp64.dll                    0x7FFF79A00000
nvToolsExt64_1.dll                 0x7FFF7BF10000
WINSPOOL.DRV                       0x7FFF7C5D0000
gdiplus.dll                        0x7FFF7C680000
wbemsvc.dll                        0x7FFF7C920000
fastprox.dll                       0x7FFF7C940000
MessageBus.dll                     0x7FFF7D570000
wbemcomn.dll                       0x7FFF7DEE0000
nvapi64.dll                        0x7FFF7DFA0000
nvldumdx.dll                       0x7FFF7E830000
MSIMG32.dll                        0x7FFF7E8F0000
wbemprox.dll                       0x7FFF7E920000
dxcore.dll                         0x7FFF7EB10000
drvstore.dll                       0x7FFF7F480000
WINHTTP.dll                        0x7FFF7F5D0000
OneCoreUAPCommonProxyStub.dll      0x7FFF7F6E0000
AUDIOSES.DLL                       0x7FFF7FFB0000
MMDevApi.dll                       0x7FFF801C0000
cryptnet.dll                       0x7FFF80250000
dhcpcsvc6.DLL                      0x7FFF80480000
VERSION.dll                        0x7FFF80780000
dhcpcsvc.DLL                       0x7FFF807B0000
WINNSI.DLL                         0x7FFF80920000
twinapi.appcore.dll                0x7FFF80D80000
WindowManagementAPI.dll            0x7FFF81290000
avrt.dll                           0x7FFF816B0000
PROPSYS.dll                        0x7FFF81D80000
wintypes.dll                       0x7FFF82340000
D3DCOMPILER_47.dll                 0x7FFF824A0000
d3d11.dll                          0x7FFF82900000
dcomp.dll                          0x7FFF83130000
CoreUIComponents.dll               0x7FFF83320000
CoreMessaging.dll                  0x7FFF83A00000
UxTheme.dll                        0x7FFF83E20000
resourcepolicyclient.dll           0x7FFF83F00000
dwmapi.dll                         0x7FFF84000000
kernel.appcore.dll                 0x7FFF842F0000
windows.storage.dll                0x7FFF844F0000
HID.DLL                            0x7FFF84C90000
dxgi.dll                           0x7FFF84CD0000
schannel.DLL                       0x7FFF85380000
rsaenh.dll                         0x7FFF85470000
ntmarta.dll                        0x7FFF85590000
UMPDC.dll                          0x7FFF85830000
IpHlpAPI.dll                       0x7FFF85850000
DNSAPI.dll                         0x7FFF858A0000
powrprof.dll                       0x7FFF85970000
MSWSOCK.dll                        0x7FFF85BB0000
CRYPTSP.dll                        0x7FFF85DA0000
CRYPTBASE.DLL                      0x7FFF85DC0000
Wldp.dll                           0x7FFF85E50000
NTASN1.dll                         0x7FFF85E80000
ncrypt.dll                         0x7FFF85EC0000
msasn1.dll                         0x7FFF85FE0000
DEVOBJ.dll                         0x7FFF861A0000
DPAPI.DLL                          0x7FFF86200000
SSPICLI.DLL                        0x7FFF862C0000
USERENV.dll                        0x7FFF86300000
profapi.dll                        0x7FFF86340000
CRYPT32.dll                        0x7FFF86410000
ucrtbase.dll                       0x7FFF86570000
cfgmgr32.dll                       0x7FFF86670000
KERNELBASE.dll                     0x7FFF866C0000
win32u.dll                         0x7FFF869C0000
gdi32full.dll                      0x7FFF869F0000
bcrypt.dll                         0x7FFF86B10000
msvcp_win.dll                      0x7FFF86B40000
bcryptPrimitives.dll               0x7FFF86C90000
wintrust.dll                       0x7FFF86D20000
SHLWAPI.dll                        0x7FFF86D90000
OLEAUT32.dll                       0x7FFF86DF0000
RPCRT4.dll                         0x7FFF86EC0000
ADVAPI32.dll                       0x7FFF86FF0000
ole32.dll                          0x7FFF870A0000
USER32.dll                         0x7FFF871D0000
KERNEL32.DLL                       0x7FFF87370000
combase.dll                        0x7FFF87490000
imagehlp.dll                       0x7FFF877F0000
sechost.dll                        0x7FFF879D0000
PSAPI.DLL                          0x7FFF87A70000
clbcatq.dll                        0x7FFF87A80000
msvcrt.dll                         0x7FFF87B30000
shcore.dll                         0x7FFF87BD0000
SETUPAPI.dll                       0x7FFF87C80000
WS2_32.dll                         0x7FFF880F0000
SHELL32.dll                        0x7FFF88160000
