XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000072110000
steam_api64.dll                    0x000072120000
BakaScrapHeap.dll                  0x0225A7D20000
MSCTF.dll                          0x0226D4F40000
wintrust.dll                       0x0226D59E0000
Fallout4.exe                       0x7FF6AA450000
nvwgf2umx.dll                      0x7FFE1A2B0000
D3DCOMPILER_47.dll                 0x7FFE52530000
nvgpucomp64.dll                    0x7FFE5AAD0000
DSOUND.DLL                         0x7FFE68940000
nvcuda64.dll                       0x7FFE696F0000
NvCamera64.dll                     0x7FFE6B230000
d3dx9_43.dll                       0x7FFE6F770000
k_fps64.dll                        0x7FFE6F9E0000
d3dx10_43.dll                      0x7FFE6FD60000
d3dcompiler_47_64.dll              0x7FFE83C00000
nvspcap64.dll                      0x7FFE84010000
BetterConsole.dll                  0x7FFE86170000
mcm.dll                            0x7FFE86290000
LongLoadingTimesFix.dll            0x7FFE86330000
CONCRT140.dll                      0x7FFE86390000
ClassicHolsteredWeapons.dll        0x7FFE86630000
CCExtenderF4.dll                   0x7FFE866E0000
BulletCountedReload.dll            0x7FFE86750000
Buffout4.dll                       0x7FFE86BF0000
f4se_1_10_163.dll                  0x7FFE87020000
vstdlib_s64.dll                    0x7FFE87100000
tier0_s64.dll                      0x7FFE871C0000
steamclient64.dll                  0x7FFE87360000
BakaMaxPapyrusOps.dll              0x7FFE88BC0000
cudart64_75.dll                    0x7FFE88C70000
GFSDK_GodraysLib.x64.dll           0x7FFE88CD0000
GFSDK_SSAO_D3D11.win64.dll         0x7FFE88D30000
flexRelease_x64.dll                0x7FFE88DC0000
IPHLPAPI.DLL                       0x7FFE88F10000
HighFPSPhysicsFix.dll              0x7FFE8A7E0000
MSVCR110.dll                       0x7FFE8A870000
flexExtRelease_x64.dll             0x7FFE8E6F0000
MSVCP110.dll                       0x7FFE8E750000
bink2w64.dll                       0x7FFE8E970000
Interior-NavCut-Fix.dll            0x7FFE8EA70000
XAudio2_7.dll                      0x7FFE91EF0000
GLXRM_FriendlyFire.dll             0x7FFE92000000
GCBugFix.dll                       0x7FFE92050000
DirectHit.dll                      0x7FFE920B0000
nvldumdx.dll                       0x7FFE92200000
gameoverlayrenderer64.dll          0x7FFE922C0000
XDI.dll                            0x7FFE94570000
wsfw_identifier.dll                0x7FFE945E0000
crafting_highlight_fix.dll         0x7FFE94D20000
BlockingOverhaul.dll               0x7FFE99030000
AudioDevProps2.dll                 0x7FFEA0C00000
NahimicOSD.dll                     0x7FFEA0D40000
UnlimitedSurvivalMode.dll          0x7FFEA2D20000
RobCo_Patcher.dll                  0x7FFEA2D70000
Bastion.dll                        0x7FFEA3F20000
usvfs_x64.dll                      0x7FFEA41F0000
GLU32.dll                          0x7FFEA5160000
OPENGL32.dll                       0x7FFEA5190000
ArmorPenetrationBugFix.dll         0x7FFEA5550000
RememberPickAngleUpdated.dll       0x7FFEA56D0000
ToYourFaceFO4.dll                  0x7FFEA6940000
PrivateProfileRedirector.dll       0x7FFEA6990000
PowerGridTools.dll                 0x7FFEA69F0000
f4se_steam_loader.dll              0x7FFEAEC60000
AmmoRemover.dll                    0x7FFEB0EE0000
MSVCP140_ATOMIC_WAIT.dll           0x7FFEB13B0000
VCRUNTIME140_1.dll                 0x7FFEB2FF0000
VCRUNTIME140.dll                   0x7FFEB3000000
MSVCP140.dll                       0x7FFEB3020000
MessageBus.dll                     0x7FFEB3210000
webio.dll                          0x7FFEB7E60000
