XINPUT1_3.dll              0x000000400000
X3DAudio1_7.dll            0x00005BB80000
steam_api64.dll            0x00005BB90000
mdnsNSP.dll                0x00005CA50000
mcm.dll                    0x027ADD8A0000
cpsspap.dll                0x027B61510000
Fallout4.exe               0x7FF73C060000
NvCamera64.dll             0x7FFC069A0000
steamclient64.dll          0x7FFC0A5B0000
PhysXDevice64.dll          0x7FFC0CEF0000
XAudio2_7.dll              0x7FFC0CFB0000
d3dcompiler_47_64.dll      0x7FFC0DAD0000
wsfw_identifier.dll        0x7FFC0DEE0000
Buffout4.dll               0x7FFC0DFE0000
XDI.dll                    0x7FFC20C40000
PowerGridTools.dll         0x7FFC20CB0000
place.dll                  0x7FFC20D20000
f4se_1_10_163.dll          0x7FFC20E40000
tier0_s64.dll              0x7FFC222D0000
lootman.dll                0x7FFC23650000
HighFPSPhysicsFix.dll      0x7FFC254F0000
flexRelease_x64.dll        0x7FFC25580000
gameoverlayrenderer64.dll  0x7FFC256D0000
vstdlib_s64.dll            0x7FFC258A0000
ResampleDmo.DLL            0x7FFC263A0000
DSOUND.DLL                 0x7FFC26460000
cudart64_75.dll            0x7FFC26D30000
DINPUT8.dll                0x7FFC27850000
MSVCR110.dll               0x7FFC28640000
MSVCP110.dll               0x7FFC28720000
GFSDK_GodraysLib.x64.dll   0x7FFC2B070000
GFSDK_SSAO_D3D11.win64.dll 0x7FFC2B6D0000
flexExtRelease_x64.dll     0x7FFC2B9C0000
bink2w64.dll               0x7FFC2BDF0000
winmmbase.dll              0x7FFC50540000
nvspcap64.dll              0x7FFCD2CF0000
msdmo.dll                  0x7FFCDC840000
nvcuda64.dll               0x7FFCDF720000
ncryptsslp.dll             0x7FFCE0DF0000
nvcuda.dll                 0x7FFCE11F0000
MessageBus.dll             0x7FFCE2930000
MSVCP140.dll               0x7FFCF3DE0000
XINPUT9_1_0.dll            0x7FFCF9CA0000
WeaponDebrisCrashFix.dll   0x7FFCF9CB0000
textinputframework.dll     0x7FFCFA8E0000
inputhost.dll              0x7FFCFE690000
nvwgf2umx.dll              0x7FFD01E80000
nvapi64.dll                0x7FFD07D60000
MpOav.dll                  0x7FFD09210000
amsi.dll                   0x7FFD09760000
Windows.UI.dll             0x7FFD09C50000
webio.dll                  0x7FFD0AB70000
AUDIOSES.DLL               0x7FFD0B090000
SprintStutteringFix.dll    0x7FFD0BB00000
MessageBus.dll             0x7FFD0BB50000
COMCTL32.dll               0x7FFD0C590000
VCRUNTIME140.dll           0x7FFD0D3A0000
VCRUNTIME140_1.dll         0x7FFD0EC90000
f4se_steam_loader.dll      0x7FFD0EEB0000
WINMM.dll                  0x7FFD0F1D0000
MMDevApi.dll               0x7FFD0F5E0000
wbemsvc.dll                0x7FFD0F890000
fastprox.dll               0x7FFD0F8B0000
drvstore.dll               0x7FFD0FE60000
cryptnet.dll               0x7FFD0FFC0000
VERSION.dll                0x7FFD10070000
nvldumdx.dll               0x7FFD10080000
wbemprox.dll               0x7FFD116E0000
rasadhlp.dll               0x7FFD12040000
wbemcomn.dll               0x7FFD12550000
CoreUIComponents.dll       0x7FFD13750000
fwpuclnt.dll               0x7FFD13AC0000
directxdatabasehelper.dll  0x7FFD13F30000
dhcpcsvc.DLL               0x7FFD14540000
dhcpcsvc6.DLL              0x7FFD14560000
WINHTTP.dll                0x7FFD14720000
WindowsCodecs.dll          0x7FFD15E40000
nvToolsExt64_1.dll         0x7FFD16420000
dcomp.dll                  0x7FFD16560000
CoreMessaging.dll          0x7FFD16C10000
uxtheme.dll                0x7FFD178E0000
WINNSI.DLL                 0x7FFD17C10000
dwmapi.dll                 0x7FFD17C70000
dxcore.dll                 0x7FFD17DC0000
resourcepolicyclient.dll   0x7FFD189A0000
dbghelp.dll                0x7FFD18AB0000
d3d11.dll                  0x7FFD18D40000
dxgi.dll                   0x7FFD18FA0000
avrt.dll                   0x7FFD190B0000
wintypes.dll               0x7FFD192A0000
windows.storage.dll        0x7FFD193E0000
HID.DLL                    0x7FFD19CE0000
IPHLPAPI.DLL               0x7FFD19F40000
DNSAPI.dll                 0x7FFD19FB0000
Secur32.dll                0x7FFD1A2A0000
cpsuprt.dll                0x7FFD1A320000
cpcspi.dll                 0x7FFD1A3C0000
cpcsp.dll                  0x7FFD1A5E0000
cpschan.dll                0x7FFD1A7A0000
schannel.DLL               0x7FFD1A7B0000
kernel.appcore.dll         0x7FFD1A960000
ntmarta.dll                0x7FFD1A980000
SSPICLI.DLL                0x7FFD1ABC0000
MSWSOCK.dll                0x7FFD1ADD0000
USERENV.dll                0x7FFD1AE80000
cpadvai.dll                0x7FFD1AFE0000
wldp.dll                   0x7FFD1B080000
CRYPTBASE.DLL              0x7FFD1B130000
CRYPTSP.dll                0x7FFD1B1C0000
UMPDC.dll                  0x7FFD1B260000
powrprof.dll               0x7FFD1B2A0000
NTASN1.dll                 0x7FFD1B2F0000
ncrypt.dll                 0x7FFD1B330000
cpcrypt.dll                0x7FFD1B360000
bcrypt.dll                 0x7FFD1B390000
msasn1.dll                 0x7FFD1B6A0000
devobj.dll                 0x7FFD1B6C0000
CFGMGR32.dll               0x7FFD1B6F0000
DPAPI.DLL                  0x7FFD1B760000
profapi.dll                0x7FFD1B930000
CRYPT32.dll                0x7FFD1BA00000
bcryptPrimitives.dll       0x7FFD1BB70000
gdi32full.dll              0x7FFD1BCB0000
KERNELBASE.dll             0x7FFD1BDD0000
win32u.dll                 0x7FFD1C180000
ucrtbase.dll               0x7FFD1C1B0000
wintrust.dll               0x7FFD1C2D0000
msvcp_win.dll              0x7FFD1C340000
SHELL32.dll                0x7FFD1C430000
SETUPAPI.dll               0x7FFD1CC90000
GDI32.dll                  0x7FFD1D110000
OLEAUT32.dll               0x7FFD1D140000
imagehlp.dll               0x7FFD1D220000
NSI.dll                    0x7FFD1D260000
ADVAPI32.dll               0x7FFD1D430000
KERNEL32.DLL               0x7FFD1D580000
combase.dll                0x7FFD1D650000
ole32.dll                  0x7FFD1DA60000
sechost.dll                0x7FFD1DC00000
IMM32.DLL                  0x7FFD1DCC0000
USER32.dll                 0x7FFD1DD00000
SHCORE.dll                 0x7FFD1DEB0000
RPCRT4.dll                 0x7FFD1E010000
WS2_32.dll                 0x7FFD1E140000
shlwapi.dll                0x7FFD1E1C0000
COMDLG32.dll               0x7FFD1E220000
PSAPI.DLL                  0x7FFD1E390000
MSCTF.dll                  0x7FFD1E3A0000
msvcrt.dll                 0x7FFD1E4F0000
clbcatq.dll                0x7FFD1E5A0000
ntdll.dll                  0x7FFD1E690000
