XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x0000682E0000
steam_api64.dll               0x0000682F0000
LL_fourPlay_1_10_163.dll      0x000180000000
wintrust.dll                  0x018E4D8C0000
Fallout4.exe                  0x7FF7511F0000
XAudio2_7.dll                 0x7FFB78CB0000
d3dcompiler_47_64.dll         0x7FFB78D40000
NvCamera64.dll                0x7FFB79150000
gameoverlayrenderer64.dll     0x7FFB799C0000
wsfw_identifier.dll           0x7FFB79B50000
SUP_F4SE.dll                  0x7FFB79C50000
mcm.dll                       0x7FFB79F50000
HHS.dll                       0x7FFB79FF0000
f4ee.dll                      0x7FFB7A0E0000
ClassicHolsteredWeapons.dll   0x7FFB7A1F0000
Buffout4.dll                  0x7FFB7A2A0000
BakaScrapHeap.dll             0x7FFB7A600000
tier0_s64.dll                 0x7FFB7A6D0000
steamclient64.dll             0x7FFB7A870000
dxgi.dll                      0x7FFB7BED0000
f4se_1_10_163.dll             0x7FFB7D0E0000
XDI.dll                       0x7FFB7E460000
vstdlib_s64.dll               0x7FFB7E590000
flexRelease_x64.dll           0x7FFB7E650000
MSVCR110.dll                  0x7FFB7E7A0000
PowerGridTools.dll            0x7FFB7F8F0000
HighFPSPhysicsFix.dll         0x7FFB80650000
place.dll                     0x7FFB80E20000
ResampleDmo.DLL               0x7FFB8D7D0000
MSVCP110.dll                  0x7FFB8E160000
nvspcap64.dll                 0x7FFB995C0000
GFSDK_SSAO_D3D11.win64.dll    0x7FFB9C190000
bink2w64.dll                  0x7FFB9C220000
DINPUT8.dll                   0x7FFB9C3D0000
XInput1_4.dll                 0x7FFB9CE70000
msdmo.dll                     0x7FFBA9820000
cudart64_75.dll               0x7FFBAF850000
ClockWidget.dll               0x7FFBB67B0000
GFSDK_GodraysLib.x64.dll      0x7FFBB6A10000
MSVCP140.dll                  0x7FFBBCB60000
VCRUNTIME140_1.dll            0x7FFBBCBF0000
VCRUNTIME140.dll              0x7FFBBCC00000
winmmbase.dll                 0x7FFBBE6D0000
MessageBus.dll                0x7FFBBEF70000
cbp.dll                       0x7FFBC0290000
flexExtRelease_x64.dll        0x7FFBC12D0000
achievements.dll              0x7FFBC3950000
f4se_steam_loader.dll         0x7FFBC92E0000
WeaponDebrisCrashFix.dll      0x7FFBD0010000
DSOUND.DLL                    0x7FFBD2740000
ondemandconnroutehelper.dll   0x7FFBD45F0000
textinputframework.dll        0x7FFBD4A90000
urlmon.dll                    0x7FFBD76E0000
WININET.dll                   0x7FFBD7CA0000
inputhost.dll                 0x7FFBD99C0000
nvwgf2umx.dll                 0x7FFBDAD30000
MessageBus.dll                0x7FFBE03B0000
fastprox.dll                  0x7FFBE0DD0000
wbemsvc.dll                   0x7FFBE10D0000
nvapi64.dll                   0x7FFBE1390000
AUDIOSES.DLL                  0x7FFBE1C60000
Windows.UI.dll                0x7FFBE2970000
OneCoreCommonProxyStub.dll    0x7FFBE31D0000
webio.dll                     0x7FFBE3540000
nvgpucomp64.dll               0x7FFBE4D70000
dbghelp.dll                   0x7FFBE6F60000
iertutil.dll                  0x7FFBE8F40000
srvcli.dll                    0x7FFBE94C0000
ncryptsslp.dll                0x7FFBE95B0000
XINPUT9_1_0.dll               0x7FFBE9CC0000
SprintStutteringFix.dll       0x7FFBE9CD0000
nvToolsExt64_1.dll            0x7FFBE9CF0000
COMCTL32.dll                  0x7FFBE9E20000
gdiplus.dll                   0x7FFBEA0C0000
amsi.dll                      0x7FFBEA4C0000
OneCoreUAPCommonProxyStub.dll 0x7FFBEB020000
nvldumdx.dll                  0x7FFBEB650000
wbemcomn.dll                  0x7FFBEBA70000
WINMM.dll                     0x7FFBEBB70000
wbemprox.dll                  0x7FFBEC520000
MMDevApi.dll                  0x7FFBECCB0000
drvstore.dll                  0x7FFBECE80000
rasadhlp.dll                  0x7FFBECFE0000
cryptnet.dll                  0x7FFBED110000
fwpuclnt.dll                  0x7FFBED490000
dhcpcsvc.DLL                  0x7FFBEE110000
CoreUIComponents.dll          0x7FFBEE130000
WINHTTP.dll                   0x7FFBEE4A0000
VERSION.dll                   0x7FFBEE880000
dhcpcsvc6.DLL                 0x7FFBEE890000
avrt.dll                      0x7FFBEE910000
directxdatabasehelper.dll     0x7FFBEE9F0000
d3dcompiler_47.dll            0x7FFBEF810000
WindowsCodecs.dll             0x7FFBEFCA0000
d3d11.dll                     0x7FFBF0180000
dcomp.dll                     0x7FFBF09E0000
CoreMessaging.dll             0x7FFBF11B0000
uxtheme.dll                   0x7FFBF16C0000
WINNSI.DLL                    0x7FFBF1820000
dxcore.dll                    0x7FFBF1890000
dxgi.dll                      0x7FFBF18D0000
dwmapi.dll                    0x7FFBF1BC0000
resourcepolicyclient.dll      0x7FFBF1C40000
wintypes.dll                  0x7FFBF2030000
windows.storage.dll           0x7FFBF2170000
HID.DLL                       0x7FFBF2A70000
netutils.dll                  0x7FFBF2CC0000
IPHLPAPI.DLL                  0x7FFBF2D10000
DNSAPI.dll                    0x7FFBF2D90000
UMPDC.dll                     0x7FFBF3090000
powrprof.dll                  0x7FFBF30B0000
Secur32.dll                   0x7FFBF3120000
schannel.DLL                  0x7FFBF31A0000
kernel.appcore.dll            0x7FFBF32B0000
rsaenh.dll                    0x7FFBF32D0000
ntmarta.dll                   0x7FFBF3370000
SSPICLI.DLL                   0x7FFBF35B0000
MSWSOCK.dll                   0x7FFBF37C0000
CRYPTBASE.DLL                 0x7FFBF39C0000
CRYPTSP.dll                   0x7FFBF3A60000
wldp.dll                      0x7FFBF3AB0000
NTASN1.dll                    0x7FFBF3BC0000
ncrypt.dll                    0x7FFBF3C00000
bcrypt.dll                    0x7FFBF3C30000
msasn1.dll                    0x7FFBF3F40000
devobj.dll                    0x7FFBF3F60000
CFGMGR32.dll                  0x7FFBF3F90000
DPAPI.DLL                     0x7FFBF4000000
profapi.dll                   0x7FFBF41D0000
msvcp_win.dll                 0x7FFBF42A0000
win32u.dll                    0x7FFBF4470000
KERNELBASE.dll                0x7FFBF44A0000
CRYPT32.dll                   0x7FFBF4850000
bcryptPrimitives.dll          0x7FFBF49C0000
ucrtbase.dll                  0x7FFBF4A40000
gdi32full.dll                 0x7FFBF4B60000
clbcatq.dll                   0x7FFBF4CF0000
SETUPAPI.dll                  0x7FFBF4DA0000
shlwapi.dll                   0x7FFBF52A0000
SHCORE.dll                    0x7FFBF5300000
ole32.dll                     0x7FFBF5400000
RPCRT4.dll                    0x7FFBF55A0000
NSI.dll                       0x7FFBF56C0000
KERNEL32.DLL                  0x7FFBF5740000
imagehlp.dll                  0x7FFBF5810000
WS2_32.dll                    0x7FFBF58E0000
sechost.dll                   0x7FFBF5960000
msvcrt.dll                    0x7FFBF5A60000
GDI32.dll                     0x7FFBF5B10000
MSCTF.dll                     0x7FFBF5B40000
OLEAUT32.dll                  0x7FFBF5CA0000
SHELL32.dll                   0x7FFBF5D80000
COMDLG32.dll                  0x7FFBF65E0000
ADVAPI32.dll                  0x7FFBF68A0000
USER32.dll                    0x7FFBF6960000
combase.dll                   0x7FFBF6B10000
IMM32.dll                     0x7FFBF6EA0000
PSAPI.DLL                     0x7FFBF6EE0000
ntdll.dll                     0x7FFBF6F30000
