XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x00006EF40000
steam_api64.dll                    0x00006EF50000
LongLoadingTimesFix.dll            0x021AAD470000
Fallout4.exe                       0x7FF6C5080000
d3dcompiler_47_64.dll              0x7FFCB20A0000
NvCamera64.dll                     0x7FFCB24B0000
transfer_settlements.dll           0x7FFCD8530000
gameoverlayrenderer64.dll          0x7FFCDB230000
Buffout4.dll                       0x7FFCDB3C0000
steamclient64.dll                  0x7FFCDB720000
DSOUND.DLL                         0x7FFCE2E00000
XAudio2_7.dll                      0x7FFCE43D0000
XDI.dll                            0x7FFCE4460000
wsfw_identifier.dll                0x7FFCE44D0000
terminal+.dll                      0x7FFCED1C0000
DINPUT8.dll                        0x7FFCED4B0000
po3_SpellPerkItemDistributorF4.dll 0x7FFCED500000
mcm.dll                            0x7FFCED610000
f4ee.dll                           0x7FFCED6B0000
BakaFramework.dll                  0x7FFCED7C0000
HighFPSPhysicsFix.dll              0x7FFCED9A0000
IPHLPAPI.DLL                       0x7FFCEDA30000
SprintSpeedController.dll          0x7FFCEFDE0000
rename_anything.dll                0x7FFCF0080000
PowerGridTools.dll                 0x7FFCF0140000
BakaMaxPapyrusOps.dll              0x7FFCF0280000
ReloadFix.dll                      0x7FFCF05B0000
tier0_s64.dll                      0x7FFCF0600000
f4se_1_10_163.dll                  0x7FFCF6DA0000
CONCRT140.dll                      0x7FFCF8C60000
nvspcap64.dll                      0x7FFCF9230000
Interior-NavCut-Fix.dll            0x7FFCFBAD0000
winmmbase.dll                      0x7FFD00160000
vstdlib_s64.dll                    0x7FFD02AA0000
GLXRM_ScalingFlagRemover.dll       0x7FFD02BC0000
cudart64_75.dll                    0x7FFD02C10000
flexRelease_x64.dll                0x7FFD02C70000
GFSDK_GodraysLib.x64.dll           0x7FFD03400000
MSVCR110.dll                       0x7FFD03460000
GFSDK_SSAO_D3D11.win64.dll         0x7FFD03700000
MSVCP110.dll                       0x7FFD03790000
bink2w64.dll                       0x7FFD03840000
usvfs_x64.dll                      0x7FFD09240000
inputhost.dll                      0x7FFD09620000
Windows.UI.dll                     0x7FFD09780000
textinputframework.dll             0x7FFD0D1F0000
nvwgf2umx.dll                      0x7FFD10450000
fastprox.dll                       0x7FFD15C60000
MSVCP140.dll                       0x7FFD15F60000
MessageBus.dll                     0x7FFD16470000
wbemsvc.dll                        0x7FFD16BE0000
wbemcomn.dll                       0x7FFD16E20000
nvapi64.dll                        0x7FFD16EB0000
VCRUNTIME140_1.dll                 0x7FFD176A0000
VCRUNTIME140.dll                   0x7FFD176C0000
MessageBus.dll                     0x7FFD17750000
f4se_steam_loader.dll              0x7FFD18850000
webio.dll                          0x7FFD18E50000
nvgpucomp64.dll                    0x7FFD1A890000
WINMM.dll                          0x7FFD1D1D0000
mskeyprotect.dll                   0x7FFD1E600000
ncryptsslp.dll                     0x7FFD1E6B0000
Secur32.dll                        0x7FFD1E6E0000
flexExtRelease_x64.dll             0x7FFD1ED80000
rasadhlp.dll                       0x7FFD1F4C0000
fwpuclnt.dll                       0x7FFD1F4E0000
MpOav.dll                          0x7FFD1F9E0000
WINSPOOL.DRV                       0x7FFD1FAD0000
COMCTL32.dll                       0x7FFD1FB80000
amsi.dll                           0x7FFD1FE20000
nvldumdx.dll                       0x7FFD20570000
MSIMG32.dll                        0x7FFD21170000
dxcore.dll                         0x7FFD21180000
wbemprox.dll                       0x7FFD21A40000
drvstore.dll                       0x7FFD228F0000
cryptnet.dll                       0x7FFD22A60000
WINHTTP.dll                        0x7FFD22E00000
WindowsCodecs.dll                  0x7FFD230A0000
VERSION.dll                        0x7FFD239D0000
MMDevApi.dll                       0x7FFD23AF0000
dhcpcsvc6.DLL                      0x7FFD23B80000
AUDIOSES.DLL                       0x7FFD23BA0000
twinapi.appcore.dll                0x7FFD23D50000
WindowManagementAPI.dll            0x7FFD23F60000
dhcpcsvc.DLL                       0x7FFD24130000
WINNSI.DLL                         0x7FFD24620000
avrt.dll                           0x7FFD24A80000
WeaponDebrisCrashFix.dll           0x7FFD25EB0000
PROPSYS.dll                        0x7FFD26010000
d3d11.dll                          0x7FFD26190000
wintypes.dll                       0x7FFD26F70000
dcomp.dll                          0x7FFD270D0000
CoreUIComponents.dll               0x7FFD27640000
CoreMessaging.dll                  0x7FFD279A0000
XINPUT9_1_0.dll                    0x7FFD27C10000
nvToolsExt64_1.dll                 0x7FFD27C90000
UxTheme.dll                        0x7FFD27EA0000
resourcepolicyclient.dll           0x7FFD27F80000
dwmapi.dll                         0x7FFD28080000
DbgHelp.dll                        0x7FFD28610000
windows.storage.dll                0x7FFD28990000
HID.DLL                            0x7FFD29130000
kernel.appcore.dll                 0x7FFD29140000
dxgi.dll                           0x7FFD29190000
schannel.DLL                       0x7FFD297E0000
rsaenh.dll                         0x7FFD298D0000
ntmarta.dll                        0x7FFD299F0000
IpHlpAPI.dll                       0x7FFD29C90000
DNSAPI.dll                         0x7FFD29CD0000
MSWSOCK.dll                        0x7FFD29FA0000
CRYPTSP.dll                        0x7FFD2A190000
CRYPTBASE.DLL                      0x7FFD2A1B0000
Wldp.dll                           0x7FFD2A2A0000
NTASN1.dll                         0x7FFD2A2D0000
ncrypt.dll                         0x7FFD2A310000
UMPDC.dll                          0x7FFD2A430000
POWRPROF.dll                       0x7FFD2A450000
msasn1.dll                         0x7FFD2A4A0000
devobj.dll                         0x7FFD2A660000
DPAPI.DLL                          0x7FFD2A6C0000
USERENV.dll                        0x7FFD2A780000
SSPICLI.DLL                        0x7FFD2A7B0000
profapi.dll                        0x7FFD2A800000
bcrypt.dll                         0x7FFD2A8D0000
msvcp_win.dll                      0x7FFD2A9B0000
gdi32full.dll                      0x7FFD2AA50000
KERNELBASE.dll                     0x7FFD2AB70000
ucrtbase.dll                       0x7FFD2AE70000
CRYPT32.dll                        0x7FFD2AF70000
cfgmgr32.dll                       0x7FFD2B0D0000
wintrust.dll                       0x7FFD2B120000
bcryptPrimitives.dll               0x7FFD2B190000
win32u.dll                         0x7FFD2B220000
SHLWAPI.dll                        0x7FFD2B2B0000
MSCTF.dll                          0x7FFD2B310000
