XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x0000675B0000
steam_api64.dll               0x0000675C0000
mdnsNSP.dll                   0x0000676D0000
sfc.dll                       0x0261AF8F0000
wintrust.dll                  0x0261E11B0000
Fallout4.exe                  0x7FF69C120000
steamclient64.dll             0x7FFD47A40000
Buffout4.dll                  0x7FFD576A0000
gameoverlayrenderer64.dll     0x7FFD5ADF0000
tier0_s64.dll                 0x7FFD5AF80000
DSOUND.DLL                    0x7FFD60500000
RobCo_Patcher.dll             0x7FFD61070000
XAudio2_7.dll                 0x7FFD61730000
mcm.dll                       0x7FFD617C0000
FakeThroughScope.dll          0x7FFD61FA0000
flexRelease_x64.dll           0x7FFD62080000
AcLayers.DLL                  0x7FFD62630000
f4se_1_10_163.dll             0x7FFD63150000
vstdlib_s64.dll               0x7FFD638C0000
winmmbase.dll                 0x7FFD661D0000
MSVCR110.dll                  0x7FFD66F70000
BulletCountedReload.dll       0x7FFD67120000
MessageBus.dll                0x7FFD67F20000
AutoBeam.dll                  0x7FFD6F020000
cudart64_75.dll               0x7FFD6F450000
GFSDK_GodraysLib.x64.dll      0x7FFD704E0000
MSVCP110.dll                  0x7FFD71850000
GFSDK_SSAO_D3D11.win64.dll    0x7FFD74B80000
flexExtRelease_x64.dll        0x7FFD74CE0000
sfc_os.DLL                    0x7FFD74DD0000
f4se_steam_loader.dll         0x7FFD74DF0000
bink2w64.dll                  0x7FFD763F0000
mskeyprotect.dll              0x7FFD7B5C0000
ncryptsslp.dll                0x7FFD7B900000
VCRUNTIME140_1.dll            0x7FFD80630000
MSVCP140.dll                  0x7FFD806A0000
VCRUNTIME140.dll              0x7FFD80730000
webio.dll                     0x7FFD80CA0000
nvwgf2umx.dll                 0x7FFD81990000
wbemsvc.dll                   0x7FFD87870000
fastprox.dll                  0x7FFD87EA0000
wbemcomn.dll                  0x7FFD88590000
Secur32.dll                   0x7FFD8A660000
fwpuclnt.dll                  0x7FFD8B510000
OneCoreCommonProxyStub.dll    0x7FFD8C210000
WINSPOOL.DRV                  0x7FFD8DDB0000
MpOav.dll                     0x7FFD8E6A0000
amsi.dll                      0x7FFD8E9A0000
WINMM.dll                     0x7FFD8F590000
nvapi64.dll                   0x7FFD8F900000
inputhost.dll                 0x7FFD900A0000
textinputframework.dll        0x7FFD90200000
Windows.UI.dll                0x7FFD90300000
nvldumdx.dll                  0x7FFD90F30000
dxcore.dll                    0x7FFD91570000
wbemprox.dll                  0x7FFD91760000
OneCoreUAPCommonProxyStub.dll 0x7FFD91780000
xinput1_4.dll                 0x7FFD920E0000
dbghelp.dll                   0x7FFD93340000
drvstore.dll                  0x7FFD936A0000
WINHTTP.dll                   0x7FFD938E0000
cryptnet.dll                  0x7FFD93B60000
VERSION.dll                   0x7FFD93BA0000
dhcpcsvc.DLL                  0x7FFD93DE0000
rasadhlp.dll                  0x7FFD93E00000
dhcpcsvc6.DLL                 0x7FFD93E30000
MMDevApi.dll                  0x7FFD942A0000
WINNSI.DLL                    0x7FFD94330000
twinapi.appcore.dll           0x7FFD94340000
AUDIOSES.DLL                  0x7FFD94550000
WindowManagementAPI.dll       0x7FFD947F0000
avrt.dll                      0x7FFD95000000
nvToolsExt64_1.dll            0x7FFD95250000
SortWindows61.dll             0x7FFD96150000
PROPSYS.dll                   0x7FFD962F0000
d3d11.dll                     0x7FFD96A30000
D3DCOMPILER_47.dll            0x7FFD96CA0000
wintypes.dll                  0x7FFD97250000
dcomp.dll                     0x7FFD973B0000
CoreUIComponents.dll          0x7FFD97930000
CoreMessaging.dll             0x7FFD97C90000
apphelp.dll                   0x7FFD97FE0000
uxtheme.dll                   0x7FFD98180000
resourcepolicyclient.dll      0x7FFD98260000
dwmapi.dll                    0x7FFD98470000
kernel.appcore.dll            0x7FFD98650000
windows.storage.dll           0x7FFD98850000
HID.DLL                       0x7FFD98FF0000
dxgi.dll                      0x7FFD99030000
schannel.DLL                  0x7FFD996E0000
rsaenh.dll                    0x7FFD997D0000
ntmarta.dll                   0x7FFD99910000
UMPDC.dll                     0x7FFD99B90000
IPHLPAPI.DLL                  0x7FFD99BB0000
DNSAPI.dll                    0x7FFD99BF0000
powrprof.dll                  0x7FFD99CD0000
MSWSOCK.dll                   0x7FFD99F10000
CRYPTSP.dll                   0x7FFD9A100000
CRYPTBASE.DLL                 0x7FFD9A120000
Wldp.dll                      0x7FFD9A1B0000
NTASN1.dll                    0x7FFD9A1E0000
ncrypt.dll                    0x7FFD9A220000
msasn1.dll                    0x7FFD9A340000
devobj.dll                    0x7FFD9A500000
DPAPI.DLL                     0x7FFD9A560000
SSPICLI.DLL                   0x7FFD9A620000
USERENV.dll                   0x7FFD9A660000
profapi.dll                   0x7FFD9A6A0000
win32u.dll                    0x7FFD9A7E0000
gdi32full.dll                 0x7FFD9A810000
cfgmgr32.dll                  0x7FFD9A930000
KERNELBASE.dll                0x7FFD9A980000
ucrtbase.dll                  0x7FFD9AC80000
bcryptPrimitives.dll          0x7FFD9AD80000
msvcp_win.dll                 0x7FFD9AE10000
CRYPT32.dll                   0x7FFD9AEB0000
bcrypt.dll                    0x7FFD9B010000
ole32.dll                     0x7FFD9B150000
SETUPAPI.dll                  0x7FFD9B280000
OLEAUT32.dll                  0x7FFD9B6F0000
RPCRT4.dll                    0x7FFD9B7C0000
msvcrt.dll                    0x7FFD9BC10000
USER32.dll                    0x7FFD9BCB0000
MSCTF.dll                     0x7FFD9BE50000
