[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     ArmorKeywords.esm
[08]     New Merge.esp
[09]     New Merge 2.esp
[0A]     Fallout4 Weapon Overhaul.esp
[0B]     NV4.esp
[0C]     SPR300.esp
[0D]     Groza.esp
[0E]     Kbar-32.esp
[0F]     Escape from Boston - Springfield M14.esp
[10]     WestTekTacticalOptics.esp
[11]     TAC.esp
[12]     HuntingModificationPack.esp
[13]     oDo_GunKitPack_1.esp
[14]     oDo_GunKitPack_3.esp
[15]     CompactGaussRifle.esp
[16]     W-P38.esp
[17]     IWProtag.esp
[18]     IWStryker.esp
[19]     IWMercury.esp
[1A]     IWJackal.esp
[1B]     BZW_Executioner.esp
[1C]     RangeRifle.esp
[1D]     p42.esp
[1E]     remington 700.esp
[1F]     DSR 50.esp
[20]     MGSV_BattleDress.esp
[21]     ACR-W17.esp
[22]     AUG-A1.esp
[23]     MMG.esp
[24]     Mauser.esp
[25]     Family Mauser.esp
[26]     STA52.esp
[27]     ManualReload.esp
[28]     MR73.esp
[29]     Mark V[B] Redux.esp
[2A]     MilitiaGun_Release.esp
[2B]     Colt Python.esp
[2C]     MinigunMW.esp
[2D]     F4NV-N99.esp
[2E]     RevolverModificationPack.esp
[2F]     10mmModificationPack.esp
[30]     10mmRifleMod.esp
[31]     DOOMLK05.esp
[32]     F4CW10mmSMG.esp
[33]     127SMG.esp
[34]     Skibs-223PistolRedux.esp
[35]     Lahti_L35.esp
[36]     HenryRepeater.esp
[37]     Bergmann1896.esp
[38]     Chiappa_Rhino.esp
[39]     TCContender.esp
[3A]     AKM_AKMS.esp
[3B]     AlienAssaultRifle.esp
[3C]     AssaultRifleModificationPack.esp
[3D]     Bulldog_308_SRSS.esp
[3E]     CROSS_FireworksCannon.esp
[3F]     DOOMCatalyst.esp
[40]     HlgCavalryRevolver.esp
[41]     Colt6520.esp
[42]     Combatrifle_Extend.esp
[43]     CombatRifleModificationPack.esp
[44]     CustomMossberg590A1.esp
[45]     DOOMDesertEagle.esp
[46]     DaksBallisticMask.esp
[47]     Yona_Weapon_DefenseGun.esp
[48]     DelivererModPack.esp
[49]     Elysium.esp
[4A]     ShotgunModificationPack.esp
[4B]     DupletF4.esp
[4C]     [W0LF]_EVA_RECON.esp
[4D]     Famas.esp
[4E]     fn five-seven v3.0.esp
[4F]     BZW_FTL_V1.esp
[50]     Faded Glory - Soundtrack Expansion.esp
[51]     Scopes.esp
[52]     FOLON_Arthur_Outfit.esp
[53]     GS Lever Action Shotgun.esp
[54]     GaussRifleModificationPack.esp
[55]     GaussMinigunG36EN.esp
[56]     DOOMGlock.esp
[57]     Ev_CPA10.esp
[58]     oDo_HMAR_SaigaKit.esp
[59]     HandmadeRifleAttachmentPack.esp
[5A]     USP 45.esp
[5B]     oDo_HMAR_StockKit.esp
[5C]     Helios Outfit.esp
[5D]     HandmadeRifleModificationPack.esp
[5E]     Skibs-IF88Redux.esp
[5F]     Skibs-WH77Redux.esp
[60]     Skibs-IF54Redux.esp
[61]     Infinite Armory.esp
[62]     AAlpha12.esp
[63]     Jager_outfit.esp
[64]     JaguarLMG.esp
[65]     Jericho 941.esp
[66]     JetWeaponCol.esp
[67]     Karma-45.esp
[68]     spacefiddle_Assault-Masks.esp
[69]     Krait6712.esp
[6A]     M1014.esp
[6B]     DOOM1911.esp
[6C]     M1Armory.esp
[6D]     OTs-02 Kiparis.esp
[6E]     DOOMMAC11.esp
[6F]     Ozzys_MCPR-300.esp
[70]     MP-412.esp
[71]     MS Ranger Outfit.esp
[72]     [MW2022] Konig.esp
[73]     MW-Krueger.esp
[74]     AN94.esp
[75]     Post Apocalyptic Survivor Outfit.esp
[76]     PIP-Pad.esp
[77]     GS Beretta PX4.esp
[78]     BZW_SDF_Trooper.esp
[79]     Rakshasa Armory.esp
[7A]     DOOMRhino.esp
[7B]     MWGorka.esp
[7C]     DOOMSCARLK.esp
[7D]     SelectMarksman.esp
[7E]     SingleShotgun.esp
[7F]     MMsLaserRCW.esp
[80]     TrenchGun.esp
[81]     VintageSubmachineGun.esp
[82]     WD_44.esp
[83]     Skibs-WHMk22Redux.esp
[84]     Colt1911.esp
[85]     JUMod_Weapon_WasterWeapons.esp
[86]     WesternRevolverModificationPack.esp
[87]     Python2.esp
[88]     HK XM8.esp
[89]     VWE.esp
[FE:000] Dank_ArmorPaintExtended.esl
[FE:001] MK50Sidekick.esl
[FE:002] XM2010_SniperRifle_by_tooun.esp
[FE:003] FN-FAL.esp
[FE:004] oDo_Reqs_HandmadeBARBarrels.esp
[FE:005] VGDoubleBarrel.esp
[FE:006] DevtacRonin.esp
[FE:007] OpsCoreFASTHelmet.esp
[FE:008] CVCHelmet.esp
[FE:009] IMBELMD2.esp
[FE:00A] MoreShredders.esp
[FE:00B] MMG_LL.esp
[FE:00C] AK2047.esp
[FE:00D] ModularKalash.esp
[FE:00E] MW2022_Shadow Company.esp
[FE:00F] MaresLeg_by_Flarescale.esp
[FE:010] Menace.esp
[FE:011] mysteriousmagnum.esp
[FE:012] Nexus_PMC.esp
[FE:013] AKSounds.esp
[FE:014] Russian_Operator_Pack.esp
[FE:015] Nambu.esp
[FE:016] FTS.esp
[FE:017] M72GaussRifleAttachmentPack.esp
[FE:018] 10mmAnimsNoTR.esp
[FE:019] Buzz_Axe.esp
[FE:01A] AKM_AKMS_NWPatch.esp
[FE:01B] ASVektor.esp
[FE:01C] AmmoCounterFramework.esp
[FE:01D] US_Rangers.esp
