XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x0000674E0000
steam_api64.dll               0x0000674F0000
d3d11.dll                     0x000180000000
NSI.dll                       0x023561310000
Fallout4.exe                  0x7FF62FA20000
NvCamera64.dll                0x7FFEE5BB0000
d3dcompiler_47_64.dll         0x7FFEE6580000
nvspcap64.dll                 0x7FFEE6D90000
d3dcompiler_46e.dll           0x7FFEE7070000
steamclient64.dll             0x7FFEE7430000
IPHLPAPI.DLL                  0x7FFEE8A90000
gameoverlayrenderer64.dll     0x7FFEEA040000
Buffout4.dll                  0x7FFEEC4E0000
XAudio2_7.dll                 0x7FFEEE540000
wsfw_identifier.dll           0x7FFEEE740000
RobCo_Patcher.dll             0x7FFEEF810000
XDI.dll                       0x7FFEF2EB0000
place.dll                     0x7FFEF2F20000
PowerGridTools.dll            0x7FFEF6F50000
mcm.dll                       0x7FFEFF120000
tier0_s64.dll                 0x7FFF03B00000
f4se_1_10_163.dll             0x7FFF03E60000
HighFPSPhysicsFix.dll         0x7FFF04080000
vstdlib_s64.dll               0x7FFF04110000
D3DCOMPILER_43.dll            0x7FFF14AA0000
nvwgf2umx.dll                 0x7FFF2BAC0000
ResampleDmo.DLL               0x7FFF31BC0000
DSOUND.DLL                    0x7FFF31C80000
RustyFaceFix.dll              0x7FFF376C0000
crafting_highlight_fix.dll    0x7FFF39930000
nvgpucomp64.dll               0x7FFF39F40000
ASM.Plugin.AudioDevProps2.dll 0x7FFF40340000
AudioDevProps2.dll            0x7FFF45F50000
cudart64_75.dll               0x7FFF472C0000
GFSDK_GodraysLib.x64.dll      0x7FFF47320000
GFSDK_SSAO_D3D11.win64.dll    0x7FFF47380000
flexRelease_x64.dll           0x7FFF47410000
MSVCP110.dll                  0x7FFF47560000
MSVCR110.dll                  0x7FFF47610000
f4se_steam_loader.dll         0x7FFF481C0000
MSVCP140.dll                  0x7FFF4E6B0000
VCRUNTIME140_1.dll            0x7FFF57320000
VCRUNTIME140.dll              0x7FFF57380000
MessageBus.dll                0x7FFF596C0000
