XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x00005F9E0000
steam_api64.dll                    0x00005F9F0000
LL_fourPlay_1_10_163.dll           0x000180000000
autoswitch.dll                     0x01F300580000
Fallout4.exe                       0x7FF78DA60000
XAudio2_7.dll                      0x7FFA17870000
nvcuda64.dll                       0x7FFA17900000
d3dcompiler_47_64.dll              0x7FFA182B0000
NvCamera64.dll                     0x7FFA186C0000
gameoverlayrenderer64.dll          0x7FFA18F30000
steamclient64.dll                  0x7FFA190C0000
XDI.dll                            0x7FFA1ABB0000
wsfw_identifier.dll                0x7FFA1AC20000
RobCo_Patcher.dll                  0x7FFA1AD20000
IPHLPAPI.DLL                       0x7FFA1AE10000
SimpleImpact.dll                   0x7FFA37970000
PowerGridTools.dll                 0x7FFA39CC0000
po3_SpellPerkItemDistributorF4.dll 0x7FFA3B440000
po3_BaseObjectSwapperF4.dll        0x7FFA3B550000
WhoseQuestIsItAnywayF4.dll         0x7FFA3DBB0000
NVIDIA_Reflex.dll                  0x7FFA46110000
mcm.dll                            0x7FFA461E0000
XInput1_4.dll                      0x7FFA46EF0000
nvspcap64.dll                      0x7FFA46F60000
cudart64_75.dll                    0x7FFA48C40000
DINPUT8.dll                        0x7FFA52470000
GFSDK_GodraysLib.x64.dll           0x7FFA524C0000
GFSDK_SSAO_D3D11.win64.dll         0x7FFA52520000
flexExtRelease_x64.dll             0x7FFA525B0000
UnlimitedSurvivalMode.dll          0x7FFA526A0000
flexRelease_x64.dll                0x7FFA526F0000
Interior-NavCut-Fix.dll            0x7FFA53D60000
ResampleDmo.DLL                    0x7FFA5D8F0000
DSOUND.DLL                         0x7FFA5DA50000
msdmo.dll                          0x7FFA5FBF0000
CONCRT140.dll                      0x7FFA64900000
MessageBus.dll                     0x7FFA64F40000
ncryptsslp.dll                     0x7FFA71AB0000
usvfs_x64.dll                      0x7FFA73850000
HighFPSPhysicsFix.dll              0x7FFA73AE0000
GLXRM_UnleveledWorld.dll           0x7FFA73B70000
GLXRM_ScalingFlagRemover.dll       0x7FFA73BC0000
f4ee.dll                           0x7FFA73C10000
enbhelperf4.dll                    0x7FFA73D20000
