XINPUT1_3.dll                    0x000000400000
X3DAudio1_7.dll                  0x000050560000
steam_api64.dll                  0x000050570000
d3d11.dll                        0x000180000000
BakaWaitAnywhere.dll             0x01C79EC60000
Fallout4.exe                     0x7FF7896D0000
steamclient64.dll                0x7FF86E680000
IPHLPAPI.DLL                     0x7FF86FCF0000
gameoverlayrenderer64.dll        0x7FF8ABA70000
XDI.dll                          0x7FF8AC2A0000
wsfw_identifier.dll              0x7FF8AC310000
WhoseQuestIsItAnywayF4.dll       0x7FF8AD790000
ShadowBoostFO4.dll               0x7FF8B0230000
vertibird_jump.dll               0x7FF8B0350000
PowerGridTools.dll               0x7FF8B14C0000
NVIDIA_Reflex.dll                0x7FF8B1AB0000
mcm.dll                          0x7FF8B1B80000
place.dll                        0x7FF8B2EB0000
HighFPSPhysicsFix.dll            0x7FF8B63E0000
faster_workshop.dll              0x7FF8B6470000
PriorityMod.dll                  0x7FF8CD820000
d3dcompiler_46e.dll              0x7FF8CF0C0000
pppl.dll                         0x7FF8CF480000
f4pm.dll                         0x7FF8CF4C0000
Buffout4.dll                     0x7FF8CF530000
cudart64_75.dll                  0x7FF8CF890000
GFSDK_GodraysLib.x64.dll         0x7FF8CF8F0000
GFSDK_SSAO_D3D11.win64.dll       0x7FF8CF950000
MSVCR110.dll                     0x7FF8CF9E0000
MSVCP110.dll                     0x7FF8CFAC0000
encounter_zone_recalculation.dll 0x7FF8CFB80000
Discord_Presence_F4SE.dll        0x7FF8CFBB0000
crafting_highlight_fix.dll       0x7FF8CFC50000
ClockWidget.dll                  0x7FF8CFCA0000
ClassicHolsteredWeapons.dll      0x7FF8CFCF0000
CCExtenderF4.dll                 0x7FF8CFDA0000
BulletCountedReload.dll          0x7FF8CFE10000
f4se_1_10_163.dll                0x7FF8CFF50000
vstdlib_s64.dll                  0x7FF8D0030000
tier0_s64.dll                    0x7FF8D00F0000
flexExtRelease_x64.dll           0x7FF8D0890000
flexRelease_x64.dll              0x7FF8D08F0000
ResampleDmo.DLL                  0x7FF8FB890000
DSOUND.DLL                       0x7FF8FCDA0000
WeaponDebrisCrashFix.dll         0x7FF8FE320000
D3D12Core.dll                    0x7FF8FE4F0000
d3d12.dll                        0x7FF900A80000
d3dx11_43.dll                    0x7FF900C70000
medal-hook64.dll                 0x7FF900D20000
xinput1_4.dll                    0x7FF906AC0000
usvfs_x64.dll                    0x7FF910830000
nvspcap64.dll                    0x7FF9311C0000
MSVCP140_ATOMIC_WAIT.dll         0x7FF934350000
GLU32.dll                        0x7FF935870000
OPENGL32.dll                     0x7FF935940000
D3DCOMPILER_43.dll               0x7FF935A40000
XAudio2_7.dll                    0x7FF94B910000
f4se_steam_loader.dll            0x7FF94FCF0000
bink2w64.dll                     0x7FF94FD30000
BetterConsole.dll                0x7FF94FDC0000
D3DSCache.dll                    0x7FF96C2D0000
msdmo.dll                        0x7FF96ECC0000
inputhost.dll                    0x7FF97BA30000
webio.dll                        0x7FF9800F0000
textinputframework.dll           0x7FF987D30000
MSVCP140.dll                     0x7FF989A40000
VCRUNTIME140_1.dll               0x7FF989AD0000
VCRUNTIME140.dll                 0x7FF989AE0000
winmmbase.dll                    0x7FF98A2A0000
Windows.UI.dll                   0x7FF98B050000
nvwgf2umx.dll                    0x7FF98B910000
nvapi64.dll                      0x7FF990DD0000
WINMM.dll                        0x7FF992930000
AUDIOSES.DLL                     0x7FF994520000
nvgpucomp64.dll                  0x7FF995BA0000
ncryptsslp.dll                   0x7FF9986E0000
WINSPOOL.DRV                     0x7FF998A40000
COMCTL32.dll                     0x7FF998AF0000
MSIMG32.dll                      0x7FF998F50000
symamsi.dll                      0x7FF999230000
MpOav.dll                        0x7FF9992E0000
amsi.dll                         0x7FF999360000
SprintStutteringFix.dll          0x7FF999530000
cc_cleaner.dll                   0x7FF999550000
wbemsvc.dll                      0x7FF999920000
fastprox.dll                     0x7FF999940000
MessageBus.dll                   0x7FF999EE0000
MMDevApi.dll                     0x7FF99A880000
wbemcomn.dll                     0x7FF99ABE0000
wbemprox.dll                     0x7FF99AC60000
nvldumdx.dll                     0x7FF99AC70000
twinapi.appcore.dll              0x7FF99B380000
drvstore.dll                     0x7FF99BC00000
cryptnet.dll                     0x7FF99BD60000
rasadhlp.dll                     0x7FF99DAA0000
fwpuclnt.dll                     0x7FF99DD60000
VERSION.dll                      0x7FF99DDF0000
CoreUIComponents.dll             0x7FF99DFD0000
directxdatabasehelper.dll        0x7FF99EA90000
dhcpcsvc.DLL                     0x7FF99EDF0000
dhcpcsvc6.DLL                    0x7FF99EE10000
WINHTTP.dll                      0x7FF99EEA0000
avrt.dll                         0x7FF99F310000
D3DCOMPILER_47.dll               0x7FF9A0D70000
nvToolsExt64_1.dll               0x7FF9A14C0000
d3d11.dll                        0x7FF9A15B0000
