XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x00006DE40000
steam_api64.dll                    0x00006DE50000
BakaFramework.dll                  0x02990F280000
Fallout4.exe                       0x7FF6A1560000
XAudio2_7.dll                      0x7FFD68F70000
gameoverlayrenderer64.dll          0x7FFD6B5D0000
XDI.dll                            0x7FFD6B760000
wsfw_identifier.dll                0x7FFD6B7D0000
WhoseQuestIsItAnywayF4.dll         0x7FFD6B8D0000
transfer_settlements.dll           0x7FFD6B930000
terminal+.dll                      0x7FFD6BC00000
ShadowBoostFO4.dll                 0x7FFD6BD50000
RobCo_Patcher.dll                  0x7FFD6BE20000
rename_anything.dll                0x7FFD6BF10000
PrivateProfileRedirector.dll       0x7FFD6BF60000
po3_SpellPerkItemDistributorF4.dll 0x7FFD6BFC0000
po3_BaseObjectSwapperF4.dll        0x7FFD6C0D0000
place.dll                          0x7FFD6C1D0000
NVIDIA_Reflex.dll                  0x7FFD6C250000
PowerGridTools.dll                 0x7FFD6CAE0000
mcm.dll                            0x7FFD6CB50000
Buffout4.dll                       0x7FFD6CBF0000
steamclient64.dll                  0x7FFD6CF50000
flexRelease_x64.dll                0x7FFD6E5B0000
IPHLPAPI.DLL                       0x7FFD6E700000
CONCRT140.dll                      0x7FFD6ECC0000
Interior-NavCut-Fix.dll            0x7FFD6ED10000
HighFPSPhysicsFix.dll              0x7FFD6ED60000
f4ee.dll                           0x7FFD6EDF0000
cudart64_75.dll                    0x7FFD6F250000
GFSDK_SSAO_D3D11.win64.dll         0x7FFD6F2B0000
GFSDK_GodraysLib.x64.dll           0x7FFD6FAD0000
MSVCR110.dll                       0x7FFD6FB30000
MSVCP110.dll                       0x7FFD6FC10000
f4se_1_10_163.dll                  0x7FFD6FDE0000
flexExtRelease_x64.dll             0x7FFD70040000
bink2w64.dll                       0x7FFD700A0000
GCBugFix.dll                       0x7FFD70150000
vstdlib_s64.dll                    0x7FFD701B0000
tier0_s64.dll                      0x7FFD70270000
crafting_highlight_fix.dll         0x7FFD714C0000
ConsoleUtilF4.dll                  0x7FFD753C0000
usvfs_x64.dll                      0x7FFD77FF0000
xinput1_4.dll                      0x7FFDC4690000
f4se_steam_loader.dll              0x7FFDE6850000
nvspcap64.dll                      0x7FFDE7D00000
WeaponDebrisCrashFix.dll           0x7FFDE90B0000
SprintStutteringFix.dll            0x7FFDF0730000
ResampleDmo.DLL                    0x7FFDF60C0000
DSOUND.DLL                         0x7FFDF6240000
msdmo.dll                          0x7FFDF65B0000
MpOav.dll                          0x7FFDF7BB0000
amsi.dll                           0x7FFDF7C70000
TextShaping.dll                    0x7FFDF8660000
ncryptsslp.dll                     0x7FFDF8920000
Windows.UI.dll                     0x7FFDF9D80000
nvToolsExt64_1.dll                 0x7FFDFEB20000
webio.dll                          0x7FFE000F0000
inputhost.dll                      0x7FFE02780000
VCRUNTIME140_1.dll                 0x7FFE045D0000
winmmbase.dll                      0x7FFE04BB0000
MSVCP140.dll                       0x7FFE04E00000
VCRUNTIME140.dll                   0x7FFE04E90000
OneCoreCommonProxyStub.dll         0x7FFE05990000
AUDIOSES.DLL                       0x7FFE07E00000
textinputframework.dll             0x7FFE083C0000
MessageBus.dll                     0x7FFE088A0000
Oleacc.dll                         0x7FFE09250000
WINSPOOL.DRV                       0x7FFE092C0000
COMCTL32.dll                       0x7FFE09370000
MSIMG32.dll                        0x7FFE097D0000
fastprox.dll                       0x7FFE09DB0000
nvapi64.dll                        0x7FFE0A2D0000
wbemsvc.dll                        0x7FFE0AAA0000
DbgHelp.dll                        0x7FFE0AD60000
nvwgf2umx.dll                      0x7FFE0C9A0000
MMDevApi.dll                       0x7FFE121C0000
nvgpucomp64.dll                    0x7FFE12460000
wbemcomn.dll                       0x7FFE14650000
wbemprox.dll                       0x7FFE146D0000
nvldumdx.dll                       0x7FFE14E20000
OneCoreUAPCommonProxyStub.dll      0x7FFE15180000
drvstore.dll                       0x7FFE15B00000
cryptnet.dll                       0x7FFE15C60000
fwpuclnt.dll                       0x7FFE16810000
VERSION.dll                        0x7FFE16940000
rasadhlp.dll                       0x7FFE16A10000
WINMM.dll                          0x7FFE178B0000
dhcpcsvc.DLL                       0x7FFE17F90000
dhcpcsvc6.DLL                      0x7FFE17FD0000
WINHTTP.dll                        0x7FFE18040000
CoreUIComponents.dll               0x7FFE18180000
directxdatabasehelper.dll          0x7FFE18CA0000
avrt.dll                           0x7FFE19090000
D3DCOMPILER_47.dll                 0x7FFE1AAE0000
d3d11.dll                          0x7FFE1B300000
dcomp.dll                          0x7FFE1BB50000
CoreMessaging.dll                  0x7FFE1C1C0000
UxTheme.dll                        0x7FFE1C5A0000
dxgi.dll                           0x7FFE1C710000
dwmapi.dll                         0x7FFE1C820000
WINNSI.DLL                         0x7FFE1C850000
dxcore.dll                         0x7FFE1C890000
resourcepolicyclient.dll           0x7FFE1CB30000
wintypes.dll                       0x7FFE1CF20000
windows.storage.dll                0x7FFE1D060000
HID.DLL                            0x7FFE1D960000
IpHlpAPI.dll                       0x7FFE1DC30000
DNSAPI.dll                         0x7FFE1DCA0000
UMPDC.dll                          0x7FFE1DF70000
POWRPROF.dll                       0x7FFE1DF90000
Secur32.dll                        0x7FFE1E000000
schannel.DLL                       0x7FFE1E080000
rsaenh.dll                         0x7FFE1E190000
kernel.appcore.dll                 0x7FFE1E230000
ntmarta.dll                        0x7FFE1E250000
SSPICLI.DLL                        0x7FFE1E490000
MSWSOCK.dll                        0x7FFE1E6B0000
USERENV.dll                        0x7FFE1E770000
CRYPTSP.dll                        0x7FFE1E8D0000
CRYPTBASE.DLL                      0x7FFE1E8F0000
wldp.dll                           0x7FFE1E9F0000
NTASN1.dll                         0x7FFE1EAA0000
ncrypt.dll                         0x7FFE1EAE0000
bcrypt.dll                         0x7FFE1EB10000
msasn1.dll                         0x7FFE1EE20000
devobj.dll                         0x7FFE1EE40000
CFGMGR32.dll                       0x7FFE1EE70000
DPAPI.DLL                          0x7FFE1EEE0000
profapi.dll                        0x7FFE1F0B0000
msvcp_win.dll                      0x7FFE1F180000
gdi32full.dll                      0x7FFE1F220000
wintrust.dll                       0x7FFE1F340000
bcryptPrimitives.dll               0x7FFE1F3B0000
KERNELBASE.dll                     0x7FFE1F430000
CRYPT32.dll                        0x7FFE1F7E0000
ucrtbase.dll                       0x7FFE1FA10000
win32u.dll                         0x7FFE1FB30000
IMM32.DLL                          0x7FFE1FB80000
imagehlp.dll                       0x7FFE1FBC0000
combase.dll                        0x7FFE1FBE0000
msvcrt.dll                         0x7FFE1FF70000
SHLWAPI.dll                        0x7FFE20020000
NSI.dll                            0x7FFE20100000
RPCRT4.dll                         0x7FFE20110000
sechost.dll                        0x7FFE20230000
ADVAPI32.dll                       0x7FFE202E0000
KERNEL32.DLL                       0x7FFE203A0000
shcore.dll                         0x7FFE20470000
clbcatq.dll                        0x7FFE20570000
SETUPAPI.dll                       0x7FFE206B0000
MSCTF.dll                          0x7FFE20B90000
OLEAUT32.dll                       0x7FFE20CE0000
ole32.dll                          0x7FFE20DD0000
SHELL32.dll                        0x7FFE20F70000
COMDLG32.dll                       0x7FFE217D0000
PSAPI.DLL                          0x7FFE21A90000
WS2_32.dll                         0x7FFE21AA0000
USER32.dll                         0x7FFE21B20000
GDI32.dll                          0x7FFE21DA0000
ntdll.dll                          0x7FFE21E10000
