XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000073F50000
steam_api64.dll                    0x000073F60000
d3d11.dll                          0x000180000000
NSI.dll                            0x0212D5150000
Fallout4.exe                       0x7FF742320000
nvwgf2umx.dll                      0x7FF905130000
dxilconv.dll                       0x7FF90C070000
nvcuda64.dll                       0x7FF918690000
nvgpucomp64.dll                    0x7FF91D5A0000
d3dcompiler_47_64.dll              0x7FF921C70000
ResampleDmo.DLL                    0x7FF9239A0000
DSOUND.DLL                         0x7FF923E30000
D3D12Core.dll                      0x7FF9291D0000
NvCamera64.dll                     0x7FF943A00000
nvngx_dlssg.dll                    0x7FF944270000
nvngx_dlss.dll                     0x7FF944F10000
nvofapi64.dll                      0x7FF9473E0000
nvspcap64.dll                      0x7FF947490000
d3dcompiler_46e.dll                0x7FF947770000
nvcuda.dll                         0x7FF947B30000
Buffout4.dll                       0x7FF947EB0000
steamclient64.dll                  0x7FF948210000
dxgi.dll                           0x7FF949870000
D3DCOMPILER_43.dll                 0x7FF949C80000
vulkan-1.dll                       0x7FF94F020000
IPHLPAPI.DLL                       0x7FF94F180000
_nvngx.dll                         0x7FF94F7E0000
nvldumdx.dll                       0x7FF950F70000
gameoverlayrenderer64.dll          0x7FF951030000
wsfw_identifier.dll                0x7FF95B7D0000
sl.common.dll                      0x7FF95BE50000
XAudio2_7.dll                      0x7FF95E050000
po3_SpellPerkItemDistributorF4.dll 0x7FF95E620000
sl.dlss_g.dll                      0x7FF95E930000
Fallout4Upscaler.dll               0x7FF95E9C0000
DINPUT8.dll                        0x7FF95EE00000
XDI.dll                            0x7FF95EE50000
f4ee.dll                           0x7FF95F130000
tier0_s64.dll                      0x7FF95F260000
mcm.dll                            0x7FF95F6F0000
BakaFramework.dll                  0x7FF95F800000
deviceaccess.dll                   0x7FF963D40000
ncryptsslp.dll                     0x7FF965690000
PowerGridTools.dll                 0x7FF9678B0000
flexRelease_x64.dll                0x7FF967920000
sl.reflex.dll                      0x7FF96A2C0000
HighFPSPhysicsFix.dll              0x7FF96A2F0000
NvTelemetryBridge64.dll            0x7FF96B0D0000
sl.interposer.dll                  0x7FF96B870000
D3DSCache.dll                      0x7FF96B930000
Discord_Presence_F4SE.dll          0x7FF96B970000
ondemandconnroutehelper.dll        0x7FF96BDE0000
PDPerfPlugin.dll                   0x7FF96D200000
PriorityMod.dll                    0x7FF96F390000
f4se_1_10_163.dll                  0x7FF970D20000
MSVCR110.dll                       0x7FF970E00000
d3d12.dll                          0x7FF9713F0000
spdlog.dll                         0x7FF971430000
BetterConsole.dll                  0x7FF973150000
xinput1_4.dll                      0x7FF973FC0000
ESPExplorer.dll                    0x7FF975090000
d3dx11_43.dll                      0x7FF975300000
GFSDK_SSAO_D3D11.win64.dll         0x7FF976560000
cudart64_75.dll                    0x7FF976E60000
GFSDK_GodraysLib.x64.dll           0x7FF976F30000
WININET.dll                        0x7FF979C70000
eamsi.dll                          0x7FF97A8E0000
flexExtRelease_x64.dll             0x7FF97B0B0000
webio.dll                          0x7FF97BF00000
VCRUNTIME140_1.dll                 0x7FF97C2A0000
MSVCP140.dll                       0x7FF97C2B0000
MessageBus.dll                     0x7FF97C600000
VCRUNTIME140.dll                   0x7FF97E3F0000
winmmbase.dll                      0x7FF982D80000
MSVCP110.dll                       0x7FF983250000
bink2w64.dll                       0x7FF983300000
NvTelemetryAPI64.dll               0x7FF984250000
inputhost.dll                      0x7FF9846C0000
Windows.UI.dll                     0x7FF984940000
COMCTL32.dll                       0x7FF985830000
msdmo.dll                          0x7FF985BA0000
f4se_steam_loader.dll              0x7FF985BB0000
WeaponDebrisCrashFix.dll           0x7FF986C90000
fmt.dll                            0x7FF987AA0000
