XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000057DB0000
steam_api64.dll                    0x000057FD0000
d3d11.dll                          0x000180000000
tbb.dll                            0x018032700000
tbbmalloc.dll                      0x018032770000
clbcatq.dll                        0x018044A50000
Fallout4.exe                       0x7FF7940D0000
d3dcompiler_46e.dll                0x7FFAB5130000
SUP_F4SE.dll                       0x7FFAB54F0000
Buffout4.dll                       0x7FFAC7D50000
steamclient64.dll                  0x7FFAC80B0000
D3DCOMPILER_43.dll                 0x7FFAC9710000
IPHLPAPI.DLL                       0x7FFAC9980000
po3_SpellPerkItemDistributorF4.dll 0x7FFAE2F90000
po3_BaseObjectSwapperF4.dll        0x7FFAE30A0000
PRKF.dll                           0x7FFAE49C0000
PowerGridTools.dll                 0x7FFAE5C50000
LighthousePapyrusExtender.dll      0x7FFAE5CC0000
place.dll                          0x7FFAF03D0000
PipboyTabs.dll                     0x7FFAF0450000
Outfit-ReDress-Fix.dll             0x7FFAF0990000
MODExplorer.dll                    0x7FFAF0FF0000
MGEFConditionFix.dll               0x7FFAF1070000
mcm.dll                            0x7FFAF72B0000
LooksmenuPlayerRotation.dll        0x7FFAF73E0000
LongLoadingTimesFix.dll            0x7FFAF7840000
CONCRT140.dll                      0x7FFAF78A0000
HighFPSPhysicsFix.dll              0x7FFAF78F0000
Interior-NavCut-Fix.dll            0x7FFAF7E90000
GLXRM_UnleveledWorld.dll           0x7FFB10A90000
GLXRM_SprintOverhaul.dll           0x7FFB10DF0000
GLXRM_ScalingFlagRemover.dll       0x7FFB117D0000
GLXRM_NoScreenshotMessages.dll     0x7FFB11820000
MSIMG32.dll                        0x7FFB11B90000
GLXRM_ManualReload.dll             0x7FFB11BB0000
GLXRM_FriendlyFire.dll             0x7FFB11C00000
f4ee.dll                           0x7FFB11C50000
GLXRM_FireRateShowsRPM.dll         0x7FFB11E80000
Ghoulification.dll                 0x7FFB17460000
BakaFramework.dll                  0x7FFB174C0000
GLXRM_EasierCrouchedSteadying.dll  0x7FFB17710000
GCBugFix.dll                       0x7FFB17960000
EscapeFreeze.dll                   0x7FFB17B50000
dxgi.dll                           0x7FFB17C10000
BakaScrapHeap.dll                  0x7FFB18B50000
tier0_s64.dll                      0x7FFB22B50000
flexRelease_x64.dll                0x7FFB22CF0000
WINHTTP.dll                        0x7FFB22E40000
f4se_1_10_163.dll                  0x7FFB23340000
gameoverlayrenderer64.dll          0x7FFB23780000
BakaMaxPapyrusOps.dll              0x7FFB23910000
vstdlib_s64.dll                    0x7FFB25000000
DirectHit.dll                      0x7FFB25390000
crafting_highlight_fix.dll         0x7FFB255E0000
CookableGrenade.dll                0x7FFB259A0000
UnlimitedFastTravel.dll            0x7FFB25A50000
UneducatedShooter.dll              0x7FFB25AA0000
ShieldFramework.dll                0x7FFB25B20000
ShadowBoostFO4.dll                 0x7FFB25BA0000
RobCo_Patcher.dll                  0x7FFB25C70000
rename_anything.dll                0x7FFB25D60000
ConsoleUtilF4.dll                  0x7FFB27040000
CCExtenderF4.dll                   0x7FFB27230000
BulletCountedReload.dll            0x7FFB27450000
BodyPartsUI.dll                    0x7FFB27760000
BetterConsole.dll                  0x7FFB289A0000
ALR.dll                            0x7FFB28B10000
pppl.dll                           0x7FFB29790000
usvfs_x64.dll                      0x7FFB379F0000
gdiplus.dll                        0x7FFB3DDF0000
winmmbase.dll                      0x7FFB42ED0000
enbhelperf4.dll                    0x7FFB44550000
BlockingOverhaul.dll               0x7FFB445D0000
DSOUND.DLL                         0x7FFB44680000
Bastion.dll                        0x7FFB44F20000
wsfw_identifier.dll                0x7FFB44FE0000
f4se_steam_loader.dll              0x7FFB450E0000
MSVCR110.dll                       0x7FFB45120000
cudart64_75.dll                    0x7FFB45250000
d3dx11_43.dll                      0x7FFB452D0000
GFSDK_SSAO_D3D11.win64.dll         0x7FFB45410000
XAudio2_7.dll                      0x7FFB454F0000
MSVCP140.dll                       0x7FFB46F80000
VCRUNTIME140_1.dll                 0x7FFB47ED0000
VCRUNTIME140.dll                   0x7FFB480F0000
ondemandconnroutehelper.dll        0x7FFB48170000
cryptnet.dll                       0x7FFB49CD0000
AUDIOSES.DLL                       0x7FFB4AF50000
XDI.dll                            0x7FFB4E2A0000
GFSDK_GodraysLib.x64.dll           0x7FFB4E360000
flexExtRelease_x64.dll             0x7FFB4E3C0000
MSVCP110.dll                       0x7FFB4E420000
WININET.dll                        0x7FFB4F1D0000
WINSPOOL.DRV                       0x7FFB4FD50000
COMCTL32.dll                       0x7FFB502A0000
mskeyprotect.dll                   0x7FFB56A90000
WhoseQuestIsItAnywayF4.dll         0x7FFB56CA0000
Secur32.dll                        0x7FFB56D90000
ncryptsslp.dll                     0x7FFB56DA0000
UnlimitedSurvivalMode.dll          0x7FFB58E50000
encounter_zone_recalculation.dll   0x7FFB59030000
bink2w64.dll                       0x7FFB59060000
SprintStutteringFix.dll            0x7FFB59110000
rasadhlp.dll                       0x7FFB59710000
fwpuclnt.dll                       0x7FFB59940000
srvcli.dll                         0x7FFB5B410000
urlmon.dll                         0x7FFB5B440000
atidxx64.dll                       0x7FFB5B670000
iertutil.dll                       0x7FFB5DD40000
inputhost.dll                      0x7FFB5F1F0000
textinputframework.dll             0x7FFB5F350000
Windows.UI.dll                     0x7FFB5F4B0000
amdxx64.dll                        0x7FFB5F600000
amdihk64.dll                       0x7FFB62B30000
MMDevApi.dll                       0x7FFB62D40000
WINMM.dll                          0x7FFB62DD0000
aticfx64.dll                       0x7FFB62E40000
MSVCP140_ATOMIC_WAIT.dll           0x7FFB637D0000
SilentProtagonistF4SE.dll          0x7FFB63830000
nvToolsExt64_1.dll                 0x7FFB63840000
xinput1_4.dll                      0x7FFB63850000
xinput9_1_0.dll                    0x7FFB638A0000
VERSION.dll                        0x7FFB638B0000
dxcore.dll                         0x7FFB638C0000
WINHTTP.DLL                        0x7FFB64F90000
DbgHelp.dll                        0x7FFB650A0000
dhcpcsvc6.DLL                      0x7FFB65EE0000
dhcpcsvc.DLL                       0x7FFB66000000
windowscodecs.dll                  0x7FFB66090000
WINNSI.DLL                         0x7FFB66250000
twinapi.appcore.dll                0x7FFB66260000
WindowManagementAPI.dll            0x7FFB66630000
avrt.dll                           0x7FFB66E40000
PROPSYS.dll                        0x7FFB676D0000
d3d11.dll                          0x7FFB679A0000
D3DCOMPILER_47.dll                 0x7FFB681D0000
wintypes.dll                       0x7FFB68640000
dcomp.dll                          0x7FFB687A0000
CoreUIComponents.dll               0x7FFB68D40000
CoreMessaging.dll                  0x7FFB690A0000
apphelp.dll                        0x7FFB69460000
UxTheme.dll                        0x7FFB69560000
resourcepolicyclient.dll           0x7FFB69620000
dwmapi.dll                         0x7FFB69920000
kernel.appcore.dll                 0x7FFB69950000
windows.storage.dll                0x7FFB69C30000
HID.DLL                            0x7FFB6A3D0000
dxgi.dll                           0x7FFB6A410000
schannel.DLL                       0x7FFB6AA60000
rsaenh.dll                         0x7FFB6AB50000
ntmarta.dll                        0x7FFB6AC70000
IpHlpAPI.dll                       0x7FFB6AF10000
DNSAPI.dll                         0x7FFB6AF50000
netutils.dll                       0x7FFB6B070000
MSWSOCK.dll                        0x7FFB6B280000
CRYPTSP.dll                        0x7FFB6B470000
CRYPTBASE.DLL                      0x7FFB6B490000
Wldp.dll                           0x7FFB6B520000
UMPDC.dll                          0x7FFB6B550000
NTASN1.dll                         0x7FFB6B570000
powrprof.dll                       0x7FFB6B5B0000
ncrypt.dll                         0x7FFB6B600000
MSASN1.dll                         0x7FFB6B720000
DEVOBJ.dll                         0x7FFB6B8F0000
DPAPI.DLL                          0x7FFB6B950000
SSPICLI.DLL                        0x7FFB6BA10000
profapi.dll                        0x7FFB6BA90000
KERNELBASE.dll                     0x7FFB6BB60000
msvcp_win.dll                      0x7FFB6BE60000
win32u.dll                         0x7FFB6BF00000
bcrypt.dll                         0x7FFB6BF30000
gdi32full.dll                      0x7FFB6BF60000
cfgmgr32.dll                       0x7FFB6C080000
bcryptPrimitives.dll               0x7FFB6C0D0000
