XINPUT1_3.dll              0x000000400000
X3DAudio1_7.dll            0x000059EA0000
steam_api64.dll            0x000059EB0000
mdnsNSP.dll                0x00005A0A0000
gpapi.dll                  0x01B383FC0000
Fallout4.exe               0x7FF7E8320000
OWClient.dll               0x7FF8A4A50000
OWExplorer.dll             0x7FF8A7A70000
DSOUND.DLL                 0x7FF8CD7E0000
D3DCompiler_43.dll         0x7FF8F4670000
DiscordHook64.dll          0x7FF9006F0000
steamclient64.dll          0x7FF9019D0000
D3DX9_43.dll               0x7FF905FA0000
XAudio2_7.dll              0x7FF906210000
gameoverlayrenderer64.dll  0x7FF906AE0000
Buffout4.dll               0x7FF90A170000
mcm.dll                    0x7FF90AA10000
tier0_s64.dll              0x7FF90AAB0000
f4se_1_10_163.dll          0x7FF90ACE0000
flexRelease_x64.dll        0x7FF90ADC0000
vstdlib_s64.dll            0x7FF90B380000
cudart64_75.dll            0x7FF90B6B0000
GFSDK_GodraysLib.x64.dll   0x7FF90D890000
d3dx11_43.dll              0x7FF90DB00000
GFSDK_SSAO_D3D11.win64.dll 0x7FF90DC90000
OWUtils.dll                0x7FF90F4A0000
MSVCR110.dll               0x7FF9106E0000
flexExtRelease_x64.dll     0x7FF910850000
MSVCP110.dll               0x7FF9124A0000
winmmbase.dll              0x7FF9159F0000
ncryptsslp.dll             0x7FF9174E0000
bink2w64.dll               0x7FF919F10000
mskeyprotect.dll           0x7FF91AD00000
f4se_steam_loader.dll      0x7FF91BC90000
Secur32.dll                0x7FF9217C0000
MpOav.dll                  0x7FF929670000
amsi.dll                   0x7FF9296F0000
InputHost.dll              0x7FF92B620000
ow-graphics-hook64.dll     0x7FF92B7D0000
nvwgf2umx.dll              0x7FF92BA80000
Windows.UI.dll             0x7FF932C10000
textinputframework.dll     0x7FF932D60000
wbemsvc.dll                0x7FF933390000
fastprox.dll               0x7FF933650000
rasadhlp.dll               0x7FF933C80000
fwpuclnt.dll               0x7FF934800000
wbemcomn.dll               0x7FF934B50000
WINMM.dll                  0x7FF934DA0000
MessageBus.dll             0x7FF9364D0000
webio.dll                  0x7FF939200000
dbghelp.dll                0x7FF93ABD0000
nvapi64.dll                0x7FF93AEA0000
nvldumdx.dll               0x7FF93B950000
dxcore.dll                 0x7FF93BD50000
wbemprox.dll               0x7FF93C8E0000
drvstore.dll               0x7FF93D620000
cryptnet.dll               0x7FF93D820000
VERSION.dll                0x7FF93D860000
WINHTTP.dll                0x7FF93DC10000
MMDevApi.dll               0x7FF93E110000
twinapi.appcore.dll        0x7FF93E1A0000
AUDIOSES.DLL               0x7FF93E3B0000
dhcpcsvc6.DLL              0x7FF93E5D0000
WindowManagementAPI.dll    0x7FF93E610000
dhcpcsvc.DLL               0x7FF93E750000
WINNSI.DLL                 0x7FF93E7E0000
avrt.dll                   0x7FF93ECA0000
nvToolsExt64_1.dll         0x7FF9401A0000
PROPSYS.dll                0x7FF940280000
d3d11.dll                  0x7FF940400000
D3DCompiler_47.dll         0x7FF940670000
wintypes.dll               0x7FF9411E0000
CoreUIComponents.dll       0x7FF9418E0000
CoreMessaging.dll          0x7FF941C40000
uxtheme.dll                0x7FF942120000
resourcepolicyclient.dll   0x7FF9421E0000
dwmapi.dll                 0x7FF942410000
kernel.appcore.dll         0x7FF9425F0000
windows.storage.dll        0x7FF9427F0000
HID.DLL                    0x7FF942F90000
dxgi.dll                   0x7FF942FD0000
schannel.DLL               0x7FF943680000
rsaenh.dll                 0x7FF943770000
ntmarta.dll                0x7FF9438B0000
UMPDC.dll                  0x7FF943B30000
IPHLPAPI.DLL               0x7FF943B50000
DNSAPI.dll                 0x7FF943B90000
powrprof.dll               0x7FF943C70000
MSWSOCK.dll                0x7FF943EB0000
CRYPTSP.dll                0x7FF9440A0000
CRYPTBASE.DLL              0x7FF9440C0000
Wldp.dll                   0x7FF944150000
NTASN1.dll                 0x7FF944180000
ncrypt.dll                 0x7FF9441C0000
msasn1.dll                 0x7FF9442E0000
devobj.dll                 0x7FF9444B0000
DPAPI.DLL                  0x7FF944510000
USERENV.dll                0x7FF9445D0000
SSPICLI.DLL                0x7FF944600000
profapi.dll                0x7FF944650000
ucrtbase.dll               0x7FF944720000
bcrypt.dll                 0x7FF944820000
gdi32full.dll              0x7FF944850000
win32u.dll                 0x7FF944970000
KERNELBASE.dll             0x7FF9449A0000
CRYPT32.dll                0x7FF944D50000
bcryptPrimitives.dll       0x7FF944EB0000
wintrust.dll               0x7FF944F40000
msvcp_win.dll              0x7FF944FB0000
cfgmgr32.dll               0x7FF945050000
sechost.dll                0x7FF945180000
imagehlp.dll               0x7FF945220000
shlwapi.dll                0x7FF9452A0000
combase.dll                0x7FF945300000
NSI.dll                    0x7FF945660000
SHCORE.dll                 0x7FF945670000
PSAPI.DLL                  0x7FF945720000
RPCRT4.dll                 0x7FF945730000
USER32.dll                 0x7FF945860000
clbcatq.dll                0x7FF945A60000
ole32.dll                  0x7FF945B90000
KERNEL32.DLL               0x7FF945CC0000
OLEAUT32.dll               0x7FF945D80000
SHELL32.dll                0x7FF945E60000
ADVAPI32.dll               0x7FF9465B0000
GDI32.dll                  0x7FF946670000
SETUPAPI.dll               0x7FF9466A0000
msvcrt.dll                 0x7FF946B10000
IMM32.DLL                  0x7FF946C10000
WS2_32.dll                 0x7FF946C40000
MSCTF.dll                  0x7FF946D40000
ntdll.dll                  0x7FF947050000
