[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     WorkshopFramework.esm
[09]     HUDFramework.esm
[0A]     XDI.esm
[0B]     Games.esm
[0C]     BarstoolGames.esm
[0D]     TacticalReload.esm
[0E]     VotWMaster.esm
[0F]     Homemaker.esm
[10]     CWSS Redux.esp
[11]     Snap'n Build.esm
[12]     SS2.esm
[13]     SS2_XPAC_Chapter2.esm
[14]     SS2_XPAC_Chapter3.esm
[15]     DCGuard_Overhaul.esp
[16]     TrueStormsFO4.esm
[17]     SouthOfTheSea.esm
[18]     LooksMenu Customization Compendium.esp
[19]     LooksMenu.esp
[1A]     RAW INPUT.esp
[1B]     Merged Fixes.esp
[1C]     spacefiddle_Follower-Stealth-Distance-Fixes.esp
[1D]     CBBE.esp
[1E]     DLCCoast_WorkshopDialogue_Doctor.esp
[1F]     Immersive HUD.esp
[20]     QuickTrade.esp
[21]     Scopes.esp
[22]     PhotoMode.esp
[23]     Eli_Armour_Compendium.esp
[24]     K9TacticalHarness.esp
[25]     WestTek.esp
[26]     WestTekTacticalOptics.esp
[27]     AVBPipeGunsReplace.esp
[28]     AVDelivererReplace.esp
[29]     W.A.T.Minutemen.esp
[2A]     MilitarizedMinutemen.esp
[2B]     MilitarisedMinutemen_PatchesAddon.esp
[2C]     BLUE WATM-MilM Patch.esp
[2D]     AVBMusket.esp
[2E]     BarstoolGames_FH.esp
[2F]     BarstoolGames_NW.esp
[30]     EveryonesBestFriend.esp
[31]     3dscopes-replacer.esp
[32]     Better Cooking Stations.esp
[33]     SKKFastStartNewGame.esp
[34]     CheatTerminal.esp
[35]     EasyHacking.esp
[36]     SkipHSH1_6.esp
[37]     TacticalReloadVanilla.esp
[38]     TacticalReloadDLC.esp
[39]     LeverActionBCR.esp
[3A]     ImmersiveCovenantCompound.esp
[3B]     SkipDiMAMemories.esp
[3C]     ImmersiveVendors.esp
[3D]     NewFace_Settlers.esp
[3E]     llamaCompanionHeatherv2.esp
[3F]     SettlementMenuManager.esp
[40]     WorkshopRearranged.esp
[41]     BetterJunkFences.esp
[42]     IMG_Castle_Wall_Patches.esp
[43]     TransferSettlements.esp
[44]     SalvageBeacons.esp
[45]     SR_Settlement_Signs.esp
[46]     DCGuard_Overhaul-Workshop.esp
[47]     WorkShopObjectPowerManagement.esp
[48]     This is MY Bed (Extended).esp
[49]     3DNPC_FO4Settler.esp
[4A]     Homemaker - Streetlights Use Passive Power.esp
[4B]     Homemaker - Unlocked Institute Objects.esp
[4C]     AkaWaterWorld.esp
[4D]     SSEX.esp
[4E]     SettleObjExpandPack.esp
[4F]     SettleObjExpandPack-AllLightShadowEnabler.esp
[50]     BostonLibrarySettlement.esp
[51]     Universal Working Bathroom Fixtures (CWSS and DLCs).esp
[52]     creativeclutter.esp
[53]     dinoshelf.esp
[54]     evan_modular kitchen.esp
[55]     Lore Friendly Posters.esp
[56]     ButcherMeatRack.esp
[57]     CleanSnB.esp
[58]     SS2Extended.esp
[59]     SS2_XDI Patch.esp
[5A]     SimSettlements2_AddOnPack_ApocalypticAdditions_SirLach.esp
[5B]     Cho1_ss2_Barmod_Conversion.esp
[5C]     SS2HappyTrails.esp
[5D]     SS2_STRA_Buildings_and_Skins.esp
[5E]     SS2-Jampads2.esp
[5F]     JunkTownTwo.esp
[60]     JunkTown-FENCES2.esp
[61]     JunkTown2 - EXTREME.esp
[62]     LD50_Leaders.esp
[63]     MS SS2 Unlock Vanilla Recruitable Vendors.esp
[64]     SS2_MsB_PlainPlans.esp
[65]     ohSIM_Sim2_Settlements_Scrappers_Addon.esp
[66]     SS2-PraRandomAddon.esp
[67]     SS2_Addon_R2R.esp
[68]     SS2_ruined_simsettlement_addonpack.esp
[69]     GtN_SettlersatPlay.esp
[6A]     SimHomestead2.esp
[6B]     SS2_SIMPDDDD.esp
[6C]     [SS20Addon] SimSettlements SuperStructures.esp
[6D]     SS2_STRA_Support_Buildings.esp
[6E]     InstituteSettlements2.esp
[6F]     SS2_FDK_TinyLiving.esp
[70]     SS2WastelandReconstructionKit.esp
[71]     SS2WastelandVenturers.esp
[72]     WorkshopPlus.esp
[73]     SS2_Addon_FHE.esp
[74]     SS2_Addon_NWE.esp
[75]     SS2_Addon_Favelabulous.esp
[76]     RecruitableSettlers.esp
[77]     RecruitableSettlersFH.esp
[78]     RecruitableSettlersLeaders2.esp
[79]     SS2_Addon_3DNPC_SotC.esp
[7A]     SS2_WastelandDefense.esp
[7B]     SS2CaravanSnatex.esp
[7C]     SS2_CityPlanPack_RiseOfTheCommonwealth.esp
[7D]     CSM SS2 Pack.esp
[7E]     [SS2] BBVault 88.esp
[7F]     SS2_Addon_PSC_Plots.esp
[80]     ErikaEmberPets.esp
[81]     3DNPC_FO4.esp
[82]     Vault4.esp
[83]     CSEPLoadedBases.esp
[84]     NukaWorldReborn.esp
[85]     VivaNukaWorldQuests.esp
[86]     Flashy_CrimeAndPunishment_GunForHire_Addon.esp
[87]     PD_LowerWeapon.esp
[88]     Swinging Meat Bags.esp
[89]     AnimatedCandles.esp
[8A]     Dilapidated Roads - Charcoal.esp
[8B]     Ketaros_World.esp
[8C]     WoodReduxHD-BFTDTC-Patch.esp
[8D]     WoodReduxHD.esp
[8E]     Another Sanctuary Bridge V1.2.esp
[8F]     PowerArmorImpactEffects.esp
[90]     dD-Enhanced Blood Basic.esp
[91]     Reverb and Ambiance Overhaul.esp
[92]     Quieter Settlements - Contraptions.esp
