XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000069AC0000
steam_api64.dll               0x000069AD0000
d3d11.dll                     0x000180000000
Fallout4.exe                  0x7FF7C8B30000
enbhelperf4.dll               0x7FF801650000
bink2w64.dll                  0x7FF806290000
GFSDK_GodraysLib.x64.dll      0x7FF806380000
flexExtRelease_x64.dll        0x7FF806430000
ncryptsslp.dll                0x7FF807E50000
f4se_steam_loader.dll         0x7FF80D3D0000
webio.dll                     0x7FF817770000
ResampleDmo.DLL               0x7FF81DFD0000
msdmo.dll                     0x7FF81EDF0000
DSOUND.DLL                    0x7FF81EE00000
Windows.UI.dll                0x7FF821990000
MpOav.dll                     0x7FF821BF0000
amsi.dll                      0x7FF821F20000
nvwgf2umx.dll                 0x7FF8236B0000
nvapi64.dll                   0x7FF828DC0000
winmmbase.dll                 0x7FF829DA0000
VCRUNTIME140_1.dll            0x7FF829FC0000
MSVCP140.dll                  0x7FF829FD0000
VCRUNTIME140.dll              0x7FF82A060000
OneCoreCommonProxyStub.dll    0x7FF82B6E0000
rasadhlp.dll                  0x7FF82C300000
textinputframework.dll        0x7FF82C5B0000
nvgpucomp64.dll               0x7FF82C7A0000
WINMM.dll                     0x7FF82EA20000
fastprox.dll                  0x7FF82FAC0000
wbemsvc.dll                   0x7FF82FC10000
MMDevApi.dll                  0x7FF82FE50000
AUDIOSES.DLL                  0x7FF830FD0000
COMCTL32.dll                  0x7FF831720000
MessageBus.dll                0x7FF831E60000
wbemcomn.dll                  0x7FF832990000
wbemprox.dll                  0x7FF832A10000
nvldumdx.dll                  0x7FF832A20000
OneCoreUAPCommonProxyStub.dll 0x7FF832EB0000
dbghelp.dll                   0x7FF833590000
drvstore.dll                  0x7FF8343A0000
cryptnet.dll                  0x7FF8345D0000
VERSION.dll                   0x7FF834690000
WeaponDebrisCrashFix.dll      0x7FF835330000
fwpuclnt.dll                  0x7FF835D40000
CoreUIComponents.dll          0x7FF835E70000
avrt.dll                      0x7FF836580000
directxdatabasehelper.dll     0x7FF836800000
dhcpcsvc.DLL                  0x7FF836850000
dhcpcsvc6.DLL                 0x7FF836A10000
WINHTTP.dll                   0x7FF836A30000
WindowsCodecs.dll             0x7FF837B60000
SprintStutteringFix.dll       0x7FF837D20000
nvToolsExt64_1.dll            0x7FF838020000
d3d11.dll                     0x7FF838740000
dcomp.dll                     0x7FF8389A0000
CoreMessaging.dll             0x7FF839010000
uxtheme.dll                   0x7FF839580000
WINNSI.DLL                    0x7FF839630000
dxcore.dll                    0x7FF8396D0000
dxgi.dll                      0x7FF839710000
dwmapi.dll                    0x7FF839910000
resourcepolicyclient.dll      0x7FF839A80000
wintypes.dll                  0x7FF839E70000
windows.storage.dll           0x7FF839FB0000
HID.DLL                       0x7FF83A8B0000
IPHLPAPI.DLL                  0x7FF83AB50000
DNSAPI.dll                    0x7FF83AB80000
Secur32.dll                   0x7FF83AE70000
schannel.DLL                  0x7FF83AEF0000
rsaenh.dll                    0x7FF83B000000
kernel.appcore.dll            0x7FF83B0A0000
ntmarta.dll                   0x7FF83B0C0000
SSPICLI.DLL                   0x7FF83B380000
MSWSOCK.dll                   0x7FF83B590000
USERENV.dll                   0x7FF83B6A0000
UMPDC.dll                     0x7FF83B810000
CRYPTSP.dll                   0x7FF83B830000
CRYPTBASE.DLL                 0x7FF83B870000
powrprof.dll                  0x7FF83B8B0000
wldp.dll                      0x7FF83B950000
NTASN1.dll                    0x7FF83BA00000
ncrypt.dll                    0x7FF83BA40000
msasn1.dll                    0x7FF83BD50000
devobj.dll                    0x7FF83BD70000
CFGMGR32.dll                  0x7FF83BDA0000
DPAPI.DLL                     0x7FF83BE10000
profapi.dll                   0x7FF83BFE0000
bcryptPrimitives.dll          0x7FF83C0B0000
bcrypt.dll                    0x7FF83C130000
win32u.dll                    0x7FF83C160000
KERNELBASE.dll                0x7FF83C190000
gdi32full.dll                 0x7FF83C540000
msvcp_win.dll                 0x7FF83C660000
CRYPT32.dll                   0x7FF83C700000
ucrtbase.dll                  0x7FF83C930000
wintrust.dll                  0x7FF83CA50000
MSCTF.dll                     0x7FF83CB50000
SETUPAPI.dll                  0x7FF83CCA0000
GDI32.dll                     0x7FF83D310000
ole32.dll                     0x7FF83D340000
SHELL32.dll                   0x7FF83D4E0000
KERNEL32.DLL                  0x7FF83DDC0000
NSI.dll                       0x7FF83DE90000
msvcrt.dll                    0x7FF83DEA0000
RPCRT4.dll                    0x7FF83DF50000
shlwapi.dll                   0x7FF83E070000
imagehlp.dll                  0x7FF83E0D0000
COMDLG32.dll                  0x7FF83E0F0000
USER32.dll                    0x7FF83E2C0000
combase.dll                   0x7FF83E4C0000
sechost.dll                   0x7FF83E860000
SHCORE.dll                    0x7FF83E910000
WS2_32.dll                    0x7FF83EA10000
PSAPI.DLL                     0x7FF83EA90000
IMM32.DLL                     0x7FF83EAA0000
OLEAUT32.dll                  0x7FF83EAE0000
ADVAPI32.dll                  0x7FF83EBC0000
clbcatq.dll                   0x7FF83EC80000
ntdll.dll                     0x7FF83ED70000
steamclient64.dll             0x7FFF97590000
nvspcap64.dll                 0x7FFFA6570000
d3dcompiler_46e.dll           0x7FFFA8A80000
Buffout4.dll                  0x7FFFAD9A0000
gameoverlayrenderer64.dll     0x7FFFAE8C0000
D3DCOMPILER_43.dll            0x7FFFAEA50000
PhysXDevice64.dll             0x7FFFAEEF0000
XAudio2_7.dll                 0x7FFFAF7F0000
wsfw_identifier.dll           0x7FFFAFAF0000
UneducatedShooter.dll         0x7FFFBC690000
SimpleImpact.dll              0x7FFFBDE70000
PRKF.dll                      0x7FFFBE260000
PowerGridTools.dll            0x7FFFBE2F0000
mcm.dll                       0x7FFFBE440000
HighFPSPhysicsFix.dll         0x7FFFBE5E0000
