XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000072890000
ActorVelocityFramework.dll         0x01EF6EBB0000
Fallout4.exe                       0x7FF6ACE00000
nvwgf2umx.dll                      0x7FF9CBB20000
nvgpucomp64.dll                    0x7FF9D0F40000
MessageBus.dll                     0x7FF9D3480000
nvapi64.dll                        0x7FF9D3BC0000
d3dcompiler_47_64.dll              0x7FF9DA6F0000
XAudio2_7.dll                      0x7FF9DAE40000
NvCamera64.dll                     0x7FF9DB310000
wsfw_identifier.dll                0x7FF9DBCA0000
UneducatedShooter.dll              0x7FF9DBDA0000
RobCo_Patcher.dll                  0x7FF9DBE20000
po3_SpellPerkItemDistributorF4.dll 0x7FF9DBF10000
NVIDIA_Reflex.dll                  0x7FF9DC020000
modify_frequency.dll               0x7FF9DC0F0000
PRKF.dll                           0x7FF9DD000000
XDI.dll                            0x7FF9DD1C0000
PowerGridTools.dll                 0x7FF9DD3D0000
GardenOfEdenPapyrusExtender.dll    0x7FF9DD440000
Buffout4.dll                       0x7FF9DD5F0000
IPHLPAPI.DLL                       0x7FF9DD950000
mcm.dll                            0x7FF9DE690000
DINPUT8.dll                        0x7FF9DEC80000
HighFPSPhysicsFix.dll              0x7FF9DECD0000
f4ee.dll                           0x7FF9DED60000
BakaScrapHeap.dll                  0x7FF9DEE70000
f4se_1_10_163.dll                  0x7FF9DF010000
ClassicHolsteredWeapons.dll        0x7FF9EEA10000
DirectHit.dll                      0x7FF9EEBC0000
flexRelease_x64.dll                0x7FF9EEC20000
BulletCountedReload.dll            0x7FF9EFC40000
Deadeye.dll                        0x7FFA08B60000
nvspcap64.dll                      0x7FFA08E70000
cudart64_75.dll                    0x7FFA099B0000
GFSDK_GodraysLib.x64.dll           0x7FFA09E90000
MSVCR110.dll                       0x7FFA09EF0000
GFSDK_SSAO_D3D11.win64.dll         0x7FFA0AC60000
MSVCP110.dll                       0x7FFA0ACF0000
UnlimitedSurvivalMode.dll          0x7FFA0B410000
bink2w64.dll                       0x7FFA0B460000
flexExtRelease_x64.dll             0x7FFA0BE60000
GLXRM_SprintOverhaul.dll           0x7FFA0D540000
steam_api64.dll                    0x7FFA0D590000
GLXRM_ScalingFlagRemover.dll       0x7FFA0F480000
crafting_highlight_fix.dll         0x7FFA117A0000
Bastion.dll                        0x7FFA11B80000
ArmorPenetrationBugFix.dll         0x7FFA13200000
usvfs_x64.dll                      0x7FFA17B70000
DSOUND.DLL                         0x7FFA192A0000
SprintStutteringFix.dll            0x7FFA21210000
OneCoreCommonProxyStub.dll         0x7FFA21A60000
VCRUNTIME140_1.dll                 0x7FFA23960000
VCRUNTIME140.dll                   0x7FFA23970000
MSVCP140.dll                       0x7FFA23990000
MessageBus.dll                     0x7FFA23B60000
mskeyprotect.dll                   0x7FFA2F7B0000
WINSPOOL.DRV                       0x7FFA2F880000
fastprox.dll                       0x7FFA2FDF0000
libdiskCacheEnabler.dll            0x7FFA30370000
wbemsvc.dll                        0x7FFA309C0000
wbemcomn.dll                       0x7FFA30C20000
MpOav.dll                          0x7FFA30D60000
amsi.dll                           0x7FFA30DE0000
inputhost.dll                      0x7FFA31DD0000
textinputframework.dll             0x7FFA31F30000
Windows.UI.dll                     0x7FFA32030000
webio.dll                          0x7FFA32720000
nvldumdx.dll                       0x7FFA335E0000
COMCTL32.dll                       0x7FFA33A60000
ncryptsslp.dll                     0x7FFA33FB0000
encounter_zone_recalculation.dll   0x7FFA34120000
fwpuclnt.dll                       0x7FFA34450000
rasadhlp.dll                       0x7FFA34A50000
WINMM.dll                          0x7FFA34AF0000
wbemprox.dll                       0x7FFA353A0000
f4se_steam_loader.dll              0x7FFA35AE0000
dhcpcsvc.DLL                       0x7FFA36210000
dhcpcsvc6.DLL                      0x7FFA36290000
drvstore.dll                       0x7FFA363B0000
cryptnet.dll                       0x7FFA36500000
VERSION.dll                        0x7FFA36540000
WINHTTP.dll                        0x7FFA36550000
WINNSI.DLL                         0x7FFA366D0000
winmmbase.dll                      0x7FFA36800000
dxcore.dll                         0x7FFA36C40000
MMDevApi.dll                       0x7FFA36D40000
AUDIOSES.DLL                       0x7FFA36DD0000
OneCoreUAPCommonProxyStub.dll      0x7FFA36F60000
XINPUT9_1_0.dll                    0x7FFA377B0000
WindowsCodecs.dll                  0x7FFA38300000
twinapi.appcore.dll                0x7FFA384C0000
WindowManagementAPI.dll            0x7FFA386C0000
avrt.dll                           0x7FFA38AE0000
nvToolsExt64_1.dll                 0x7FFA38C70000
PROPSYS.dll                        0x7FFA38D70000
wintypes.dll                       0x7FFA38EF0000
d3d11.dll                          0x7FFA394B0000
dcomp.dll                          0x7FFA39E30000
CoreUIComponents.dll               0x7FFA3A020000
CoreMessaging.dll                  0x7FFA3A8E0000
MSIMG32.dll                        0x7FFA3A9E0000
apphelp.dll                        0x7FFA3AA20000
UxTheme.dll                        0x7FFA3ABD0000
resourcepolicyclient.dll           0x7FFA3ACD0000
dwmapi.dll                         0x7FFA3ADD0000
windows.storage.dll                0x7FFA3B2A0000
DbgHelp.dll                        0x7FFA3BB00000
HID.DLL                            0x7FFA3BE80000
dxgi.dll                           0x7FFA3BEC0000
kernel.appcore.dll                 0x7FFA3C110000
schannel.DLL                       0x7FFA3C5D0000
rsaenh.dll                         0x7FFA3C6B0000
ntmarta.dll                        0x7FFA3C7F0000
UMPDC.dll                          0x7FFA3CA80000
IpHlpAPI.dll                       0x7FFA3CAA0000
DNSAPI.dll                         0x7FFA3CAF0000
POWRPROF.dll                       0x7FFA3CC10000
mswsock.dll                        0x7FFA3CE00000
CRYPTSP.dll                        0x7FFA3CFF0000
CRYPTBASE.DLL                      0x7FFA3D010000
Wldp.dll                           0x7FFA3D0A0000
NTASN1.dll                         0x7FFA3D0D0000
ncrypt.dll                         0x7FFA3D110000
msasn1.dll                         0x7FFA3D230000
devobj.dll                         0x7FFA3D250000
DPAPI.DLL                          0x7FFA3D280000
USERENV.dll                        0x7FFA3D500000
SspiCli.dll                        0x7FFA3D530000
profapi.dll                        0x7FFA3D580000
wintrust.dll                       0x7FFA3D640000
bcrypt.dll                         0x7FFA3D6B0000
cfgmgr32.dll                       0x7FFA3D790000
ucrtbase.dll                       0x7FFA3D7E0000
gdi32full.dll                      0x7FFA3D8E0000
CRYPT32.dll                        0x7FFA3D9F0000
bcryptPrimitives.dll               0x7FFA3DB50000
KERNELBASE.dll                     0x7FFA3DBE0000
msvcp_win.dll                      0x7FFA3DEC0000
win32u.dll                         0x7FFA3DF60000
shcore.dll                         0x7FFA3DF90000
ole32.dll                          0x7FFA3E040000
clbcatq.dll                        0x7FFA3E1F0000
SHLWAPI.dll                        0x7FFA3E300000
imagehlp.dll                       0x7FFA3E360000
USER32.dll                         0x7FFA3E3E0000
sechost.dll                        0x7FFA3E590000
SHELL32.dll                        0x7FFA3E720000
OLEAUT32.dll                       0x7FFA3EE70000
ADVAPI32.dll                       0x7FFA3EF40000
COMDLG32.dll                       0x7FFA3EFF0000
PSAPI.DLL                          0x7FFA3F0D0000
WS2_32.dll                         0x7FFA3F0E0000
SETUPAPI.dll                       0x7FFA3F150000
IMM32.DLL                          0x7FFA3F5C0000
combase.dll                        0x7FFA3F600000
MSCTF.dll                          0x7FFA3FB20000
RPCRT4.dll                         0x7FFA3FC40000
msvcrt.dll                         0x7FFA3FD70000
NSI.dll                            0x7FFA3FE10000
KERNEL32.DLL                       0x7FFA3FE20000
GDI32.dll                          0x7FFA3FEE0000
ntdll.dll                          0x7FFA3FF50000
