XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000050E00000
steam_api64.dll                    0x000050E10000
d3d11.dll                          0x000180000000
RTSSHooks64.dll                    0x025E4BE30000
wintrust.dll                       0x025E71B40000
Fallout4.exe                       0x7FF6FD2A0000
nvcuda64.dll                       0x7FFBD2A70000
d3dcompiler_47_64.dll              0x7FFBD4A00000
NvCamera64.dll                     0x7FFBD4E10000
d3dcompiler_42.dll                 0x7FFBD5F80000
XAudio2_7.dll                      0x7FFBD6E90000
steamclient64.dll                  0x7FFBD6F20000
d3dx11_42.dll                      0x7FFBD9D90000
d3dcompiler_46e.dll                0x7FFBDA2E0000
DINPUT8.dll                        0x7FFBDB3D0000
gameoverlayrenderer64.dll          0x7FFBDBA60000
XDI.dll                            0x7FFBDBBF0000
wsfw_identifier.dll                0x7FFBDBC60000
WeightlessItems.dll                0x7FFBDBD60000
UneducatedShooter.dll              0x7FFBDBDB0000
ShadowBoostFO4.dll                 0x7FFBDBE30000
SeamlessInspect.dll                0x7FFBDBF00000
ScreenArcherMenu.dll               0x7FFBDC990000
SAF.dll                            0x7FFBDCCB0000
PRKF.dll                           0x7FFBDCDA0000
NAF.dll                            0x7FFBDCE30000
PowerGridTools.dll                 0x7FFBDD7B0000
po3_SimpleOffenceSuppressionF4.dll 0x7FFBDD8D0000
place.dll                          0x7FFBDD960000
mcm.dll                            0x7FFBDD9E0000
Outfit-ReDress-Fix.dll             0x7FFBDDBB0000
MODExplorer.dll                    0x7FFBDE150000
LighthousePapyrusExtender.dll      0x7FFBDEC00000
KnockoutFramework.dll              0x7FFBDED30000
HHS.dll                            0x7FFBDED90000
CONCRT140.dll                      0x7FFBDF360000
Interior-NavCut-Fix.dll            0x7FFBDF3B0000
GLXRM_FireRateShowsRPM.dll         0x7FFBDF400000
GardenOfEdenPapyrusExtender.dll    0x7FFBDF450000
faster_workshop.dll                0x7FFBDF610000
f4pm.dll                           0x7FFBDF670000
f4ee.dll                           0x7FFBDF6E0000
EscapeFreeze.dll                   0x7FFBDF7F0000
