XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000064D00000
steam_api64.dll               0x000064D10000
d3d11.dll                     0x000180000000
LL_fourPlay_1_10_163.dll      0x021A55B90000
MSCTF.dll                     0x021A7F350000
Fallout4.exe                  0x7FF6F5C60000
XAudio2_7.dll                 0x7FF8A4850000
nvcuda64.dll                  0x7FF8A5480000
d3dcompiler_47_64.dll         0x7FF8A5E30000
NvCamera64.dll                0x7FF8A6520000
d3dcompiler_46e.dll           0x7FF8A7770000
gameoverlayrenderer64.dll     0x7FF8A7B30000
RobCo_Patcher.dll             0x7FF8A7CC0000
Buffout4.dll                  0x7FF8A7DB0000
steamclient64.dll             0x7FF8A8110000
XDI.dll                       0x7FF8DA340000
DINPUT8.dll                   0x7FF8DA730000
SprintSpeedController.dll     0x7FF8DA780000
ReloadFix.dll                 0x7FF8DA7D0000
PrivateProfileRedirector.dll  0x7FF8DA820000
Outfit-ReDress-Fix.dll        0x7FF8DA880000
NVIDIA_Reflex.dll             0x7FF8DBF00000
tier0_s64.dll                 0x7FF8DBFD0000
f4ee.dll                      0x7FF8DC4D0000
AchievementsModsEnabler.dll   0x7FF8DC6E0000
mcm.dll                       0x7FF8DC720000
EscapeFreeze.dll              0x7FF8DCA20000
MGEFConditionFix.dll          0x7FF8DD560000
BakaScrapHeap.dll             0x7FF8DD7A0000
LongLoadingTimesFix.dll       0x7FF8DD8D0000
HighFPSPhysicsFix.dll         0x7FF8DE760000
CCD.dll                       0x7FF8E0340000
f4se_1_10_163.dll             0x7FF8E1020000
PriorityMod.dll               0x7FF8E14B0000
CONCRT140.dll                 0x7FF8E14E0000
vstdlib_s64.dll               0x7FF8E1530000
Interior-NavCut-Fix.dll       0x7FF8E17A0000
GLXRM_FriendlyFire.dll        0x7FF8E1F90000
ResampleDmo.DLL               0x7FF8E1FE0000
DSOUND.DLL                    0x7FF8E20A0000
GCBugFix.dll                  0x7FF8E3C70000
CCExtenderF4.dll              0x7FF8E5500000
ESPExplorer.dll               0x7FF8E6860000
BulletCountedReload.dll       0x7FF8E7A50000
cc_cleaner.dll                0x7FF8E86A0000
nvspcap64.dll                 0x7FF8F4830000
msdmo.dll                     0x7FF91B880000
atcuf64.dll                   0x7FF91BD90000
bdhkm64.dll                   0x7FF91C450000
BetterConsole.dll             0x7FF91F3E0000
ArmorPenetrationBugFix.dll    0x7FF9207B0000
achievements.dll              0x7FF928F40000
d3dx11_43.dll                 0x7FF92D350000
D3DCOMPILER_43.dll            0x7FF92D3A0000
cudart64_75.dll               0x7FF92D610000
GFSDK_GodraysLib.x64.dll      0x7FF92D670000
GFSDK_SSAO_D3D11.win64.dll    0x7FF92D6D0000
flexExtRelease_x64.dll        0x7FF92D760000
flexRelease_x64.dll           0x7FF92D7C0000
MSVCR110.dll                  0x7FF92D910000
MSVCP110.dll                  0x7FF92D9F0000
bink2w64.dll                  0x7FF92DAA0000
f4se_steam_loader.dll         0x7FF92F340000
X3DAudio1_7.dll               0x7FF92FD00000
WeaponDebrisCrashFix.dll      0x7FF92FD90000
SprintStutteringFix.dll       0x7FF931410000
libdiskCacheEnabler.dll       0x7FF9322D0000
dbgcore.DLL                   0x7FF9379C0000
MSVCP140_ATOMIC_WAIT.dll      0x7FF938AF0000
VCRUNTIME140.dll              0x7FF93FE60000
MSVCP140.dll                  0x7FF93FE80000
MessageBus.dll                0x7FF940070000
VCRUNTIME140_1.dll            0x7FF941D60000
winmmbase.dll                 0x7FF942130000
OneCoreCommonProxyStub.dll    0x7FF942160000
Windows.UI.dll                0x7FF945A90000
XINPUT9_1_0.dll               0x7FF9470D0000
inputhost.dll                 0x7FF9474F0000
textinputframework.dll        0x7FF947EB0000
AUDIOSES.DLL                  0x7FF948140000
nvwgf2umx.dll                 0x7FF949F10000
MMDevApi.dll                  0x7FF94F330000
MessageBus.dll                0x7FF952A70000
nvapi64.dll                   0x7FF953B80000
nvgpucomp64.dll               0x7FF9545A0000
dbghelp.dll                   0x7FF958630000
nvldumdx.dll                  0x7FF95A120000
drvstore.dll                  0x7FF95A3A0000
OneCoreUAPCommonProxyStub.dll 0x7FF95B7E0000
cryptnet.dll                  0x7FF95D200000
CoreUIComponents.dll          0x7FF95E070000
VERSION.dll                   0x7FF95E700000
avrt.dll                      0x7FF95E730000
WINMM.dll                     0x7FF95E910000
directxdatabasehelper.dll     0x7FF95E950000
dhcpcsvc.DLL                  0x7FF95EFD0000
WINHTTP.dll                   0x7FF95F160000
WindowsCodecs.dll             0x7FF960710000
d3d11.dll                     0x7FF960C90000
dcomp.dll                     0x7FF9614E0000
CoreMessaging.dll             0x7FF961CC0000
nvToolsExt64_1.dll            0x7FF962400000
apphelp.dll                   0x7FF962770000
uxtheme.dll                   0x7FF9628B0000
dxgi.dll                      0x7FF9629E0000
dwmapi.dll                    0x7FF962AF0000
dxcore.dll                    0x7FF962B60000
resourcepolicyclient.dll      0x7FF962EE0000
wintypes.dll                  0x7FF9632D0000
windows.storage.dll           0x7FF963410000
HID.DLL                       0x7FF963D10000
IPHLPAPI.DLL                  0x7FF963FE0000
UMPDC.dll                     0x7FF964310000
POWRPROF.dll                  0x7FF964330000
Secur32.dll                   0x7FF9643A0000
rsaenh.dll                    0x7FF964530000
kernel.appcore.dll            0x7FF9645D0000
ntmarta.dll                   0x7FF9645F0000
SSPICLI.DLL                   0x7FF964830000
MSWSOCK.dll                   0x7FF964A50000
CRYPTBASE.DLL                 0x7FF964CA0000
CRYPTSP.dll                   0x7FF964CB0000
wldp.dll                      0x7FF964D50000
msasn1.dll                    0x7FF965150000
devobj.dll                    0x7FF965170000
CFGMGR32.dll                  0x7FF9651A0000
profapi.dll                   0x7FF9653E0000
ucrtbase.dll                  0x7FF9654B0000
bcryptPrimitives.dll          0x7FF9655D0000
msvcp_win.dll                 0x7FF965650000
KERNELBASE.dll                0x7FF9656F0000
win32u.dll                    0x7FF965B60000
bcrypt.dll                    0x7FF965B90000
wintrust.dll                  0x7FF965BC0000
gdi32full.dll                 0x7FF965C30000
CRYPT32.dll                   0x7FF965D50000
OLEAUT32.dll                  0x7FF965EC0000
msvcrt.dll                    0x7FF965FA0000
PSAPI.DLL                     0x7FF966050000
sechost.dll                   0x7FF966060000
IMM32.DLL                     0x7FF966110000
GDI32.dll                     0x7FF9661D0000
SHCORE.dll                    0x7FF966200000
combase.dll                   0x7FF966300000
ole32.dll                     0x7FF966690000
