X3DAudio1_7.dll                    0x000000690000
MSVCP110.dll                       0x0000006A0000
MSVCR110.dll                       0x000000750000
flexRelease_x64.dll                0x000000830000
cudart64_75.dll                    0x000000980000
flexExtRelease_x64.dll             0x0000009E0000
nvToolsExt64_1.dll                 0x000000A40000
GFSDK_SSAO_D3D11.win64.dll         0x000000A50000
d3d11.dll                          0x000000AE0000
D3DCOMPILER_43.dll                 0x000000E80000
d3dx11_43.dll                      0x0000010F0000
GFSDK_GodraysLib.x64.dll           0x000001140000
f4se_steam_loader.dll              0x00000CC10000
usvfs_x64.dll                      0x00000CC50000
f4se_1_10_163.dll                  0x00000D5E0000
achievements.dll                   0x00000D6C0000
BakaFramework.dll                  0x00000D700000
BakaFullscreenPipboy.dll           0x00000F020000
BakaScrapHeap.dll                  0x000010930000
BodyPartsUI.dll                    0x000012230000
Buffout4.dll                       0x000013EB0000
CRYPT32.dll                        0x000014210000
BulletCountedReload.dll            0x000015B10000
ClassicHolsteredWeapons.dll        0x000015BA0000
ClockWidget.dll                    0x000015C50000
CombinedCombatXP.dll               0x000015CA0000
ConsoleUtilF4.dll                  0x000015CD0000
crafting_highlight_fix.dll         0x000017550000
f4pm.dll                           0x0000175A0000
F4z Ro D'oh.dll                    0x000017610000
FakeThroughScope.dll               0x000017680000
FallSouls.dll                      0x000019A10000
HighFPSPhysicsFix.dll              0x000019A70000
LL_fourPlay_1_10_163.dll           0x000019B00000
mcm.dll                            0x000019B50000
place.dll                          0x000019BF0000
po3_SpellPerkItemDistributorF4.dll 0x000019C70000
PriorityMod.dll                    0x00001B5B0000
PRKF.dll                           0x00001B5E0000
ShadowBoostFO4.dll                 0x00001B670000
SimpleCheatMenu.dll                0x00001CF70000
SUP_F4SE.dll                       0x00001CFC0000
UneducatedShooter.dll              0x00001D210000
XDI.dll                            0x00001EAA0000
gameoverlayrenderer64.dll          0x0000222D0000
d3dcompiler_46e.dll                0x000022DF0000
XAudio2_7.dll                      0x0000281E0000
steam_api64.dll                    0x00003B400000
opengl32.dll                       0x00007A800000
kernelbase.dll                     0x00007B000000
kernel32.dll                       0x00007B600000
steamclient64.dll                  0x000138000000
Fallout4.exe                       0x000140000000
ntdll.dll                          0x000170000000
bink2w64.dll                       0x000180000000
rsaenh.dll                         0x0001CCDD0000
Kerberos.dll                       0x0001CE760000
oleaut32.dll                       0x0001D0E20000
ADVAPI32.dll                       0x0001D8C90000
sechost.dll                        0x0001EAF60000
wbemprox.dll                       0x0001ED480000
WINHTTP.dll                        0x0001EFE00000
ole32.dll                          0x00020B860000
mmdevapi.dll                       0x00020F400000
user32.dll                         0x0002169D0000
winspool.drv                       0x000223D50000
msvcrt.dll                         0x000228280000
SHELL32.dll                        0x00023BC00000
dbghelp.dll                        0x00023ECB0000
mpr.dll                            0x000250CD0000
winex11.drv                        0x000251D80000
WindowsCodecs.dll                  0x000252450000
xinput1_4.dll                      0x000259D90000
schannel.dll                       0x00025C0B0000
version.dll                        0x00025DC30000
vcruntime140.dll                   0x0002605D0000
propsys.dll                        0x000263650000
nsi.dll                            0x00026C190000
uxtheme.dll                        0x00026C230000
D3DCOMPILER_47.dll                 0x00027CF30000
WINMM.dll                          0x0002945E0000
dnsapi.dll                         0x000296590000
shlwapi.dll                        0x0002A2380000
VCRUNTIME140_1.dll                 0x0002AC810000
gdi32.dll                          0x0002BB0A0000
shcore.dll                         0x0002BDE30000
win32u.dll                         0x0002C73A0000
ucrtbase.dll                       0x0002C7470000
winevulkan.dll                     0x0002D4AD0000
libvkd3d-1.dll                     0x0002D64D0000
hid.dll                            0x0002E0D50000
libdiskCacheEnabler.dll            0x0002E8190000
XINPUT1_3.dll                      0x0002E99A0000
winepulse.drv                      0x0002EB230000
jsproxy.dll                        0x0002EB680000
dxgi.dll                           0x0002EDF00000
bcrypt.dll                         0x0002EE630000
comctl32.dll                       0x0002FB3C0000
concrt140.dll                      0x0002FBA30000
libvkd3d-shader-1.dll              0x0002FCA80000
gdiplus.dll                        0x00030A8A0000
compstui.dll                       0x000313390000
avrt.dll                           0x00031B140000
MSVCP140.dll                       0x00031BEF0000
combase.dll                        0x00031C5D0000
DSOUND.DLL                         0x000343520000
WININET.dll                        0x000345640000
msacm32.dll                        0x000351A60000
d3d11.dll                          0x000359050000
wined3d.dll                        0x000367600000
rpcrt4.dll                         0x000368420000
setupapi.dll                       0x00036D860000
ws2_32.dll                         0x000370F70000
imm32.dll                          0x000393730000
IPHLPAPI.DLL                       0x0003982D0000
secur32.dll                        0x0003AFEF0000
lsteamclient.dll                   0x710EE9B80000
