XINPUT1_3.dll                    0x000000400000
X3DAudio1_7.dll                  0x000053E90000
steam_api64.dll                  0x000053EA0000
d3d11.dll                        0x000180000000
AA.dll                           0x022E37460000
LiPUI.dll                        0x022E56F20000
LL_fourPlay_1_10_163.dll         0x022E56F80000
Fallout4.exe                     0x7FF7D48C0000
XAudio2_7.dll                    0x7FFC78560000
d3dcompiler_47_64.dll            0x7FFC78650000
NvCamera64.dll                   0x7FFC78A60000
steamclient64.dll                0x7FFC792D0000
DiscordHook64.dll                0x7FFC80490000
d3dcompiler_46e.dll              0x7FFC813E0000
gameoverlayrenderer64.dll        0x7FFC817A0000
XDI.dll                          0x7FFC81930000
wsfw_identifier.dll              0x7FFC819A0000
UnlimitedSurvivalMode.dll        0x7FFC81AA0000
UnlimitedFastTravel.dll          0x7FFC81AF0000
UneducatedShooter.dll            0x7FFC81B40000
SUP_F4SE.dll                     0x7FFC81BA0000
ShieldFramework.dll              0x7FFC81EA0000
RustyFaceFix.dll                 0x7FFC81F20000
RobCo_Patcher.dll                0x7FFC81F70000
PrivateProfileRedirector.dll     0x7FFC82060000
PowerGridTools.dll               0x7FFC820C0000
place.dll                        0x7FFC82130000
NativeSync.dll                   0x7FFC821B0000
modify_frequency.dll             0x7FFC82200000
mcm.dll                          0x7FFC822F0000
LongLoadingTimesFix.dll          0x7FFC82390000
LighthousePapyrusExtender.dll    0x7FFC823F0000
HighFPSPhysicsFix.dll            0x7FFC82510000
GLXRM_UnleveledWorld.dll         0x7FFC825A0000
Buffout4.dll                     0x7FFC825F0000
GCBugFix.dll                     0x7FFC82A00000
FallSouls.dll                    0x7FFC82A60000
F4z Ro D'oh.dll                  0x7FFC82AC0000
f4pm.dll                         0x7FFC82B30000
f4ee.dll                         0x7FFC82BA0000
ESPExplorer.dll                  0x7FFC82E50000
EscapeFreeze.dll                 0x7FFC82EB0000
Discord_Presence_F4SE.dll        0x7FFC82F70000
crafting_highlight_fix.dll       0x7FFC83010000
ClassicHolsteredWeapons.dll      0x7FFC83060000
BulletCountedReload.dll          0x7FFC83110000
BakaFramework.dll                0x7FFC831A0000
tier0_s64.dll                    0x7FFC83290000
BetterConsole.dll                0x7FFC90D00000
f4se_1_10_163.dll                0x7FFC91120000
D3DCOMPILER_43.dll               0x7FFC91200000
BakaMaxPapyrusOps.dll            0x7FFC9D0F0000
OPENGL32.dll                     0x7FFCA0D30000
medal-hook64.dll                 0x7FFCA0E60000
BodyPartsUI.dll                  0x7FFCA1250000
Bastion.dll                      0x7FFCA12A0000
BakaWaitAnywhere.dll             0x7FFCA2CA0000
ArmorPenetrationBugFix.dll       0x7FFCA2D10000
vstdlib_s64.dll                  0x7FFCA2D60000
enbhelperf4.dll                  0x7FFCA2F80000
achievements.dll                 0x7FFCA2FC0000
cudart64_75.dll                  0x7FFCA3000000
flexRelease_x64.dll              0x7FFCA3060000
GFSDK_SSAO_D3D11.win64.dll       0x7FFCA31F0000
MSVCR110.dll                     0x7FFCA7610000
DSOUND.DLL                       0x7FFCB8CB0000
GFSDK_GodraysLib.x64.dll         0x7FFCC3D00000
MSVCP110.dll                     0x7FFCC4C90000
flexExtRelease_x64.dll           0x7FFCD9A10000
nvspcap64.dll                    0x7FFCDA420000
d3dx11_43.dll                    0x7FFCDC4E0000
bink2w64.dll                     0x7FFCDC530000
f4se_steam_loader.dll            0x7FFCEC350000
PriorityMod.dll                  0x7FFCECC70000
encounter_zone_recalculation.dll 0x7FFCF1900000
SprintStutteringFix.dll          0x7FFCF1D80000
DINPUT8.dll                      0x7FFCF1DA0000
MessageBus.dll                   0x7FFCF73E0000
winmmbase.dll                    0x7FFCFDAC0000
XINPUT9_1_0.dll                  0x7FFCFDB60000
VCRUNTIME140_1.dll               0x7FFCFEC20000
MSVCP140.dll                     0x7FFCFEC30000
VCRUNTIME140.dll                 0x7FFCFECC0000
Secur32.dll                      0x7FFD054B0000
WININET.dll                      0x7FFD05CD0000
nvwgf2umx.dll                    0x7FFD06590000
nvapi64.dll                      0x7FFD0BEC0000
nvgpucomp64.dll                  0x7FFD0F160000
MessageBus.dll                   0x7FFD11350000
WINMM.dll                        0x7FFD11A90000
inputhost.dll                    0x7FFD12F30000
textinputframework.dll           0x7FFD13090000
Windows.UI.dll                   0x7FFD13190000
COMCTL32.dll                     0x7FFD13B40000
gdiplus.dll                      0x7FFD13DE0000
nvldumdx.dll                     0x7FFD151E0000
dbghelp.dll                      0x7FFD152A0000
cryptnet.dll                     0x7FFD15E10000
VERSION.dll                      0x7FFD15E50000
drvstore.dll                     0x7FFD15E90000
dxcore.dll                       0x7FFD16820000
WINHTTP.dll                      0x7FFD17A90000
WindowsCodecs.dll                0x7FFD18860000
twinapi.appcore.dll              0x7FFD18DD0000
WindowManagementAPI.dll          0x7FFD18FE0000
AUDIOSES.DLL                     0x7FFD19090000
MMDevApi.dll                     0x7FFD19350000
dhcpcsvc.DLL                     0x7FFD196D0000
avrt.dll                         0x7FFD19DF0000
libdiskCacheEnabler.dll          0x7FFD1A6C0000
GLU32.dll                        0x7FFD1A6E0000
d3d12.dll                        0x7FFD1A8B0000
d3d11.dll                        0x7FFD1ABB0000
D3DCompiler_47.dll               0x7FFD1AE20000
wintypes.dll                     0x7FFD1BA50000
dcomp.dll                        0x7FFD1BC40000
CoreUIComponents.dll             0x7FFD1C290000
CoreMessaging.dll                0x7FFD1CA00000
PROPSYS.dll                      0x7FFD1CEA0000
nvToolsExt64_1.dll               0x7FFD1D2D0000
uxtheme.dll                      0x7FFD1D820000
resourcepolicyclient.dll         0x7FFD1D9A0000
dwmapi.dll                       0x7FFD1DAA0000
kernel.appcore.dll               0x7FFD1DD90000
windows.storage.dll              0x7FFD1DF90000
HID.DLL                          0x7FFD1E730000
dxgi.dll                         0x7FFD1E770000
rsaenh.dll                       0x7FFD1EF10000
ntmarta.dll                      0x7FFD1F030000
UMPDC.dll                        0x7FFD1F2D0000
IPHLPAPI.DLL                     0x7FFD1F2F0000
powrprof.dll                     0x7FFD1F410000
MSWSOCK.dll                      0x7FFD1F650000
CRYPTBASE.DLL                    0x7FFD1F840000
CRYPTSP.dll                      0x7FFD1F850000
Wldp.dll                         0x7FFD1F8F0000
msasn1.dll                       0x7FFD1FA80000
devobj.dll                       0x7FFD1FC50000
SSPICLI.DLL                      0x7FFD1FDA0000
profapi.dll                      0x7FFD1FDF0000
win32u.dll                       0x7FFD1FEC0000
ucrtbase.dll                     0x7FFD1FEF0000
bcrypt.dll                       0x7FFD1FFF0000
CRYPT32.dll                      0x7FFD20020000
gdi32full.dll                    0x7FFD20180000
msvcp_win.dll                    0x7FFD202A0000
cfgmgr32.dll                     0x7FFD20340000
wintrust.dll                     0x7FFD20440000
KERNELBASE.dll                   0x7FFD204B0000
bcryptPrimitives.dll             0x7FFD207B0000
OLEAUT32.dll                     0x7FFD20840000
imagehlp.dll                     0x7FFD20910000
ADVAPI32.dll                     0x7FFD20990000
PSAPI.DLL                        0x7FFD20A50000
shlwapi.dll                      0x7FFD20AF0000
sechost.dll                      0x7FFD20B50000
clbcatq.dll                      0x7FFD20BF0000
KERNEL32.DLL                     0x7FFD20D00000
ole32.dll                        0x7FFD20FF0000
MSCTF.dll                        0x7FFD21130000
RPCRT4.dll                       0x7FFD21250000
combase.dll                      0x7FFD21380000
msvcrt.dll                       0x7FFD216E0000
SHELL32.dll                      0x7FFD21780000
NSI.dll                          0x7FFD21ED0000
WS2_32.dll                       0x7FFD21EE0000
SHCORE.dll                       0x7FFD21F50000
GDI32.dll                        0x7FFD22000000
SETUPAPI.dll                     0x7FFD22030000
IMM32.DLL                        0x7FFD224A0000
USER32.dll                       0x7FFD22530000
COMDLG32.dll                     0x7FFD226D0000
ntdll.dll                        0x7FFD227F0000
