XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x00005FA90000
BakaFramework.dll             0x019BBC8D0000
Fallout4.exe                  0x7FF6B90A0000
nvwgf2umx.dll                 0x7FFD10EE0000
ResampleDmo.DLL               0x7FFD2BFB0000
DSOUND.DLL                    0x7FFD2C070000
Buffout4.dll                  0x7FFD40610000
BLD_Helper.dll                0x7FFD40970000
nvspcap64.dll                 0x7FFD44050000
XAudio2_7.dll                 0x7FFD48540000
nvldumdx.dll                  0x7FFD48B10000
wsfw_identifier.dll           0x7FFD492A0000
UneducatedShooter.dll         0x7FFD4E7D0000
BakaScrapHeap.dll             0x7FFD4EA70000
dinput8.dll                   0x7FFD50610000
f4se_1_10_163.dll             0x7FFD50E00000
UnlimitedFastTravel.dll       0x7FFD50EF0000
SettlementOfUnlimitedSize.dll 0x7FFD50F40000
RobCo_Patcher.dll             0x7FFD50F90000
mcm.dll                       0x7FFD51080000
inputhost.dll                 0x7FFD5D120000
BulletCountedReload.dll       0x7FFD60A20000
PowerGridTools.dll            0x7FFD611F0000
flexRelease_x64.dll           0x7FFD61260000
place.dll                     0x7FFD613B0000
HighFPSPhysicsFix.dll         0x7FFD61430000
HHS.dll                       0x7FFD614C0000
crafting_highlight_fix.dll    0x7FFD617B0000
Bastion.dll                   0x7FFD650D0000
ncryptsslp.dll                0x7FFD66F60000
webio.dll                     0x7FFD67090000
winmmbase.dll                 0x7FFD6F800000
AutoBeam.dll                  0x7FFD6F870000
cudart64_75.dll               0x7FFD6F8D0000
GFSDK_SSAO_D3D11.win64.dll    0x7FFD6F990000
ImmersiveDamage.dll           0x7FFD6FA40000
GLXRM_ScalingFlagRemover.dll  0x7FFD6FAA0000
GLXRM_FireRateShowsRPM.dll    0x7FFD6FAF0000
FineZoom.dll                  0x7FFD6FB40000
faster_workshop.dll           0x7FFD6FB90000
f4ee.dll                      0x7FFD6FBF0000
MSVCR110.dll                  0x7FFD6FD50000
MSVCP110.dll                  0x7FFD6FE30000
VCRUNTIME140_1.dll            0x7FFD75540000
VCRUNTIME140.dll              0x7FFD75550000
GFSDK_GodraysLib.x64.dll      0x7FFD76B70000
MSVCP140.dll                  0x7FFD76BD0000
Windows.UI.dll                0x7FFD799A0000
flexExtRelease_x64.dll        0x7FFD79FA0000
MessageBus.dll                0x7FFD7A230000
bink2w64.dll                  0x7FFD7BA80000
xinput1_4.dll                 0x7FFD7BC30000
steam_api64.dll               0x7FFD7BC50000
COMCTL32.dll                  0x7FFD7BD40000
OneCoreCommonProxyStub.dll    0x7FFD7D290000
textinputframework.dll        0x7FFD81E20000
AUDIOSES.DLL                  0x7FFD82680000
MpOav.dll                     0x7FFD85850000
amsi.dll                      0x7FFD858D0000
wbemsvc.dll                   0x7FFD861A0000
fastprox.dll                  0x7FFD86240000
MMDevApi.dll                  0x7FFD86940000
nvapi64.dll                   0x7FFD87080000
wbemcomn.dll                  0x7FFD882F0000
wbemprox.dll                  0x7FFD88370000
drvstore.dll                  0x7FFD88600000
cryptnet.dll                  0x7FFD88760000
VERSION.dll                   0x7FFD887A0000
fwpuclnt.dll                  0x7FFD88A10000
rasadhlp.dll                  0x7FFD88B40000
WINMM.dll                     0x7FFD88D30000
FakeThroughScope.dll          0x7FFD88DA0000
PriorityMod.dll               0x7FFD88F30000
igc64.dll                     0x7FFD890A0000
igdgmm64.dll                  0x7FFD8C8A0000
IntelControlLib.dll           0x7FFD8D010000
ControlLib.dll                0x7FFD8D120000
f4se_steam_loader.dll         0x7FFD8D170000
igd10um64xe.DLL               0x7FFD8D1E0000
msdmo.dll                     0x7FFD8E5D0000
nvToolsExt64_1.dll            0x7FFD8E5E0000
igd10iumd64.dll               0x7FFD8E620000
OneCoreUAPCommonProxyStub.dll 0x7FFD8F090000
dhcpcsvc.DLL                  0x7FFD8FA90000
WINHTTP.dll                   0x7FFD8FAB0000
CoreUIComponents.dll          0x7FFD90720000
dhcpcsvc6.DLL                 0x7FFD90AB0000
avrt.dll                      0x7FFD911C0000
directxdatabasehelper.dll     0x7FFD91310000
SprintStutteringFix.dll       0x7FFD91AD0000
D3DCOMPILER_47.dll            0x7FFD91BF0000
d3d11.dll                     0x7FFD92410000
dcomp.dll                     0x7FFD92C60000
CoreMessaging.dll             0x7FFD932D0000
apphelp.dll                   0x7FFD935B0000
uxtheme.dll                   0x7FFD936F0000
dxgi.dll                      0x7FFD93820000
dwmapi.dll                    0x7FFD93930000
WINNSI.DLL                    0x7FFD95F20000
dxcore.dll                    0x7FFD96050000
resourcepolicyclient.dll      0x7FFD964F0000
dbghelp.dll                   0x7FFD96700000
wintypes.dll                  0x7FFD96BF0000
windows.storage.dll           0x7FFD96D30000
HID.DLL                       0x7FFD97630000
IPHLPAPI.DLL                  0x7FFD97880000
DNSAPI.dll                    0x7FFD978B0000
UMPDC.dll                     0x7FFD97C30000
powrprof.dll                  0x7FFD97C70000
schannel.DLL                  0x7FFD97D40000
rsaenh.dll                    0x7FFD97E50000
kernel.appcore.dll            0x7FFD97EF0000
ntmarta.dll                   0x7FFD97F10000
SspiCli.dll                   0x7FFD98150000
mswsock.dll                   0x7FFD98370000
USERENV.dll                   0x7FFD98460000
CRYPTSP.dll                   0x7FFD985C0000
cryptbase.dll                 0x7FFD985E0000
wldp.dll                      0x7FFD98670000
NTASN1.dll                    0x7FFD98720000
ncrypt.dll                    0x7FFD98760000
devobj.dll                    0x7FFD98890000
cfgmgr32.dll                  0x7FFD988C0000
DPAPI.DLL                     0x7FFD98930000
msasn1.dll                    0x7FFD98B20000
profapi.dll                   0x7FFD98D00000
gdi32full.dll                 0x7FFD98E90000
CRYPT32.dll                   0x7FFD98FB0000
KERNELBASE.dll                0x7FFD99120000
win32u.dll                    0x7FFD994D0000
wintrust.dll                  0x7FFD99500000
ucrtbase.dll                  0x7FFD99570000
bcrypt.dll                    0x7FFD99690000
bcryptPrimitives.dll          0x7FFD996C0000
msvcp_win.dll                 0x7FFD99740000
imagehlp.dll                  0x7FFD997E0000
SETUPAPI.dll                  0x7FFD99800000
GDI32.dll                     0x7FFD99C80000
WS2_32.dll                    0x7FFD99CB0000
RPCRT4.dll                    0x7FFD99DC0000
IMM32.DLL                     0x7FFD99EE0000
ADVAPI32.dll                  0x7FFD99F20000
SHCORE.dll                    0x7FFD9A1A0000
SHLWAPI.dll                   0x7FFD9A2A0000
KERNEL32.DLL                  0x7FFD9A300000
COMDLG32.dll                  0x7FFD9A3E0000
combase.dll                   0x7FFD9A4E0000
USER32.dll                    0x7FFD9A870000
NSI.dll                       0x7FFD9AA20000
MSCTF.dll                     0x7FFD9AAC0000
msvcrt.dll                    0x7FFD9AC90000
SHELL32.dll                   0x7FFD9AD90000
OLEAUT32.dll                  0x7FFD9B5F0000
sechost.dll                   0x7FFD9B6D0000
clbcatq.dll                   0x7FFD9B790000
ole32.dll                     0x7FFD9B8A0000
PSAPI.DLL                     0x7FFD9BA40000
ntdll.dll                     0x7FFD9BA90000
