XINPUT1_3.dll                 0x000000400000
steam_api64.dll               0x000073820000
X3DAudio1_7.dll               0x000073860000
wintrust.dll                  0x02011F8F0000
NSI.dll                       0x02011FA90000
clbcatq.dll                   0x020132230000
Fallout4.exe                  0x7FF714DF0000
nvspcap64.dll                 0x7FF803C30000
AudioDevProps2.dll            0x7FF813850000
f4ee.dll                      0x7FF8144F0000
DINPUT8.dll                   0x7FF8146A0000
HighFPSPhysicsFix.dll         0x7FF8146F0000
MSVCR110.dll                  0x7FF814780000
UnlimitedSurvivalMode.dll     0x7FF814DB0000
msdmo.dll                     0x7FF815550000
Interior-NavCut-Fix.dll       0x7FF815780000
FallSouls.dll                 0x7FF8157D0000
flexRelease_x64.dll           0x7FF815AB0000
AudioDevProps2.dll            0x7FF81C390000
NahimicOSD.dll                0x7FF81C7D0000
ProductInfo.dll               0x7FF81C8B0000
xinput1_4.dll                 0x7FF81CB60000
PDPerfPlugin.dll              0x7FF81F220000
cudart64_75.dll               0x7FF81F340000
GFSDK_GodraysLib.x64.dll      0x7FF81F3A0000
GFSDK_SSAO_D3D11.win64.dll    0x7FF821100000
spdlog.dll                    0x7FF8211A0000
BakaScrapHeap.dll             0x7FF821200000
tier0_s64.dll                 0x7FF8212D0000
crafting_highlight_fix.dll    0x7FF828090000
NvTelemetryBridge64.dll       0x7FF829A50000
flexExtRelease_x64.dll        0x7FF829F90000
bink2w64.dll                  0x7FF829FF0000
MSVCP110.dll                  0x7FF82A080000
f4se_1_10_163.dll             0x7FF82A1B0000
d3d12.dll                     0x7FF830D60000
f4se_steam_loader.dll         0x7FF8311B0000
fmt.dll                       0x7FF8312B0000
ncryptsslp.dll                0x7FF832200000
d3d11.dll                     0x7FF833370000
vstdlib_s64.dll               0x7FF8333B0000
MessageBus.dll                0x7FF833FE0000
XINPUT9_1_0.dll               0x7FF835340000
winmmbase.dll                 0x7FF838C20000
VCRUNTIME140_1.dll            0x7FF838CA0000
MSVCP140.dll                  0x7FF838EE0000
VCRUNTIME140.dll              0x7FF838F70000
webio.dll                     0x7FF83BA70000
CONCRT140.dll                 0x7FF83C000000
textinputframework.dll        0x7FF83C4D0000
inputhost.dll                 0x7FF83C620000
nvwgf2umx.dll                 0x7FF83D5C0000
fastprox.dll                  0x7FF843710000
nvToolsExt64_1.dll            0x7FF843F10000
wbemsvc.dll                   0x7FF843F20000
MMDevApi.dll                  0x7FF8441A0000
wbemcomn.dll                  0x7FF844440000
Windows.UI.dll                0x7FF845C20000
OneCoreCommonProxyStub.dll    0x7FF846C80000
AudioSes.dll                  0x7FF847060000
ProductInfo.dll               0x7FF847530000
NvTelemetryAPI64.dll          0x7FF847CD0000
SPINF.dll                     0x7FF847D70000
MessageBus.dll                0x7FF847D90000
WINSPOOL.DRV                  0x7FF848600000
COMCTL32.dll                  0x7FF8486B0000
MSIMG32.dll                   0x7FF848B10000
MpOav.dll                     0x7FF84A190000
WINMM.dll                     0x7FF84A210000
nvapi64.dll                   0x7FF84A530000
nvldumdx.dll                  0x7FF84B290000
OneCoreUAPCommonProxyStub.dll 0x7FF84B350000
amsi.dll                      0x7FF84BFB0000
wbemprox.dll                  0x7FF84CBB0000
rasadhlp.dll                  0x7FF84CBD0000
DEVRTL.dll                    0x7FF84CBE0000
drvstore.dll                  0x7FF84D0C0000
cryptnet.dll                  0x7FF84D2C0000
VERSION.dll                   0x7FF84D300000
CoreUIComponents.dll          0x7FF84DCC0000
fwpuclnt.dll                  0x7FF84E030000
avrt.dll                      0x7FF84E3F0000
directxdatabasehelper.dll     0x7FF84E400000
dhcpcsvc.DLL                  0x7FF84E6C0000
dhcpcsvc6.DLL                 0x7FF84E6E0000
WINHTTP.dll                   0x7FF84E880000
PropSys.dll                   0x7FF84EF30000
WindowsCodecs.dll             0x7FF84F5F0000
D3DCOMPILER_47.dll            0x7FF84F7A0000
d3d11.Dll                     0x7FF84FF40000
dcomp.dll                     0x7FF8508E0000
CoreMessaging.dll             0x7FF850BA0000
UxTheme.dll                   0x7FF8514A0000
WINNSI.DLL                    0x7FF851600000
dxcore.dll                    0x7FF851650000
dxgi.dll                      0x7FF8516B0000
dwmapi.dll                    0x7FF8517D0000
resourcepolicyclient.dll      0x7FF851B00000
DbgHelp.dll                   0x7FF851D60000
wintypes.dll                  0x7FF852120000
windows.storage.dll           0x7FF852260000
HID.DLL                       0x7FF852B60000
IpHlpAPI.dll                  0x7FF852DC0000
DNSAPI.dll                    0x7FF852E30000
Secur32.dll                   0x7FF853110000
schannel.DLL                  0x7FF853190000
rsaenh.dll                    0x7FF8532A0000
kernel.appcore.dll            0x7FF853340000
ntmarta.dll                   0x7FF853360000
SSPICLI.DLL                   0x7FF853610000
MSWSOCK.dll                   0x7FF853830000
gpapi.dll                     0x7FF8538C0000
USERENV.dll                   0x7FF853920000
UMPDC.dll                     0x7FF853A90000
CRYPTSP.dll                   0x7FF853AB0000
CRYPTBASE.DLL                 0x7FF853AD0000
powrprof.dll                  0x7FF853B10000
wldp.dll                      0x7FF853BB0000
NTASN1.dll                    0x7FF853C60000
ncrypt.dll                    0x7FF853CA0000
msasn1.dll                    0x7FF853FB0000
devobj.dll                    0x7FF853FD0000
CFGMGR32.dll                  0x7FF854000000
DPAPI.DLL                     0x7FF854050000
profapi.dll                   0x7FF854240000
gdi32full.dll                 0x7FF854380000
KERNELBASE.dll                0x7FF8544A0000
win32u.dll                    0x7FF854850000
CRYPT32.dll                   0x7FF854880000
msvcp_win.dll                 0x7FF8549F0000
bcrypt.dll                    0x7FF854A90000
bcryptPrimitives.dll          0x7FF854B80000
ucrtbase.dll                  0x7FF854C00000
USER32.dll                    0x7FF854D20000
sechost.dll                   0x7FF854ED0000
SETUPAPI.dll                  0x7FF854F80000
SHLWAPI.dll                   0x7FF855400000
COMDLG32.dll                  0x7FF855460000
OLEAUT32.dll                  0x7FF855700000
combase.dll                   0x7FF8557E0000
ole32.dll                     0x7FF855B70000
RPCRT4.dll                    0x7FF855EE0000
WS2_32.dll                    0x7FF856070000
SHELL32.dll                   0x7FF8560F0000
shcore.dll                    0x7FF8569D0000
PSAPI.DLL                     0x7FF856AD0000
ADVAPI32.dll                  0x7FF856B00000
GDI32.dll                     0x7FF856C30000
KERNEL32.DLL                  0x7FF856C60000
MSCTF.dll                     0x7FF856D30000
msvcrt.dll                    0x7FF856E80000
imagehlp.dll                  0x7FF856F30000
IMM32.DLL                     0x7FF856F50000
ntdll.dll                     0x7FF856FD0000
nvcuda64.dll                  0x7FFFB8530000
ResampleDmo.DLL               0x7FFFB9650000
DSOUND.DLL                    0x7FFFB9710000
XAudio2_7.dll                 0x7FFFBD630000
_nvngx.dll                    0x7FFFBE450000
d3dcompiler_47_64.dll         0x7FFFBE870000
NvCamera64.dll                0x7FFFBFB80000
gameoverlayrenderer64.dll     0x7FFFC0CF0000
nvngx_dlss.dll                0x7FFFC0E80000
steamclient64.dll             0x7FFFC41E0000
IPHLPAPI.DLL                  0x7FFFC5850000
XDI.dll                       0x7FFFC5EF0000
wsfw_identifier.dll           0x7FFFC5F60000
RobCo_Patcher.dll             0x7FFFC6060000
PowerGridTools.dll            0x7FFFC6150000
place.dll                     0x7FFFC61C0000
mcm.dll                       0x7FFFC6240000
Buffout4.dll                  0x7FFFC62E0000
BLD_Helper.dll                0x7FFFD7800000
Fallout4Upscaler.dll          0x7FFFD8450000
