XINPUT1_3.dll                  0x000000400000
X3DAudio1_7.dll                0x000065EB0000
steam_api64.dll                0x000065EC0000
wintrust.dll                   0x0204A1C80000
PipboyTabs.dll                 0x0204F37B0000
Fallout4.exe                   0x7FF6D2D70000
steamclient64.dll              0x7FFEE3960000
ResampleDmo.DLL                0x7FFEE5DE0000
DSOUND.DLL                     0x7FFEE5EA0000
XAudio2_7.dll                  0x7FFEE5F40000
gameoverlayrenderer64.dll      0x7FFEE5FD0000
wsfw_identifier.dll            0x7FFEE6160000
UneducatedShooter.dll          0x7FFEE6260000
RobCo_Patcher.dll              0x7FFEE62E0000
PRKF.dll                       0x7FFEE63D0000
mcm.dll                        0x7FFEE6460000
Buffout4.dll                   0x7FFEE6500000
BLD_Helper.dll                 0x7FFEE6860000
PowerGridTools.dll             0x7FFEE83D0000
ClassicHolsteredWeapons.dll    0x7FFEE8440000
BakaFramework.dll              0x7FFEE84F0000
tier0_s64.dll                  0x7FFEE85E0000
f4se_1_10_163.dll              0x7FFEEAAE0000
flexRelease_x64.dll            0x7FFEEABC0000
BulletCountedReload.dll        0x7FFEEBC60000
ESPExplorer.dll                0x7FFF010D0000
vstdlib_s64.dll                0x7FFF02690000
GFSDK_SSAO_D3D11.win64.dll     0x7FFF03430000
MSVCR110.dll                   0x7FFF04400000
cudart64_75.dll                0x7FFF05CF0000
GFSDK_GodraysLib.x64.dll       0x7FFF0C5D0000
UnlimitedSurvivalMode.dll      0x7FFF0E070000
flexExtRelease_x64.dll         0x7FFF0E640000
AmmoRemover.dll                0x7FFF17560000
f4se_steam_loader.dll          0x7FFF1BAC0000
wtdccm.dll                     0x7FFF1BCE0000
msdmo.dll                      0x7FFF1C850000
OneCoreCommonProxyStub.dll     0x7FFF1EB30000
MessageBus.dll                 0x7FFF201C0000
webio.dll                      0x7FFF20900000
ncryptsslp.dll                 0x7FFF20FE0000
COMCTL32.dll                   0x7FFF22540000
symamsi.dll                    0x7FFF23FE0000
amsi.dll                       0x7FFF240E0000
MSVCP110.dll                   0x7FFF25510000
bink2w64.dll                   0x7FFF255C0000
wbemsvc.dll                    0x7FFF26370000
fastprox.dll                   0x7FFF267E0000
nvToolsExt64_1.dll             0x7FFF26960000
Windows.UI.dll                 0x7FFF26F90000
dbghelp.dll                    0x7FFF27270000
MSVCP140.dll                   0x7FFF283E0000
VCRUNTIME140.dll               0x7FFF28490000
winmmbase.dll                  0x7FFF28800000
VCRUNTIME140_1.dll             0x7FFF28B90000
wbemcomn.dll                   0x7FFF29200000
wbemprox.dll                   0x7FFF2A430000
nvapi64.dll                    0x7FFF2A620000
textinputframework.dll         0x7FFF2B6B0000
rasadhlp.dll                   0x7FFF2B9A0000
AUDIOSES.DLL                   0x7FFF2C3D0000
WINMM.dll                      0x7FFF2C830000
nvwgf2umx.dll                  0x7FFF2CA70000
OneCoreUAPCommonProxyStub.dll  0x7FFF32A00000
MMDevApi.dll                   0x7FFF33CC0000
nvldumdx.dll                   0x7FFF34330000
drvstore.dll                   0x7FFF34560000
cryptnet.dll                   0x7FFF346F0000
VERSION.dll                    0x7FFF349F0000
fwpuclnt.dll                   0x7FFF34C80000
CoreUIComponents.dll           0x7FFF34DF0000
avrt.dll                       0x7FFF353C0000
dhcpcsvc.DLL                   0x7FFF354E0000
dhcpcsvc6.DLL                  0x7FFF35510000
directxdatabasehelper.dll      0x7FFF35530000
WINHTTP.dll                    0x7FFF35590000
wintypes.dll                   0x7FFF356D0000
Microsoft.Internal.WarpPal.dll 0x7FFF372C0000
d3d11.dll                      0x7FFF37560000
dcomp.dll                      0x7FFF37E10000
CoreMessaging.dll              0x7FFF38410000
Secur32.dll                    0x7FFF387B0000
WINNSI.DLL                     0x7FFF38990000
uxtheme.dll                    0x7FFF389B0000
dxcore.dll                     0x7FFF38B00000
dxgi.dll                       0x7FFF38B40000
dwmapi.dll                     0x7FFF38C70000
resourcepolicyclient.dll       0x7FFF38FB0000
windows.storage.dll            0x7FFF39300000
HID.DLL                        0x7FFF39B70000
IPHLPAPI.DLL                   0x7FFF39E00000
DNSAPI.dll                     0x7FFF39E80000
schannel.DLL                   0x7FFF3A1E0000
rsaenh.dll                     0x7FFF3A2E0000
kernel.appcore.dll             0x7FFF3A380000
SSPICLI.DLL                    0x7FFF3A5D0000
MSWSOCK.dll                    0x7FFF3A810000
USERENV.dll                    0x7FFF3A8D0000
CRYPTSP.dll                    0x7FFF3AAC0000
CRYPTBASE.DLL                  0x7FFF3AAE0000
wldp.dll                       0x7FFF3AB80000
msasn1.dll                     0x7FFF3ABF0000
NTASN1.dll                     0x7FFF3ACF0000
ncrypt.dll                     0x7FFF3AD40000
bcrypt.dll                     0x7FFF3AD80000
UMPDC.dll                      0x7FFF3B0C0000
devobj.dll                     0x7FFF3B0E0000
CFGMGR32.dll                   0x7FFF3B110000
DPAPI.DLL                      0x7FFF3B170000
powrprof.dll                   0x7FFF3B1A0000
profapi.dll                    0x7FFF3B3D0000
msvcp_win.dll                  0x7FFF3B4B0000
bcryptPrimitives.dll           0x7FFF3B620000
gdi32full.dll                  0x7FFF3B730000
ucrtbase.dll                   0x7FFF3B860000
KERNELBASE.dll                 0x7FFF3B9A0000
CRYPT32.dll                    0x7FFF3BD00000
win32u.dll                     0x7FFF3BE80000
USER32.dll                     0x7FFF3BF20000
shlwapi.dll                    0x7FFF3C0F0000
sechost.dll                    0x7FFF3C150000
MSCTF.dll                      0x7FFF3C200000
msvcrt.dll                     0x7FFF3C360000
imagehlp.dll                   0x7FFF3C410000
PSAPI.DLL                      0x7FFF3C440000
COMDLG32.dll                   0x7FFF3C4B0000
NSI.dll                        0x7FFF3C5A0000
SHCORE.dll                     0x7FFF3C5B0000
ADVAPI32.dll                   0x7FFF3C690000
GDI32.dll                      0x7FFF3C750000
ole32.dll                      0x7FFF3C780000
WS2_32.dll                     0x7FFF3C930000
SETUPAPI.dll                   0x7FFF3CA30000
IMM32.DLL                      0x7FFF3CF40000
clbcatq.dll                    0x7FFF3D140000
OLEAUT32.dll                   0x7FFF3D1F0000
KERNEL32.DLL                   0x7FFF3D350000
combase.dll                    0x7FFF3D420000
SHELL32.dll                    0x7FFF3D7B0000
RPCRT4.dll                     0x7FFF3DF80000
ntdll.dll                      0x7FFF3E0F0000
