XINPUT1_3.dll                 0x000000400000
mdnsNSP.dll                   0x000059800000
X3DAudio1_7.dll               0x000059A20000
steam_api64.dll               0x000059A30000
CELib_x64.dll                 0x000110000000
TrainerLib_x64.dll            0x000180000000
Fallout4.exe                  0x7FF79BF50000
nvwgf2umx.dll                 0x7FFC68FA0000
nvspcap64.dll                 0x7FFCA53D0000
nvgpucomp64.dll               0x7FFCC04C0000
DSOUND.DLL                    0x7FFCC4BE0000
usvfs_x64.dll                 0x7FFCD2D10000
steamclient64.dll             0x7FFCE9970000
nvldumdx.dll                  0x7FFCF0150000
Trainer_29532_c9d48061de.dll  0x7FFCF18E0000
XAudio2_7.dll                 0x7FFCF20A0000
gameoverlayrenderer64.dll     0x7FFCF2250000
IPHLPAPI.DLL                  0x7FFCF23E0000
Buffout4.dll                  0x7FFCF41F0000
mcm.dll                       0x7FFCF5190000
imetip.dll                    0x7FFCF5FE0000
imkrtip.dll                   0x7FFCF6130000
HighFPSPhysicsFix.dll         0x7FFCFB240000
f4ee.dll                      0x7FFCFDFC0000
tier0_s64.dll                 0x7FFCFE0D0000
XDI.dll                       0x7FFCFE7C0000
MODExplorer.dll               0x7FFCFE9C0000
BulletCountedReload.dll       0x7FFCFF0C0000
f4se_1_10_163.dll             0x7FFD002D0000
BakaWaitAnywhere.dll          0x7FFD00B70000
rename_anything.dll           0x7FFD020D0000
vstdlib_s64.dll               0x7FFD02120000
GFSDK_SSAO_D3D11.win64.dll    0x7FFD021E0000
flexRelease_x64.dll           0x7FFD02590000
f4pm.dll                      0x7FFD02840000
DUI70.dll                     0x7FFD0E1D0000
MSVCR110.dll                  0x7FFD0EAD0000
cudart64_75.dll               0x7FFD0F0A0000
GFSDK_GodraysLib.x64.dll      0x7FFD0F680000
flexExtRelease_x64.dll        0x7FFD0F6E0000
MSVCP110.dll                  0x7FFD0F960000
bink2w64.dll                  0x7FFD0FA10000
crafting_highlight_fix.dll    0x7FFD0FC40000
webio.dll                     0x7FFD23750000
winmmbase.dll                 0x7FFD26940000
MSVCP140.dll                  0x7FFD39100000
VCRUNTIME140.dll              0x7FFD39190000
mskeyprotect.dll              0x7FFD39200000
VCRUNTIME140_1.dll            0x7FFD39660000
ncryptsslp.dll                0x7FFD39720000
OneCoreCommonProxyStub.dll    0x7FFD3B140000
imjkapi.dll                   0x7FFD3C680000
Secur32.dll                   0x7FFD3C6C0000
SprintStutteringFix.dll       0x7FFD3C6D0000
imkrapi.dll                   0x7FFD3C760000
OLEACC.dll                    0x7FFD3CDC0000
WINSPOOL.DRV                  0x7FFD3CE30000
COMCTL32.dll                  0x7FFD3D090000
MpOav.dll                     0x7FFD3E2D0000
amsi.dll                      0x7FFD44170000
wbemsvc.dll                   0x7FFD44190000
fastprox.dll                  0x7FFD44C70000
NvMessageBus.dll              0x7FFD44D80000
InputHost.dll                 0x7FFD49A90000
textinputframework.dll        0x7FFD49BF0000
Windows.UI.dll                0x7FFD49CF0000
wbemcomn.dll                  0x7FFD49E40000
wbemprox.dll                  0x7FFD49ED0000
f4se_steam_loader.dll         0x7FFD4A0C0000
NoScrollwheelPOVChange.dll    0x7FFD4A200000
nvToolsExt64_1.dll            0x7FFD4A230000
nvapi64.dll                   0x7FFD4AAC0000
mscoree.dll                   0x7FFD4D850000
OneCoreUAPCommonProxyStub.dll 0x7FFD4E4C0000
drvstore.dll                  0x7FFD4ED80000
fwpuclnt.dll                  0x7FFD50250000
MSIMG32.dll                   0x7FFD503D0000
dxcore.dll                    0x7FFD50820000
cryptnet.dll                  0x7FFD50860000
VERSION.dll                   0x7FFD50980000
dhcpcsvc6.DLL                 0x7FFD50B40000
twinapi.appcore.dll           0x7FFD50F40000
WindowManagementAPI.dll       0x7FFD511B0000
rasadhlp.dll                  0x7FFD51D50000
dhcpcsvc.DLL                  0x7FFD51D60000
avrt.dll                      0x7FFD51E20000
MMDevApi.dll                  0x7FFD52360000
AUDIOSES.DLL                  0x7FFD523F0000
WINHTTP.dll                   0x7FFD52FD0000
WINNSI.DLL                    0x7FFD530F0000
d3d11.dll                     0x7FFD53680000
dcomp.dll                     0x7FFD53EB0000
wintypes.dll                  0x7FFD540A0000
CoreUIComponents.dll          0x7FFD54200000
CoreMessaging.dll             0x7FFD54940000
policymanager.dll             0x7FFD550D0000
apphelp.dll                   0x7FFD55370000
PROPSYS.dll                   0x7FFD55400000
UxTheme.dll                   0x7FFD55DE0000
WINMM.dll                     0x7FFD55F90000
resourcepolicyclient.dll      0x7FFD58C00000
dwmapi.dll                    0x7FFD58C20000
DbgHelp.dll                   0x7FFD59140000
windows.storage.dll           0x7FFD59500000
HID.DLL                       0x7FFD59CA0000
kernel.appcore.dll            0x7FFD59CB0000
dxgi.dll                      0x7FFD59D20000
schannel.DLL                  0x7FFD5A3D0000
rsaenh.dll                    0x7FFD5A4C0000
msvcp110_win.dll              0x7FFD5A550000
ntmarta.dll                   0x7FFD5A5E0000
UMPDC.dll                     0x7FFD5A880000
IpHlpAPI.dll                  0x7FFD5A8A0000
DNSAPI.dll                    0x7FFD5A8E0000
POWRPROF.dll                  0x7FFD5AA20000
MSWSOCK.dll                   0x7FFD5AC00000
CRYPTBASE.DLL                 0x7FFD5ADF0000
CRYPTSP.dll                   0x7FFD5AE00000
Wldp.dll                      0x7FFD5AEA0000
NTASN1.dll                    0x7FFD5AED0000
ncrypt.dll                    0x7FFD5AF10000
msasn1.dll                    0x7FFD5B030000
devobj.dll                    0x7FFD5B200000
DPAPI.DLL                     0x7FFD5B260000
USERENV.dll                   0x7FFD5B320000
SSPICLI.DLL                   0x7FFD5B350000
profapi.dll                   0x7FFD5B3A0000
bcryptPrimitives.dll          0x7FFD5B470000
msvcp_win.dll                 0x7FFD5B500000
bcrypt.dll                    0x7FFD5B5A0000
cfgmgr32.dll                  0x7FFD5B5D0000
gdi32full.dll                 0x7FFD5B6D0000
wintrust.dll                  0x7FFD5B7F0000
CRYPT32.dll                   0x7FFD5B860000
KERNELBASE.dll                0x7FFD5B9C0000
ucrtbase.dll                  0x7FFD5BCC0000
win32u.dll                    0x7FFD5BDC0000
NSI.dll                       0x7FFD5BE50000
PSAPI.DLL                     0x7FFD5BE60000
MSCTF.dll                     0x7FFD5BE70000
SHLWAPI.dll                   0x7FFD5BFF0000
ole32.dll                     0x7FFD5C050000
clbcatq.dll                   0x7FFD5C180000
KERNEL32.DLL                  0x7FFD5C230000
SETUPAPI.dll                  0x7FFD5C2F0000
shcore.dll                    0x7FFD5C760000
COMDLG32.dll                  0x7FFD5C9C0000
combase.dll                   0x7FFD5CAA0000
sechost.dll                   0x7FFD5CE00000
IMM32.DLL                     0x7FFD5CEA0000
SHELL32.dll                   0x7FFD5CEE0000
RPCRT4.dll                    0x7FFD5D630000
GDI32.dll                     0x7FFD5D800000
ADVAPI32.dll                  0x7FFD5D830000
USER32.dll                    0x7FFD5D950000
WS2_32.dll                    0x7FFD5DAF0000
msvcrt.dll                    0x7FFD5DB60000
imagehlp.dll                  0x7FFD5DC00000
OLEAUT32.dll                  0x7FFD5DC20000
ntdll.dll                     0x7FFD5DDB0000
