XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x00006AE00000
steam_api64.dll               0x00006AE10000
d3d11.dll                     0x000180000000
wintrust.dll                  0x01A851800000
Fallout4.exe                  0x7FF722490000
steamclient64.dll             0x7FFD5A600000
XAudio2_7.dll                 0x7FFD61F80000
d3dcompiler_47_64.dll         0x7FFD66D60000
NvCamera64.dll                0x7FFD67170000
d3dcompiler_46e.dll           0x7FFD68280000
Buffout4.dll                  0x7FFD68640000
D3DCOMPILER_43.dll            0x7FFD689A0000
IPHLPAPI.DLL                  0x7FFD691F0000
gameoverlayrenderer64.dll     0x7FFD69860000
wsfw_identifier.dll           0x7FFD69F10000
RobCo_Patcher.dll             0x7FFD6A280000
LighthousePapyrusExtender.dll 0x7FFD6A370000
tier0_s64.dll                 0x7FFD6A630000
graphics-hook64.dll           0x7FFD6A970000
flexRelease_x64.dll           0x7FFD6AA00000
ResampleDmo.DLL               0x7FFD73AA0000
DSOUND.DLL                    0x7FFD73B60000
XDI.dll                       0x7FFD73F50000
f4se_1_10_163.dll             0x7FFD74260000
PRKF.dll                      0x7FFD7C9A0000
DINPUT8.dll                   0x7FFD7D250000
PowerGridTools.dll            0x7FFD7D450000
MSVCR110.dll                  0x7FFD7D4C0000
nvspcap64.dll                 0x7FFD8E880000
place.dll                     0x7FFD9C9F0000
vstdlib_s64.dll               0x7FFD9FB90000
msdmo.dll                     0x7FFD9FC50000
RustyFaceFix.dll              0x7FFDCBA80000
mcm.dll                       0x7FFDCBB10000
d3dx11_43.dll                 0x7FFDDC630000
winmmbase.dll                 0x7FFDDC880000
ncryptsslp.dll                0x7FFDDF180000
cudart64_75.dll               0x7FFDE6600000
GFSDK_GodraysLib.x64.dll      0x7FFDE6660000
MSVCP110.dll                  0x7FFDE66C0000
GFSDK_SSAO_D3D11.win64.dll    0x7FFDE7A60000
bink2w64.dll                  0x7FFDE7AF0000
BulletCountedReload.dll       0x7FFDE7BD0000
f4se_steam_loader.dll         0x7FFDE7CF0000
flexExtRelease_x64.dll        0x7FFDE7DD0000
MessageBus.dll                0x7FFDEB560000
webio.dll                     0x7FFDEFE30000
libdiskCacheEnabler.dll       0x7FFDF18E0000
usvfs_x64.dll                 0x7FFDF5850000
textinputframework.dll        0x7FFDF5B40000
inputhost.dll                 0x7FFDF5C90000
Windows.UI.dll                0x7FFDF7570000
AUDIOSES.DLL                  0x7FFDF7970000
OneCoreCommonProxyStub.dll    0x7FFDF8580000
MSVCP140.dll                  0x7FFDF8B00000
nvwgf2umx.dll                 0x7FFDF9F90000
VCRUNTIME140_1.dll            0x7FFDFFE70000
WINSPOOL.DRV                  0x7FFE00BF0000
COMCTL32.dll                  0x7FFE00CA0000
amsi.dll                      0x7FFE01390000
MpOav.dll                     0x7FFE015C0000
MessageBus.dll                0x7FFE01B20000
fastprox.dll                  0x7FFE02C10000
nvgpucomp64.dll               0x7FFE030A0000
MMDevApi.dll                  0x7FFE05290000
MSIMG32.dll                   0x7FFE05550000
nvapi64.dll                   0x7FFE061A0000
wbemsvc.dll                   0x7FFE06980000
wbemcomn.dll                  0x7FFE06A20000
drvstore.dll                  0x7FFE088C0000
nvldumdx.dll                  0x7FFE08A20000
OneCoreUAPCommonProxyStub.dll 0x7FFE08F40000
VCRUNTIME140.dll              0x7FFE09970000
wbemprox.dll                  0x7FFE09C70000
cryptnet.dll                  0x7FFE09CE0000
VERSION.dll                   0x7FFE09FE0000
nvToolsExt64_1.dll            0x7FFE0A370000
WINMM.dll                     0x7FFE0A860000
fwpuclnt.dll                  0x7FFE0AE80000
CoreUIComponents.dll          0x7FFE0C640000
rasadhlp.dll                  0x7FFE0CD20000
dhcpcsvc.DLL                  0x7FFE0CD50000
dhcpcsvc6.DLL                 0x7FFE0CD80000
avrt.dll                      0x7FFE0CDA0000
directxdatabasehelper.dll     0x7FFE0D040000
WINHTTP.dll                   0x7FFE0D090000
XINPUT9_1_0.dll               0x7FFE0E550000
WindowsCodecs.dll             0x7FFE0EF40000
d3d11.dll                     0x7FFE0F960000
dcomp.dll                     0x7FFE0FBC0000
CoreMessaging.dll             0x7FFE10250000
WINNSI.DLL                    0x7FFE107A0000
UxTheme.dll                   0x7FFE107B0000
dxcore.dll                    0x7FFE108D0000
dxgi.dll                      0x7FFE10910000
dwmapi.dll                    0x7FFE10A40000
DbgHelp.dll                   0x7FFE10B40000
resourcepolicyclient.dll      0x7FFE11220000
wintypes.dll                  0x7FFE11550000
windows.storage.dll           0x7FFE11690000
HID.DLL                       0x7FFE11F90000
IpHlpAPI.dll                  0x7FFE121F0000
DNSAPI.dll                    0x7FFE12220000
Secur32.dll                   0x7FFE125D0000
schannel.DLL                  0x7FFE12650000
rsaenh.dll                    0x7FFE12770000
UMPDC.dll                     0x7FFE127B0000
POWRPROF.dll                  0x7FFE12830000
kernel.appcore.dll            0x7FFE12880000
ntmarta.dll                   0x7FFE128A0000
SSPICLI.DLL                   0x7FFE12AF0000
MSWSOCK.dll                   0x7FFE12D10000
USERENV.dll                   0x7FFE12E20000
CRYPTSP.dll                   0x7FFE12F80000
CRYPTBASE.DLL                 0x7FFE12FA0000
wldp.dll                      0x7FFE13030000
NTASN1.dll                    0x7FFE130E0000
ncrypt.dll                    0x7FFE13120000
msasn1.dll                    0x7FFE13430000
devobj.dll                    0x7FFE13450000
DPAPI.DLL                     0x7FFE13480000
CFGMGR32.dll                  0x7FFE13490000
profapi.dll                   0x7FFE136C0000
gdi32full.dll                 0x7FFE13800000
ucrtbase.dll                  0x7FFE13920000
win32u.dll                    0x7FFE13A40000
bcryptPrimitives.dll          0x7FFE13A70000
bcrypt.dll                    0x7FFE13AF0000
CRYPT32.dll                   0x7FFE13B20000
msvcp_win.dll                 0x7FFE13C90000
KERNELBASE.dll                0x7FFE13DF0000
SETUPAPI.dll                  0x7FFE141A0000
WS2_32.dll                    0x7FFE14620000
shcore.dll                    0x7FFE146A0000
PSAPI.DLL                     0x7FFE147A0000
msvcrt.dll                    0x7FFE147B0000
USER32.dll                    0x7FFE14870000
ADVAPI32.dll                  0x7FFE14A80000
COMDLG32.dll                  0x7FFE14B40000
imagehlp.dll                  0x7FFE14C40000
NSI.dll                       0x7FFE14C80000
KERNEL32.DLL                  0x7FFE14CA0000
OLEAUT32.dll                  0x7FFE14E60000
GDI32.dll                     0x7FFE14F40000
clbcatq.dll                   0x7FFE14F70000
sechost.dll                   0x7FFE15020000
ole32.dll                     0x7FFE15120000
SHELL32.dll                   0x7FFE15510000
IMM32.DLL                     0x7FFE15D70000
RPCRT4.dll                    0x7FFE15DB0000
MSCTF.dll                     0x7FFE15ED0000
SHLWAPI.dll                   0x7FFE16020000
combase.dll                   0x7FFE16080000
ntdll.dll                     0x7FFE16450000
