XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000057680000
steam_api64.dll               0x000057690000
BakaFramework.dll             0x01B0AD400000
XDI.dll                       0x01B0B6810000
Fallout4.exe                  0x7FF6C10F0000
steamclient64.dll             0x7FFD0EAA0000
DiscordHook64.dll             0x7FFD1ABA0000
XAudio2_7.dll                 0x7FFD1AF70000
gameoverlayrenderer64.dll     0x7FFD1B000000
wsfw_identifier.dll           0x7FFD1B190000
WmkActiveEffects.dll          0x7FFD1B860000
SUP_F4SE.dll                  0x7FFD1BCE0000
RobCo_Patcher.dll             0x7FFD1BF10000
PRKF.dll                      0x7FFD1C000000
pppl.dll                      0x7FFD1C090000
PowerGridTools.dll            0x7FFD1C1F0000
NVIDIA_Reflex.dll             0x7FFD1C260000
LighthousePapyrusExtender.dll 0x7FFD1C330000
PipboyTabs.dll                0x7FFD1CC90000
mcm.dll                       0x7FFD1D730000
LongLoadingTimesFix.dll       0x7FFD1D7D0000
HighFPSPhysicsFix.dll         0x7FFD1D830000
FloatingDamage.dll            0x7FFD1DDF0000
faster_workshop.dll           0x7FFD1DE50000
f4ee.dll                      0x7FFD1DEB0000
ClassicHolsteredWeapons.dll   0x7FFD1DFC0000
BulletCountedReload.dll       0x7FFD1E070000
Buffout4.dll                  0x7FFD1E100000
BakaWaitAnywhere.dll          0x7FFD1E460000
f4se_1_10_163.dll             0x7FFD1E600000
tier0_s64.dll                 0x7FFD1E6E0000
vstdlib_s64.dll               0x7FFD1E880000
flexRelease_x64.dll           0x7FFD1E940000
cudart64_75.dll               0x7FFD20830000
GFSDK_GodraysLib.x64.dll      0x7FFD20890000
GFSDK_SSAO_D3D11.win64.dll    0x7FFD213C0000
flexExtRelease_x64.dll        0x7FFD21450000
hudextension.dll              0x7FFD3F430000
crafting_highlight_fix.dll    0x7FFD40680000
f4se_steam_loader.dll         0x7FFD40B10000
MSVCR110.dll                  0x7FFD40D50000
MSVCP110.dll                  0x7FFD40E30000
bink2w64.dll                  0x7FFD49190000
nvspcap64.dll                 0x7FFD5AAE0000
PriorityMod.dll               0x7FFD71390000
ResampleDmo.DLL               0x7FFD71A60000
DSOUND.DLL                    0x7FFD71B20000
WeaponDebrisCrashFix.dll      0x7FFD9D1B0000
