XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000053710000
steam_api64.dll                    0x000053720000
BakaFramework.dll                  0x0281BF990000
Fallout4.exe                       0x7FF68DF70000
steamclient64.dll                  0x7FF8D70A0000
gameoverlayrenderer64.dll          0x7FF8DFE40000
XAudio2_7.dll                      0x7FF9025A0000
XDI.dll                            0x7FF903000000
wsfw_identifier.dll                0x7FF9032C0000
WhoseQuestIsItAnywayF4.dll         0x7FF9033C0000
SprintSpeedController.dll          0x7FF903420000
RobCo_Patcher.dll                  0x7FF903470000
rename_anything.dll                0x7FF903560000
PowerGridTools.dll                 0x7FF9035B0000
po3_SpellPerkItemDistributorF4.dll 0x7FF903620000
place.dll                          0x7FF903730000
NVIDIA_Reflex.dll                  0x7FF9037B0000
mcm.dll                            0x7FF903880000
HighFPSPhysicsFix.dll              0x7FF903920000
FavoritesMenuEx.dll                0x7FF9039B0000
ClassicHolsteredWeapons.dll        0x7FF903A40000
Buffout4.dll                       0x7FF903AF0000
ResampleDmo.DLL                    0x7FF91B420000
DSOUND.DLL                         0x7FF91B4E0000
flexRelease_x64.dll                0x7FF91B6B0000
MSVCR110.dll                       0x7FF91BA20000
CCExtenderF4.dll                   0x7FF91BB40000
BakaScrapHeap.dll                  0x7FF91BBB0000
f4se_1_10_163.dll                  0x7FF91BD70000
tier0_s64.dll                      0x7FF91BE50000
vstdlib_s64.dll                    0x7FF91F1F0000
msdmo.dll                          0x7FF920B20000
usvfs_x64.dll                      0x7FF94DD40000
crafting_highlight_fix.dll         0x7FF94EFF0000
nvspcap64.dll                      0x7FF95C8B0000
BulletCountedReload.dll            0x7FF965BE0000
cudart64_75.dll                    0x7FF966310000
GFSDK_SSAO_D3D11.win64.dll         0x7FF966600000
MSVCP110.dll                       0x7FF966690000
BlockingOverhaul.dll               0x7FF967B90000
GFSDK_GodraysLib.x64.dll           0x7FF97CDB0000
bink2w64.dll                       0x7FF97CF80000
winmmbase.dll                      0x7FF98BB90000
MSVCP140.dll                       0x7FF98C0E0000
VCRUNTIME140_1.dll                 0x7FF98C1A0000
VCRUNTIME140.dll                   0x7FF98C1B0000
flexExtRelease_x64.dll             0x7FF98E290000
PriorityMod.dll                    0x7FF98ECE0000
BetterConsole.dll                  0x7FF98ED10000
TextShaping.dll                    0x7FF98F240000
textinputframework.dll             0x7FF990160000
encounter_zone_recalculation.dll   0x7FF993C40000
Windows.UI.dll                     0x7FF9945B0000
AUDIOSES.DLL                       0x7FF995EC0000
OneCoreCommonProxyStub.dll         0x7FF997310000
nvwgf2umx.dll                      0x7FF999810000
nvapi64.dll                        0x7FF99D8E0000
MMDevApi.dll                       0x7FF99E430000
f4se_steam_loader.dll              0x7FF99F320000
AmmoRemover.dll                    0x7FF99F390000
WeaponDebrisCrashFix.dll           0x7FF99F590000
SprintStutteringFix.dll            0x7FF99F9A0000
nvgpucomp64.dll                    0x7FF99FE60000
WINMM.dll                          0x7FF9A2080000
nvToolsExt64_1.dll                 0x7FF9A38D0000
MSVCP140_ATOMIC_WAIT.dll           0x7FF9A38E0000
COMCTL32.dll                       0x7FF9A3B60000
symamsi.dll                        0x7FF9A4280000
amsi.dll                           0x7FF9A4330000
wbemsvc.dll                        0x7FF9A4700000
fastprox.dll                       0x7FF9A48F0000
NvMessageBus.dll                   0x7FF9A4F20000
nvldumdx.dll                       0x7FF9A54D0000
wbemcomn.dll                       0x7FF9A58A0000
wbemprox.dll                       0x7FF9A5920000
