XINPUT1_3.dll                          0x000000400000
X3DAudio1_7.dll                        0x00006BA50000
steam_api64.dll                        0x00006BA60000
d3d11.dll                              0x000180000000
BakaFramework.dll                      0x0269A1CA0000
Fallout4.exe                           0x7FF72CD80000
PhysXDevice64.dll                      0x7FF988FE0000
XAudio2_7.dll                          0x7FF98AC40000
d3dcompiler_46e.dll                    0x7FF98AF40000
gameoverlayrenderer64.dll              0x7FF98B720000
wsfw_identifier.dll                    0x7FF98B8B0000
transfer_settlements.dll               0x7FF98B9B0000
terminal+.dll                          0x7FF98BC80000
XDI.dll                                0x7FF98BF10000
WhoseQuestIsItAnywayF4.dll             0x7FF98BF80000
ToYourFaceFO4.dll                      0x7FF98BFE0000
SprintSpeedController.dll              0x7FF98C030000
ShadowBoostFO4.dll                     0x7FF98C080000
RobCo_Patcher.dll                      0x7FF98C150000
rename_anything.dll                    0x7FF98C240000
ReloadFix.dll                          0x7FF98C290000
PrivateProfileRedirector.dll           0x7FF98C2E0000
PowerGridTools.dll                     0x7FF98C340000
po3_SpellPerkItemDistributorF4.dll     0x7FF98C3B0000
po3_SimpleOffenceSuppressionF4.dll     0x7FF98C4C0000
Buffout4.dll                           0x7FF98C550000
steamclient64.dll                      0x7FF98C8B0000
po3_BaseObjectSwapperF4.dll            0x7FF98E030000
NVIDIA_Reflex.dll                      0x7FF98E130000
mcm.dll                                0x7FF98E200000
D3DCOMPILER_43.dll                     0x7FF98E2A0000
place.dll                              0x7FF9972E0000
Outfit-ReDress-Fix.dll                 0x7FF9973F0000
LongLoadingTimesFix.dll                0x7FF997440000
CONCRT140.dll                          0x7FF9974A0000
HighFPSPhysicsFix.dll                  0x7FF9974F0000
Interior-NavCut-Fix.dll                0x7FF998820000
GLXRM_ScalingFlagRemover.dll           0x7FF999070000
GCBugFix.dll                           0x7FF9990C0000
GLXRM_FriendlyFire.dll                 0x7FF999DA0000
f4ee.dll                               0x7FF999DF0000
cudart64_75.dll                        0x7FF99A280000
flexRelease_x64.dll                    0x7FF99A2E0000
IPHLPAPI.DLL                           0x7FF99A430000
f4pm.dll                               0x7FF99ACE0000
DisableCompanionCollision.dll          0x7FF99AD50000
DirectHit.dll                          0x7FF99ADB0000
ClassicHolsteredWeapons.dll            0x7FF99AE10000
BulletCountedReload.dll                0x7FF99AEC0000
f4se_1_10_163.dll                      0x7FF99B040000
vstdlib_s64.dll                        0x7FF99B120000
GFSDK_GodraysLib.x64.dll               0x7FF99BB90000
GFSDK_SSAO_D3D11.win64.dll             0x7FF99CFD0000
MSVCR110.dll                           0x7FF99D060000
flexExtRelease_x64.dll                 0x7FF9A0EB0000
MSVCP110.dll                           0x7FF9A0FF0000
bink2w64.dll                           0x7FF9A2520000
pppl.dll                               0x7FF9A28F0000
nvcuda64.dll                           0x7FF9B1A00000
nvcuda.dll                             0x7FF9B23B0000
GLXRM_FireRateShowsRPM.dll             0x7FF9EE650000
crafting_highlight_fix.dll             0x7FF9FD960000
tier0_s64.dll                          0x7FF9FD9B0000
enbhelperf4.dll                        0x7FF9FDCF0000
ConsoleUtilF4.dll                      0x7FF9FDD70000
BetterConsole.dll                      0x7FFA08A50000
ResampleDmo.DLL                        0x7FFA08CD0000
DSOUND.DLL                             0x7FFA096D0000
BlockingOverhaul.dll                   0x7FFA0BC70000
Bastion.dll                            0x7FFA0C2B0000
usvfs_x64.dll                          0x7FFA0C360000
f4se_steam_loader.dll                  0x7FFA0E3E0000
nvspcap64.dll                          0x7FFA13CF0000
xinput1_4.dll                          0x7FFA1ACB0000
encounter_zone_recalculation.dll       0x7FFA1CD90000
ArmorPenetrationBugFix.dll             0x7FFA1CDC0000
AmmoRemover.dll                        0x7FFA20D10000
WeaponDebrisCrashFix.dll               0x7FFA23100000
WINSPOOL.DRV                           0x7FFA24420000
msdmo.dll                              0x7FFA24E80000
Windows.UI.dll                         0x7FFA2A120000
textinputframework.dll                 0x7FFA2A2E0000
ApplicationTargetedFeatureDatabase.dll 0x7FFA2A6E0000
Oleacc.dll                             0x7FFA2CBD0000
MSIMG32.dll                            0x7FFA2CC40000
d3dx11_43.dll                          0x7FFA2CF70000
SprintStutteringFix.dll                0x7FFA2CFC0000
nvToolsExt64_1.dll                     0x7FFA2EDB0000
inputhost.dll                          0x7FFA2F370000
OneCoreCommonProxyStub.dll             0x7FFA2FFD0000
AUDIOSES.DLL                           0x7FFA31490000
COMCTL32.dll                           0x7FFA316E0000
webio.dll                              0x7FFA32340000
nvwgf2umx.dll                          0x7FFA354B0000
winmmbase.dll                          0x7FFA3EDE0000
VCRUNTIME140_1.dll                     0x7FFA3EEB0000
MSVCP140.dll                           0x7FFA3EF70000
VCRUNTIME140.dll                       0x7FFA3F070000
ncryptsslp.dll                         0x7FFA3FF60000
nvgpucomp64.dll                        0x7FFA409D0000
MMDevApi.dll                           0x7FFA43080000
DbgHelp.dll                            0x7FFA43410000
MpOav.dll                              0x7FFA441A0000
amsi.dll                               0x7FFA44220000
wbemsvc.dll                            0x7FFA445C0000
fastprox.dll                           0x7FFA445E0000
MessageBus.dll                         0x7FFA44950000
wbemcomn.dll                           0x7FFA450F0000
wbemprox.dll                           0x7FFA45170000
nvapi64.dll                            0x7FFA45180000
drvstore.dll                           0x7FFA45BC0000
cryptnet.dll                           0x7FFA45D20000
VERSION.dll                            0x7FFA45DD0000
nvldumdx.dll                           0x7FFA45DE0000
OneCoreUAPCommonProxyStub.dll          0x7FFA46CC0000
WINMM.dll                              0x7FFA473E0000
twinapi.appcore.dll                    0x7FFA474A0000
rasadhlp.dll                           0x7FFA47920000
fwpuclnt.dll                           0x7FFA47A70000
dhcpcsvc.DLL                           0x7FFA48D70000
WINHTTP.dll                            0x7FFA48DE0000
dhcpcsvc6.DLL                          0x7FFA48F40000
CoreUIComponents.dll                   0x7FFA49CA0000
avrt.dll                               0x7FFA4AAF0000
directxdatabasehelper.dll              0x7FFA4AE20000
D3DCOMPILER_47.dll                     0x7FFA4B470000
WindowsCodecs.dll                      0x7FFA4B860000
d3d11.dll                              0x7FFA4BC90000
dcomp.dll                              0x7FFA4C4E0000
CoreMessaging.dll                      0x7FFA4CB50000
UxTheme.dll                            0x7FFA4CF30000
dxgi.dll                               0x7FFA4D0A0000
dwmapi.dll                             0x7FFA4D1B0000
WINNSI.DLL                             0x7FFA4D1E0000
dxcore.dll                             0x7FFA4D220000
resourcepolicyclient.dll               0x7FFA4D5A0000
wintypes.dll                           0x7FFA4D8B0000
windows.storage.dll                    0x7FFA4D9F0000
HID.DLL                                0x7FFA4E2F0000
IpHlpAPI.dll                           0x7FFA4E5C0000
DNSAPI.dll                             0x7FFA4E5F0000
UMPDC.dll                              0x7FFA4E900000
POWRPROF.dll                           0x7FFA4E920000
Secur32.dll                            0x7FFA4E990000
schannel.DLL                           0x7FFA4EA10000
rsaenh.dll                             0x7FFA4EB20000
kernel.appcore.dll                     0x7FFA4EBC0000
ntmarta.dll                            0x7FFA4EBE0000
SSPICLI.DLL                            0x7FFA4EE30000
MSWSOCK.dll                            0x7FFA4F040000
USERENV.dll                            0x7FFA4F100000
CRYPTSP.dll                            0x7FFA4F270000
CRYPTBASE.DLL                          0x7FFA4F290000
wldp.dll                               0x7FFA4F380000
NTASN1.dll                             0x7FFA4F430000
ncrypt.dll                             0x7FFA4F470000
msasn1.dll                             0x7FFA4F770000
devobj.dll                             0x7FFA4F790000
CFGMGR32.dll                           0x7FFA4F7C0000
DPAPI.DLL                              0x7FFA4F830000
profapi.dll                            0x7FFA4FA00000
CRYPT32.dll                            0x7FFA4FAD0000
ucrtbase.dll                           0x7FFA4FC40000
wintrust.dll                           0x7FFA4FD60000
bcrypt.dll                             0x7FFA4FDD0000
KERNELBASE.dll                         0x7FFA4FE00000
gdi32full.dll                          0x7FFA501B0000
bcryptPrimitives.dll                   0x7FFA502D0000
win32u.dll                             0x7FFA50350000
msvcp_win.dll                          0x7FFA50380000
OLEAUT32.dll                           0x7FFA504E0000
imagehlp.dll                           0x7FFA505C0000
MSCTF.dll                              0x7FFA505E0000
ADVAPI32.dll                           0x7FFA50740000
RPCRT4.dll                             0x7FFA50800000
COMDLG32.dll                           0x7FFA50920000
msvcrt.dll                             0x7FFA50A20000
IMM32.DLL                              0x7FFA50AD0000
shcore.dll                             0x7FFA50B80000
GDI32.dll                              0x7FFA50C80000
NSI.dll                                0x7FFA50CB0000
sechost.dll                            0x7FFA50CC0000
SHELL32.dll                            0x7FFA50D80000
combase.dll                            0x7FFA515E0000
SETUPAPI.dll                           0x7FFA51970000
SHLWAPI.dll                            0x7FFA51DF0000
KERNEL32.DLL                           0x7FFA52170000
ole32.dll                              0x7FFA52240000
WS2_32.dll                             0x7FFA52460000
PSAPI.DLL                              0x7FFA524E0000
clbcatq.dll                            0x7FFA524F0000
USER32.dll                             0x7FFA525A0000
ntdll.dll                              0x7FFA52790000
