XINPUT1_3.dll                      0x000000400000
steam_api64.dll                    0x0000697B0000
X3DAudio1_7.dll                    0x000069820000
d3d11.dll                          0x000180000000
LL_fourPlay_1_10_163.dll           0x0166BDFC0000
wintrust.dll                       0x0166ED390000
Fallout4.exe                       0x7FF7D0620000
nvcuda64.dll                       0x7FFF2DA80000
nvspcap64.dll                      0x7FFF2F030000
XAudio2_7.dll                      0x7FFF57D20000
NvCamera64.dll                     0x7FFF58130000
steamclient64.dll                  0x7FFF589A0000
d3dcompiler_47_64.dll              0x7FFF5DAC0000
d3dcompiler_46e.dll                0x7FFF5ECD0000
gameoverlayrenderer64.dll          0x7FFF5F310000
wsfw_identifier.dll                0x7FFF5F930000
DINPUT8.dll                        0x7FFF5FE90000
WmkActiveEffects.dll               0x7FFF5FFC0000
SUP_F4SE.dll                       0x7FFF60040000
UneducatedShooter.dll              0x7FFF60790000
ShieldFramework.dll                0x7FFF60810000
RobCo_Patcher.dll                  0x7FFF60890000
ProjectMojave.dll                  0x7FFF60980000
PRKF.dll                           0x7FFF60A00000
PowerGridTools.dll                 0x7FFF60A90000
po3_SpellPerkItemDistributorF4.dll 0x7FFF60B00000
po3_SimpleOffenceSuppressionF4.dll 0x7FFF60C10000
place.dll                          0x7FFF60CA0000
PipboyTabs.dll                     0x7FFF60D20000
mcm.dll                            0x7FFF60D80000
ImmersiveDamage.dll                0x7FFF60E20000
HHS.dll                            0x7FFF60E80000
f4ee.dll                           0x7FFF60F70000
SettlementOfUnlimitedSize.dll      0x7FFF64200000
DSOUND.DLL                         0x7FFF64250000
GCBugFix.dll                       0x7FFF64300000
f4pm.dll                           0x7FFF64360000
EscapeFreeze.dll                   0x7FFF643D0000
GLXRM_FlashlightHolster.dll        0x7FFF644C0000
ESPExplorer.dll                    0x7FFF64510000
Buffout4.dll                       0x7FFF64560000
ClassicHolsteredWeapons.dll        0x7FFF64A10000
BakaScrapHeap.dll                  0x7FFF64AC0000
BakaFramework.dll                  0x7FFF64B90000
tier0_s64.dll                      0x7FFF64C80000
D3DCOMPILER_43.dll                 0x7FFF64E20000
f4se_1_10_163.dll                  0x7FFF651B0000
flexRelease_x64.dll                0x7FFF65290000
cbp.dll                            0x7FFF656F0000
BulletCountedReload.dll            0x7FFF65FE0000
EnergyWeaponCalcFix.dll            0x7FFF66260000
vstdlib_s64.dll                    0x7FFF67620000
MSVCR110.dll                       0x7FFF67890000
BetterConsole.dll                  0x7FFF75930000
cudart64_75.dll                    0x7FFF7A040000
MessageBus.dll                     0x7FFF7A300000
GFSDK_GodraysLib.x64.dll           0x7FFF7D070000
MSVCP140.dll                       0x7FFF7ECF0000
VCRUNTIME140.dll                   0x7FFF7ED80000
VCRUNTIME140_1.dll                 0x7FFF7F490000
encounter_zone_recalculation.dll   0x7FFF80710000
GFSDK_SSAO_D3D11.win64.dll         0x7FFF80740000
Bastion.dll                        0x7FFF80A90000
flexExtRelease_x64.dll             0x7FFF81330000
MSVCP110.dll                       0x7FFF81390000
enbhelperf4.dll                    0x7FFF87540000
d3dx11_43.dll                      0x7FFF8A3D0000
achievements.dll                   0x7FFF8A770000
bink2w64.dll                       0x7FFF8A7B0000
winmmbase.dll                      0x7FFF8C2E0000
f4se_steam_loader.dll              0x7FFF8E410000
Windows.UI.dll                     0x7FFF8E7C0000
ExamplePlugin.dllplugin            0x7FFF8E970000
inputhost.dll                      0x7FFF8F0E0000
Secur32.dll                        0x7FFF8FBF0000
AUDIOSES.DLL                       0x7FFF90460000
textinputframework.dll             0x7FFF905F0000
nvwgf2umx.dll                      0x7FFF908A0000
NvMessageBus.dll                   0x7FFF95220000
WININET.dll                        0x7FFF96BD0000
nvgpucomp64.dll                    0x7FFF97660000
nvapi64.dll                        0x7FFF99880000
COMCTL32.dll                       0x7FFF9C1F0000
gdiplus.dll                        0x7FFF9C490000
nvldumdx.dll                       0x7FFF9DA90000
dbghelp.dll                        0x7FFF9DB50000
WINMM.dll                          0x7FFF9DD60000
dxcore.dll                         0x7FFF9E060000
MMDevApi.dll                       0x7FFF9F280000
drvstore.dll                       0x7FFFA00F0000
cryptnet.dll                       0x7FFFA02B0000
WINHTTP.dll                        0x7FFFA09C0000
WindowsCodecs.dll                  0x7FFFA1760000
twinapi.appcore.dll                0x7FFFA1C40000
