XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x0000542E0000
steam_api64.dll                    0x0000542F0000
d3d11.dll                          0x000180000000
Buffout4.dll                       0x02699FDD0000
COMDLG32.dll                       0x0269A9270000
wintrust.dll                       0x026ABAF90000
Fallout4.exe                       0x7FF6708D0000
nvspcap64.dll                      0x7FF802C90000
flexExtRelease_x64.dll             0x7FF806DD0000
f4se_steam_loader.dll              0x7FF8090E0000
MSVCP110.dll                       0x7FF809120000
bink2w64.dll                       0x7FF8091D0000
d3dx11_43.dll                      0x7FF814D20000
usvfs_x64.dll                      0x7FF823640000
ondemandconnroutehelper.dll        0x7FF825FE0000
nvToolsExt64_1.dll                 0x7FF8269F0000
XInput1_4.dll                      0x7FF826A30000
vstdlib_s64.dll                    0x7FF826A50000
xinput9_1_0.dll                    0x7FF8274C0000
inputhost.dll                      0x7FF828A70000
nvwgf2umx.dll                      0x7FF8296D0000
nvgpucomp64.dll                    0x7FF82D8C0000
nvldumdx.dll                       0x7FF82FF60000
CoreUIComponents.dll               0x7FF831E40000
directxdatabasehelper.dll          0x7FF8324A0000
Windows.UI.dll                     0x7FF832540000
textinputframework.dll             0x7FF832FD0000
ncryptsslp.dll                     0x7FF834050000
COMCTL32.dll                       0x7FF8362D0000
WININET.dll                        0x7FF8379B0000
AUDIOSES.DLL                       0x7FF83B030000
iertutil.dll                       0x7FF83EF40000
urlmon.dll                         0x7FF83F950000
srvcli.dll                         0x7FF83FED0000
webio.dll                          0x7FF8405A0000
VCRUNTIME140_1.dll                 0x7FF840660000
MSVCP140.dll                       0x7FF840770000
winmmbase.dll                      0x7FF840800000
VCRUNTIME140.dll                   0x7FF8408B0000
MpOav.dll                          0x7FF842C40000
amsi.dll                           0x7FF842CD0000
wbemsvc.dll                        0x7FF842D90000
fastprox.dll                       0x7FF842E30000
NvMessageBus.dll                   0x7FF843170000
wbemcomn.dll                       0x7FF8434D0000
nvapi64.dll                        0x7FF843D20000
msdmo.dll                          0x7FF846530000
wbemprox.dll                       0x7FF846F00000
rasadhlp.dll                       0x7FF847230000
MMDevApi.dll                       0x7FF8472D0000
drvstore.dll                       0x7FF8481C0000
cryptnet.dll                       0x7FF848320000
fwpuclnt.dll                       0x7FF848360000
dhcpcsvc.DLL                       0x7FF8487F0000
WINMM.dll                          0x7FF848C40000
WINHTTP.dll                        0x7FF848C80000
VERSION.dll                        0x7FF848FB0000
dhcpcsvc6.DLL                      0x7FF848FC0000
avrt.dll                           0x7FF849530000
WindowsCodecs.dll                  0x7FF849BD0000
d3dcompiler_47.dll                 0x7FF849D80000
d3d11.dll                          0x7FF84A3F0000
dcomp.dll                          0x7FF84AC40000
CoreMessaging.dll                  0x7FF84AEA0000
WINNSI.DLL                         0x7FF84B730000
uxtheme.dll                        0x7FF84B770000
dxcore.dll                         0x7FF84B880000
dxgi.dll                           0x7FF84B9B0000
dwmapi.dll                         0x7FF84BBB0000
resourcepolicyclient.dll           0x7FF84BC30000
dbghelp.dll                        0x7FF84BF20000
wintypes.dll                       0x7FF84C4F0000
windows.storage.dll                0x7FF84C630000
HID.DLL                            0x7FF84CF30000
netutils.dll                       0x7FF84D180000
IPHLPAPI.DLL                       0x7FF84D1D0000
DNSAPI.dll                         0x7FF84D250000
Secur32.dll                        0x7FF84D550000
schannel.DLL                       0x7FF84D5D0000
rsaenh.dll                         0x7FF84D6E0000
kernel.appcore.dll                 0x7FF84D780000
ntmarta.dll                        0x7FF84D7A0000
UMPDC.dll                          0x7FF84D990000
POWRPROF.dll                       0x7FF84DA10000
SSPICLI.DLL                        0x7FF84DA60000
MSWSOCK.dll                        0x7FF84DC80000
USERENV.dll                        0x7FF84DD70000
CRYPTSP.dll                        0x7FF84DED0000
CRYPTBASE.DLL                      0x7FF84DEF0000
wldp.dll                           0x7FF84DF80000
NTASN1.dll                         0x7FF84E030000
ncrypt.dll                         0x7FF84E070000
msasn1.dll                         0x7FF84E370000
devobj.dll                         0x7FF84E390000
CFGMGR32.dll                       0x7FF84E3E0000
DPAPI.DLL                          0x7FF84E430000
profapi.dll                        0x7FF84E600000
win32u.dll                         0x7FF84E6D0000
bcryptPrimitives.dll               0x7FF84E700000
gdi32full.dll                      0x7FF84E7F0000
KERNELBASE.dll                     0x7FF84E910000
msvcp_win.dll                      0x7FF84ECC0000
CRYPT32.dll                        0x7FF84ED60000
bcrypt.dll                         0x7FF84EF90000
ucrtbase.dll                       0x7FF84EFC0000
RPCRT4.dll                         0x7FF84F0E0000
msvcrt.dll                         0x7FF84F200000
MSCTF.dll                          0x7FF84F2B0000
combase.dll                        0x7FF84F420000
SETUPAPI.dll                       0x7FF84F7B0000
OLEAUT32.dll                       0x7FF84FC90000
GDI32.dll                          0x7FF84FD70000
SHELL32.dll                        0x7FF84FF20000
USER32.dll                         0x7FF850780000
NSI.dll                            0x7FF850930000
clbcatq.dll                        0x7FF850B00000
SHCORE.dll                         0x7FF850BB0000
ADVAPI32.dll                       0x7FF850CD0000
ole32.dll                          0x7FF850D90000
KERNEL32.DLL                       0x7FF850FA0000
shlwapi.dll                        0x7FF851070000
IMM32.dll                          0x7FF851120000
sechost.dll                        0x7FF851160000
PSAPI.DLL                          0x7FF8512A0000
WS2_32.dll                         0x7FF8512B0000
imagehlp.dll                       0x7FF851330000
ntdll.dll                          0x7FF851390000
ResampleDmo.DLL                    0x7FFF81490000
DSOUND.DLL                         0x7FFF998C0000
XAudio2_7.dll                      0x7FFF9C8B0000
d3dcompiler_46e.dll                0x7FFF9C940000
gameoverlayrenderer64.dll          0x7FFF9CD00000
XDI.dll                            0x7FFF9CEA0000
wsfw_identifier.dll                0x7FFF9CF10000
enbhelperf4.dll                    0x7FFF9D010000
steamclient64.dll                  0x7FFF9D330000
D3DCOMPILER_43.dll                 0x7FFF9E9A0000
dxgi.dll                           0x7FFF9EC10000
po3_SimpleOffenceSuppressionF4.dll 0x7FFF9F0A0000
mcm.dll                            0x7FFF9F130000
PowerGridTools.dll                 0x7FFF9FA00000
HighFPSPhysicsFix.dll              0x7FFF9FA70000
f4ee.dll                           0x7FFF9FB00000
place.dll                          0x7FFF9FC40000
cbp.dll                            0x7FFF9FCC0000
flexRelease_x64.dll                0x7FFF9FD80000
BakaScrapHeap.dll                  0x7FFF9FF20000
f4se_1_10_163.dll                  0x7FFFA0350000
tier0_s64.dll                      0x7FFFA0430000
BakaWaitAnywhere.dll               0x7FFFA0BE0000
MSVCR110.dll                       0x7FFFA0C50000
SimpleCheatMenu.dll                0x7FFFA6F00000
cudart64_75.dll                    0x7FFFA74C0000
GFSDK_GodraysLib.x64.dll           0x7FFFA7B70000
GFSDK_SSAO_D3D11.win64.dll         0x7FFFAC120000
GLXRM_NoWaterJump.dll              0x7FFFAC550000
