X3DAudio1_7.dll                    0x000000690000
MSVCP110.dll                       0x0000006A0000
MSVCR110.dll                       0x000000750000
flexRelease_x64.dll                0x000000830000
cudart64_75.dll                    0x000000980000
flexExtRelease_x64.dll             0x0000009E0000
nvToolsExt64_1.dll                 0x000000A40000
GFSDK_SSAO_D3D11.win64.dll         0x000000A50000
GFSDK_GodraysLib.x64.dll           0x000000AE0000
f4se_steam_loader.dll              0x0000013A0000
usvfs_x64.dll                      0x0000013E0000
f4se_1_10_163.dll                  0x000003970000
AmmoRemover.dll                    0x000003A50000
ArmorPenetrationBugFix.dll         0x000003A80000
AutoBeam.dll                       0x000005300000
BakaFramework.dll                  0x000006B90000
BakaMaxPapyrusOps.dll              0x0000084B0000
BakaScrapHeap.dll                  0x00000A190000
Bastion.dll                        0x00000BA90000
BlockingOverhaul.dll               0x00000D310000
BodyPartsUI.dll                    0x00000EB90000
Buffout4.dll                       0x000010410000
CRYPT32.dll                        0x000010770000
BulletCountedReload.dll            0x000012170000
cbp.dll                            0x000012200000
CCExtenderF4.dll                   0x000012270000
ClassicHolsteredWeapons.dll        0x000013B10000
crafting_highlight_fix.dll         0x000013BC0000
DirectHit.dll                      0x000013C10000
f4ee.dll                           0x0000154A0000
F4z Ro D'oh.dll                    0x0000155B0000
FloatingDamage.dll                 0x000015620000
GardenOfEdenPapyrusExtender.dll    0x000015680000
GCBugFix.dll                       0x000017090000
GLXRM_FireRateShowsRPM.dll         0x000018B20000
GLXRM_FriendlyFire.dll             0x00001A3A0000
GLXRM_ScalingFlagRemover.dll       0x00001BC20000
HHS.dll                            0x00001D4A0000
HighFPSPhysicsFix.dll              0x00001D590000
Interior-NavCut-Fix.dll            0x00001D620000
LighthousePapyrusExtender.dll      0x00001EEA0000
LongLoadingTimesFix.dll            0x000020800000
mcm.dll                            0x000020860000
Outfit-ReDress-Fix.dll             0x000020900000
place.dll                          0x000022180000
po3_SimpleOffenceSuppressionF4.dll 0x000022200000
po3_SpellPerkItemDistributorF4.dll 0x000023AC0000
PowerGridTools.dll                 0x000025400000
PrivateProfileRedirector.dll       0x000025470000
ReloadFix.dll                      0x0000254D0000
RememberPickAngleUpdated.dll       0x000026D50000
RobCo_Patcher.dll                  0x000027580000
SprintSpeedController.dll          0x000028EA0000
SprintStutteringFix.dll            0x00002A720000
SUP_F4SE.dll                       0x00002A740000
ToYourFaceFO4.dll                  0x00002A970000
UneducatedShooter.dll              0x00002C1F0000
UnlimitedSurvivalMode.dll          0x00002DAA0000
WhoseQuestIsItAnywayF4.dll         0x00002DAF0000
wsfw_identifier.dll                0x00002F380000
XDI.dll                            0x00002F480000
gameoverlayrenderer64.dll          0x000032DC0000
XAudio2_7.dll                      0x00003A270000
steam_api64.dll                    0x00003B400000
kernelbase.dll                     0x00007B000000
kernel32.dll                       0x00007B600000
steamclient64.dll                  0x000138000000
Fallout4.exe                       0x000140000000
ntdll.dll                          0x000170000000
bink2w64.dll                       0x000180000000
rsaenh.dll                         0x0001CCDD0000
Kerberos.dll                       0x0001CE760000
oleaut32.dll                       0x0001D0E20000
ADVAPI32.dll                       0x0001D8C90000
sechost.dll                        0x0001EAF60000
wbemprox.dll                       0x0001ED480000
WINHTTP.dll                        0x0001EFE00000
ole32.dll                          0x00020B860000
mmdevapi.dll                       0x00020F400000
user32.dll                         0x0002169D0000
COMDLG32.dll                       0x000222ED0000
winspool.drv                       0x000223D50000
msvcrt.dll                         0x000228280000
SHELL32.dll                        0x00023BC00000
dbghelp.dll                        0x00023ECB0000
mpr.dll                            0x000250CD0000
winex11.drv                        0x000251D80000
schannel.dll                       0x00025C0B0000
version.dll                        0x00025DC30000
vcruntime140.dll                   0x0002605D0000
PSAPI.DLL                          0x000267930000
nsi.dll                            0x00026C190000
uxtheme.dll                        0x00026C230000
WINMM.dll                          0x0002945E0000
dnsapi.dll                         0x000296590000
MSVCP140_ATOMIC_WAIT.dll           0x00029EF90000
shlwapi.dll                        0x0002A2380000
VCRUNTIME140_1.dll                 0x0002AC810000
gdi32.dll                          0x0002BB0A0000
shcore.dll                         0x0002BDE30000
win32u.dll                         0x0002C73A0000
ucrtbase.dll                       0x0002C7470000
winevulkan.dll                     0x0002D4AD0000
hid.dll                            0x0002E0D50000
XINPUT1_3.dll                      0x0002E99A0000
winepulse.drv                      0x0002EB230000
jsproxy.dll                        0x0002EB680000
dxgi.dll                           0x0002EDF00000
bcrypt.dll                         0x0002EE630000
comctl32.dll                       0x0002FB3C0000
concrt140.dll                      0x0002FBA30000
gdiplus.dll                        0x00030A8A0000
compstui.dll                       0x000313390000
avrt.dll                           0x00031B140000
MSVCP140.dll                       0x00031BEF0000
combase.dll                        0x00031C5D0000
DSOUND.DLL                         0x000343520000
WININET.dll                        0x000345640000
msacm32.dll                        0x000351A60000
d3d11.dll                          0x000359050000
rpcrt4.dll                         0x000368420000
setupapi.dll                       0x00036D860000
ws2_32.dll                         0x000370F70000
imm32.dll                          0x000393730000
IPHLPAPI.DLL                       0x0003982D0000
secur32.dll                        0x0003AFEF0000
lsteamclient.dll                   0x7FA662F80000
