XINPUT1_3.dll               0x000000400000
X3DAudio1_7.dll             0x000050020000
steam_api64.dll             0x000050030000
Fallout4.exe                0x7FF7C9360000
nvwgf2umx.dll               0x7FFD873C0000
steamclient64.dll           0x7FFD9F000000
msdmo.dll                   0x7FFDBCCE0000
winmmbase.dll               0x7FFDBCCF0000
ResampleDmo.DLL             0x7FFDBCD20000
DSOUND.DLL                  0x7FFDBCE20000
nvspcap64.dll               0x7FFDC0010000
Buffout4.dll                0x7FFDC02F0000
dxgi.dll                    0x7FFDC0C40000
XAudio2_7.dll               0x7FFDC3880000
nvldumdx.dll                0x7FFDC5A30000
gameoverlayrenderer64.dll   0x7FFDC6180000
RobCo_Patcher.dll           0x7FFDC7530000
po3_BaseObjectSwapperF4.dll 0x7FFDC7AC0000
FakeThroughScope.dll        0x7FFDC7DD0000
BakaFramework.dll           0x7FFDC7EB0000
WeaponsFramework.dll        0x7FFDCA570000
f4se_1_10_163.dll           0x7FFDCBEF0000
BakaScrapHeap.dll           0x7FFDCC770000
tier0_s64.dll               0x7FFDCC840000
vstdlib_s64.dll             0x7FFDCCD60000
XDI.dll                     0x7FFDCE350000
UneducatedShooter.dll       0x7FFDCE620000
mcm.dll                     0x7FFDCE790000
flexRelease_x64.dll         0x7FFDD0B10000
HighFPSPhysicsFix.dll       0x7FFDD2220000
nvgpucomp64.dll             0x7FFDD6120000
SideAim.dll                 0x7FFDDC390000
ImmersiveDamage.dll         0x7FFDDC410000
ncryptsslp.dll              0x7FFDE9BE0000
f4pm.dll                    0x7FFDE9F10000
BulletCountedReload.dll     0x7FFDEA040000
cudart64_75.dll             0x7FFDEA0D0000
GFSDK_SSAO_D3D11.win64.dll  0x7FFDEB730000
MSVCR110.dll                0x7FFDEB800000
MSVCP110.dll                0x7FFDEBF80000
crafting_highlight_fix.dll  0x7FFDEC580000
GFSDK_GodraysLib.x64.dll    0x7FFDEC690000
BodyPartsUI.dll             0x7FFDEFDA0000
flexExtRelease_x64.dll      0x7FFDEFEE0000
bink2w64.dll                0x7FFDEFF40000
f4se_steam_loader.dll       0x7FFDF02C0000
webio.dll                   0x7FFDF2D80000
ondemandconnroutehelper.dll 0x7FFDF2F90000
WININET.dll                 0x7FFDF31C0000
amsi.dll                    0x7FFDFDFC0000
Windows.UI.dll              0x7FFDFEC00000
VCRUNTIME140_1.dll          0x7FFDFF870000
VCRUNTIME140.dll            0x7FFDFF880000
MSVCP140.dll                0x7FFDFF8A0000
inputhost.dll               0x7FFDFFEC0000
iertutil.dll                0x7FFE020B0000
urlmon.dll                  0x7FFE02370000
textinputframework.dll      0x7FFE02840000
AUDIOSES.DLL                0x7FFE02F00000
NvMessageBus.dll            0x7FFE04130000
amdihk64.dll                0x7FFE044E0000
atidxx64.dll                0x7FFE04760000
atiuxp64.dll                0x7FFE066E0000
nvapi64.dll                 0x7FFE06720000
aticfx64.dll                0x7FFE06F60000
MMDevApi.dll                0x7FFE071F0000
CoreUIComponents.dll        0x7FFE09FC0000
fastprox.dll                0x7FFE0A5D0000
wbemsvc.dll                 0x7FFE0A7F0000
drvstore.dll                0x7FFE0B4F0000
cryptnet.dll                0x7FFE0B660000
VERSION.dll                 0x7FFE0B6A0000
wbemprox.dll                0x7FFE0BF80000
rasadhlp.dll                0x7FFE0BF90000
srvcli.dll                  0x7FFE0CA40000
wbemcomn.dll                0x7FFE0CE70000
fwpuclnt.dll                0x7FFE0D210000
WINMM.dll                   0x7FFE0D320000
avrt.dll                    0x7FFE0D650000
directxdatabasehelper.dll   0x7FFE0D660000
dhcpcsvc.DLL                0x7FFE0E290000
dhcpcsvc6.DLL               0x7FFE0E390000
WINHTTP.dll                 0x7FFE0E790000
xinput1_4.dll               0x7FFE0EF80000
D3DCOMPILER_47.dll          0x7FFE0F990000
d3d11.dll                   0x7FFE10690000
dcomp.dll                   0x7FFE11220000
CoreMessaging.dll           0x7FFE118A0000
nvToolsExt64_1.dll          0x7FFE11C20000
apphelp.dll                 0x7FFE11CF0000
uxtheme.dll                 0x7FFE11DF0000
dxgi.dll                    0x7FFE11F60000
dwmapi.dll                  0x7FFE12070000
WINNSI.DLL                  0x7FFE120A0000
dxcore.dll                  0x7FFE120E0000
resourcepolicyclient.dll    0x7FFE12460000
dbghelp.dll                 0x7FFE12670000
wintypes.dll                0x7FFE12A80000
windows.storage.dll         0x7FFE12BC0000
HID.DLL                     0x7FFE134C0000
netutils.dll                0x7FFE13710000
IPHLPAPI.DLL                0x7FFE13790000
DNSAPI.dll                  0x7FFE13800000
UMPDC.dll                   0x7FFE13AC0000
powrprof.dll                0x7FFE13AE0000
Secur32.dll                 0x7FFE13B60000
schannel.DLL                0x7FFE13BD0000
rsaenh.dll                  0x7FFE13CE0000
kernel.appcore.dll          0x7FFE13D20000
ntmarta.dll                 0x7FFE13DA0000
SSPICLI.DLL                 0x7FFE13FE0000
MSWSOCK.dll                 0x7FFE14200000
CRYPTBASE.DLL               0x7FFE14450000
CRYPTSP.dll                 0x7FFE14460000
wldp.dll                    0x7FFE14500000
NTASN1.dll                  0x7FFE145B0000
ncrypt.dll                  0x7FFE145F0000
devobj.dll                  0x7FFE148F0000
msasn1.dll                  0x7FFE14920000
CFGMGR32.dll                0x7FFE14940000
DPAPI.DLL                   0x7FFE149B0000
profapi.dll                 0x7FFE14B80000
bcryptPrimitives.dll        0x7FFE14C50000
msvcp_win.dll               0x7FFE14CD0000
bcrypt.dll                  0x7FFE14D70000
wintrust.dll                0x7FFE14DA0000
CRYPT32.dll                 0x7FFE14E10000
ucrtbase.dll                0x7FFE15040000
gdi32full.dll               0x7FFE15160000
win32u.dll                  0x7FFE15280000
KERNELBASE.dll              0x7FFE152B0000
USER32.dll                  0x7FFE156E0000
clbcatq.dll                 0x7FFE15890000
OLEAUT32.dll                0x7FFE159C0000
sechost.dll                 0x7FFE15AF0000
SHCORE.dll                  0x7FFE15BA0000
ole32.dll                   0x7FFE15D00000
shlwapi.dll                 0x7FFE15EA0000
ADVAPI32.dll                0x7FFE15F00000
imagehlp.dll                0x7FFE15FC0000
KERNEL32.DLL                0x7FFE15FE0000
