XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000071530000
d3d11.dll                          0x000180000000
F4z Ro D'oh.dll                    0x019FD9200000
Fallout4.exe                       0x7FF714FD0000
nvcuda64.dll                       0x7FFD97C20000
nvcuda.dll                         0x7FFD985D0000
PhysXDevice64.dll                  0x7FFDA71F0000
nvspcap64.dll                      0x7FFDA72B0000
d3dcompiler_46e.dll                0x7FFDA7590000
nvwgf2umx.dll                      0x7FFDA7A70000
nvgpucomp64.dll                    0x7FFDACE90000
XAudio2_7.dll                      0x7FFDB3830000
XDI.dll                            0x7FFDB3A20000
wsfw_identifier.dll                0x7FFDB3A90000
WhoseQuestIsItAnywayF4.dll         0x7FFDB3B90000
WeightlessItems.dll                0x7FFDB3BF0000
vertibird_jump.dll                 0x7FFDB3C40000
UnlimitedSurvivalMode.dll          0x7FFDB3C90000
SUP_F4SE.dll                       0x7FFDB3CE0000
ShadowBoostFO4.dll                 0x7FFDB3F90000
RobCo_Patcher.dll                  0x7FFDB4060000
ToYourFaceFO4.dll                  0x7FFDB47C0000
SimpleImpact.dll                   0x7FFDB51B0000
SprintSpeedController.dll          0x7FFDB5C20000
SettlementOfUnlimitedSize.dll      0x7FFDBAF40000
po3_SpellPerkItemDistributorF4.dll 0x7FFDC2E50000
PRKF.dll                           0x7FFDC37C0000
ReloadFix.dll                      0x7FFDC7800000
PowerGridTools.dll                 0x7FFDC7D00000
po3_SimpleOffenceSuppressionF4.dll 0x7FFDC7D70000
po3_BaseObjectSwapperF4.dll        0x7FFDC7E00000
place.dll                          0x7FFDC7F10000
PipboyTabs.dll                     0x7FFDC7F90000
NVIDIA_Reflex.dll                  0x7FFDC7FF0000
mcm.dll                            0x7FFDC80C0000
nvldumdx.dll                       0x7FFDC8A50000
Outfit-ReDress-Fix.dll             0x7FFDC8B20000
LighthousePapyrusExtender.dll      0x7FFDC8B70000
auto_backup_executable.dll         0x7FFDC8C80000
MGEFConditionFix.dll               0x7FFDC93C0000
LongLoadingTimesFix.dll            0x7FFDC9410000
CONCRT140.dll                      0x7FFDCA8D0000
Interior-NavCut-Fix.dll            0x7FFDCA920000
GardenOfEdenPapyrusExtender.dll    0x7FFDCA970000
D3DCOMPILER_43.dll                 0x7FFDCAB40000
HighFPSPhysicsFix.dll              0x7FFDCB020000
f4ee.dll                           0x7FFDCB0B0000
hudextension.dll                   0x7FFDD0390000
Buffout4.dll                       0x7FFDD03E0000
faster_workshop.dll                0x7FFDD29E0000
f4se_1_10_163.dll                  0x7FFDD2AB0000
f4pm.dll                           0x7FFDD2EE0000
flexRelease_x64.dll                0x7FFDD2F50000
EscapeFreeze.dll                   0x7FFDD36A0000
EnergyWeaponCalcFix.dll            0x7FFDD3760000
DisableExitSave.dll                0x7FFDD37B0000
DirectHit.dll                      0x7FFDD3800000
Deadeye.dll                        0x7FFDD3860000
usvfs_x64.dll                      0x7FFDD5120000
BakaScrapHeap.dll                  0x7FFDD5320000
BakaMaxPapyrusOps.dll              0x7FFDD53F0000
BakaFramework.dll                  0x7FFDD54A0000
crafting_highlight_fix.dll         0x7FFDD6450000
CookableGrenade.dll                0x7FFDD7500000
ClockWidget.dll                    0x7FFDD78A0000
cudart64_75.dll                    0x7FFDD79C0000
GFSDK_GodraysLib.x64.dll           0x7FFDD7A20000
MSVCR110.dll                       0x7FFDD7A80000
cbp.dll                            0x7FFDD8B90000
steam_api64.dll                    0x7FFDD9040000
pppl.dll                           0x7FFDD9230000
enbhelperf4.dll                    0x7FFDD9640000
ArmorPenetrationBugFix.dll         0x7FFDDD320000
WININET.dll                        0x7FFDDE7C0000
def_ui.dll                         0x7FFDE02A0000
webio.dll                          0x7FFDE0CB0000
GFSDK_SSAO_D3D11.win64.dll         0x7FFDE10D0000
d3dx11_43.dll                      0x7FFDE2530000
flexExtRelease_x64.dll             0x7FFDE2730000
cc_cleaner.dll                     0x7FFDE28A0000
PriorityMod.dll                    0x7FFDE2B60000
f4se_steam_loader.dll              0x7FFDE2C00000
MSVCP110.dll                       0x7FFDE2CB0000
bink2w64.dll                       0x7FFDE2E00000
encounter_zone_recalculation.dll   0x7FFDE2EB0000
BetterConsole.dll                  0x7FFDE4940000
ResampleDmo.DLL                    0x7FFDE4AB0000
DSOUND.DLL                         0x7FFDE4B70000
xinput1_4.dll                      0x7FFDE51E0000
ncryptsslp.dll                     0x7FFDE60C0000
VCRUNTIME140_1.dll                 0x7FFDE6100000
MSVCP140.dll                       0x7FFDE6310000
VCRUNTIME140.dll                   0x7FFDE63A0000
AUDIOSES.DLL                       0x7FFDE8250000
winmmbase.dll                      0x7FFDEB810000
COMCTL32.dll                       0x7FFDEBD00000
gdiplus.dll                        0x7FFDEBF90000
MpOav.dll                          0x7FFDECBE0000
MessageBus.dll                     0x7FFDEDD30000
textinputframework.dll             0x7FFDEE4E0000
fastprox.dll                       0x7FFDEE610000
inputhost.dll                      0x7FFDEE790000
wbemsvc.dll                        0x7FFDF04A0000
amsi.dll                           0x7FFDF04C0000
Bastion.dll                        0x7FFDF09E0000
WeaponDebrisCrashFix.dll           0x7FFDF0BB0000
OneCoreCommonProxyStub.dll         0x7FFDF0EE0000
nvapi64.dll                        0x7FFDF3A60000
wbemcomn.dll                       0x7FFDF4300000
WINMM.dll                          0x7FFDF54F0000
igc64.dll                          0x7FFDF60F0000
igdgmm64.dll                       0x7FFDF9AE0000
igd10um64gen11.DLL                 0x7FFDF9F60000
igd10iumd64.dll                    0x7FFDFA680000
OneCoreUAPCommonProxyStub.dll      0x7FFDFA9A0000
dbghelp.dll                        0x7FFDFCF40000
Windows.UI.dll                     0x7FFDFF7E0000
CoreUIComponents.dll               0x7FFDFF960000
rasadhlp.dll                       0x7FFE01120000
avrt.dll                           0x7FFE01180000
directxdatabasehelper.dll          0x7FFE012E0000
wbemprox.dll                       0x7FFE01750000
fwpuclnt.dll                       0x7FFE01F30000
drvstore.dll                       0x7FFE02BF0000
MMDevApi.dll                       0x7FFE02EC0000
cryptnet.dll                       0x7FFE03020000
msdmo.dll                          0x7FFE03530000
dhcpcsvc.DLL                       0x7FFE03610000
WINHTTP.dll                        0x7FFE03840000
d3d11.dll                          0x7FFE03AC0000
dhcpcsvc6.DLL                      0x7FFE03D30000
D3DCOMPILER_47.dll                 0x7FFE04730000
dcomp.dll                          0x7FFE04B40000
CoreMessaging.dll                  0x7FFE04D90000
