XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x00006F1C0000
steam_api64.dll                    0x00006F1D0000
d3d11.dll                          0x000180000000
LL_fourPlay_1_10_163.dll           0x02A2ACE40000
BakaFramework.dll                  0x02A2BA740000
Fallout4.exe                       0x7FF73D840000
nvwgf2umx.dll                      0x7FFE35D60000
d3dcompiler_47_64.dll              0x7FFE630A0000
NvCamera64.dll                     0x7FFE634B0000
steamclient64.dll                  0x7FFE63D20000
nvspcap64.dll                      0x7FFE654A0000
ResampleDmo.DLL                    0x7FFE658C0000
DSOUND.DLL                         0x7FFE65980000
XAudio2_7.dll                      0x7FFE65EE0000
nvldumdx.dll                       0x7FFE65F70000
d3dcompiler_46e.dll                0x7FFE66030000
gameoverlayrenderer64.dll          0x7FFE663F0000
wsfw_identifier.dll                0x7FFE66590000
ShadowBoostFO4.dll                 0x7FFE66690000
po3_SpellPerkItemDistributorF4.dll 0x7FFE66760000
Buffout4.dll                       0x7FFE66870000
XDI.dll                            0x7FFE67740000
RobCo_Patcher.dll                  0x7FFE67E70000
po3_BaseObjectSwapperF4.dll        0x7FFE67F60000
ProjectMojave.dll                  0x7FFE68AA0000
PowerGridTools.dll                 0x7FFE68B20000
PipboyTabs.dll                     0x7FFE68C70000
NVIDIA_Reflex.dll                  0x7FFE68CD0000
BLD_Helper.dll                     0x7FFE68DA0000
D3DCOMPILER_43.dll                 0x7FFE69100000
nvgpucomp64.dll                    0x7FFE7FAC0000
LighthousePapyrusExtender.dll      0x7FFE83490000
mcm.dll                            0x7FFE83CD0000
MODExplorer.dll                    0x7FFE84520000
LongLoadingTimesFix.dll            0x7FFE845A0000
HHS.dll                            0x7FFE84600000
f4ee.dll                           0x7FFE846F0000
HighFPSPhysicsFix.dll              0x7FFE910A0000
hudextension.dll                   0x7FFE920C0000
f4pm.dll                           0x7FFE92270000
BulletCountedReload.dll            0x7FFE94100000
BakaScrapHeap.dll                  0x7FFE94190000
flexRelease_x64.dll                0x7FFE94260000
PriorityMod.dll                    0x7FFEA0A10000
cudart64_75.dll                    0x7FFEA0A40000
GFSDK_SSAO_D3D11.win64.dll         0x7FFEA0AA0000
MSVCR110.dll                       0x7FFEA0B30000
GLXRM_ScalingFlagRemover.dll       0x7FFEA1120000
f4se_1_10_163.dll                  0x7FFEA1260000
GFSDK_GodraysLib.x64.dll           0x7FFEA15D0000
flexExtRelease_x64.dll             0x7FFEA1630000
