XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000064020000
steam_api64.dll               0x000064030000
mdnsNSP.dll                   0x000064180000
Fallout4.exe                  0x7FF776940000
steamclient64.dll             0x7FFD81330000
nvcuda64.dll                  0x7FFD962D0000
NvCamera64.dll                0x7FFD96CF0000
d3dcompiler_47_64.dll         0x7FFDAC090000
gameoverlayrenderer64.dll     0x7FFDB56F0000
wsfw_identifier.dll           0x7FFDB5D60000
f4ee.dll                      0x7FFDB65A0000
Buffout4.dll                  0x7FFDB66B0000
f4se_1_10_163.dll             0x7FFDB7330000
tier0_s64.dll                 0x7FFDB7410000
flexRelease_x64.dll           0x7FFDB9FD0000
XAudio2_7.dll                 0x7FFDBCBD0000
BulletCountedReload.dll       0x7FFDBD9E0000
vstdlib_s64.dll               0x7FFDBE5E0000
XDI.dll                       0x7FFDBE8D0000
GFSDK_SSAO_D3D11.win64.dll    0x7FFDBE940000
MSVCR110.dll                  0x7FFDBEB10000
PowerGridTools.dll            0x7FFDBED20000
BetterConsole.dll             0x7FFDC0430000
DINPUT8.dll                   0x7FFDC0E80000
cudart64_75.dll               0x7FFDC1D20000
MSVCP110.dll                  0x7FFDC1D80000
f4se_steam_loader.dll         0x7FFDC6A40000
nvspcap64.dll                 0x7FFDCD010000
bink2w64.dll                  0x7FFDCD800000
winmmbase.dll                 0x7FFDD1530000
GFSDK_GodraysLib.x64.dll      0x7FFDD3480000
MessageBus.dll                0x7FFDDC4B0000
flexExtRelease_x64.dll        0x7FFDDFF50000
DSOUND.DLL                    0x7FFDE1F10000
mskeyprotect.dll              0x7FFDE4470000
ncryptsslp.dll                0x7FFDE4530000
webio.dll                     0x7FFDE4560000
XINPUT9_1_0.dll               0x7FFDE5A60000
nvwgf2umx.dll                 0x7FFDE60A0000
NvMessageBus.dll              0x7FFDEA7C0000
fastprox.dll                  0x7FFDEAE10000
textinputframework.dll        0x7FFDEAFA0000
inputhost.dll                 0x7FFDEB0A0000
Windows.UI.dll                0x7FFDEB200000
wbemcomn.dll                  0x7FFDEB400000
nvapi64.dll                   0x7FFDEB9D0000
Secur32.dll                   0x7FFDEC490000
OneCoreCommonProxyStub.dll    0x7FFDEC740000
nvgpucomp64.dll               0x7FFDED290000
dbghelp.dll                   0x7FFDF0590000
WINMM.dll                     0x7FFDF0ED0000
nvToolsExt64_1.dll            0x7FFDF29F0000
COMCTL32.dll                  0x7FFDF3370000
MpOav.dll                     0x7FFDF3610000
amsi.dll                      0x7FFDF3880000
wbemsvc.dll                   0x7FFDF4210000
nvldumdx.dll                  0x7FFDF44D0000
OneCoreUAPCommonProxyStub.dll 0x7FFDF4650000
dxcore.dll                    0x7FFDF4F50000
wbemprox.dll                  0x7FFDF4F90000
fwpuclnt.dll                  0x7FFDF5730000
drvstore.dll                  0x7FFDF5870000
cryptnet.dll                  0x7FFDF59C0000
VERSION.dll                   0x7FFDF5A90000
rasadhlp.dll                  0x7FFDF5D60000
MMDevApi.dll                  0x7FFDF60D0000
AUDIOSES.DLL                  0x7FFDF6160000
WindowsCodecs.dll             0x7FFDF62F0000
WINHTTP.dll                   0x7FFDF64B0000
twinapi.appcore.dll           0x7FFDF6870000
WindowManagementAPI.dll       0x7FFDF6BF0000
dhcpcsvc.DLL                  0x7FFDF6EB0000
dhcpcsvc6.DLL                 0x7FFDF6ED0000
WINNSI.DLL                    0x7FFDF7120000
avrt.dll                      0x7FFDF7130000
PROPSYS.dll                   0x7FFDF7F00000
d3d11.dll                     0x7FFDF8080000
wintypes.dll                  0x7FFDF8E70000
dcomp.dll                     0x7FFDF8FD0000
CoreUIComponents.dll          0x7FFDF9540000
CoreMessaging.dll             0x7FFDF98A0000
uxtheme.dll                   0x7FFDF9D90000
resourcepolicyclient.dll      0x7FFDF9E50000
dwmapi.dll                    0x7FFDFA150000
kernel.appcore.dll            0x7FFDFA260000
windows.storage.dll           0x7FFDFA460000
HID.DLL                       0x7FFDFAC00000
dxgi.dll                      0x7FFDFAD60000
schannel.DLL                  0x7FFDFB2F0000
rsaenh.dll                    0x7FFDFB3E0000
ntmarta.dll                   0x7FFDFB500000
UMPDC.dll                     0x7FFDFB7A0000
IPHLPAPI.DLL                  0x7FFDFB7C0000
DNSAPI.dll                    0x7FFDFB800000
powrprof.dll                  0x7FFDFB8E0000
MSWSOCK.dll                   0x7FFDFBB20000
CRYPTBASE.DLL                 0x7FFDFBD10000
CRYPTSP.dll                   0x7FFDFBD20000
Wldp.dll                      0x7FFDFBDC0000
NTASN1.dll                    0x7FFDFBDF0000
ncrypt.dll                    0x7FFDFBE30000
msasn1.dll                    0x7FFDFBF50000
devobj.dll                    0x7FFDFC120000
DPAPI.DLL                     0x7FFDFC180000
USERENV.dll                   0x7FFDFC240000
SSPICLI.DLL                   0x7FFDFC270000
profapi.dll                   0x7FFDFC2C0000
KERNELBASE.dll                0x7FFDFC390000
CRYPT32.dll                   0x7FFDFC690000
ucrtbase.dll                  0x7FFDFC7F0000
wintrust.dll                  0x7FFDFC8F0000
bcryptPrimitives.dll          0x7FFDFC960000
msvcp_win.dll                 0x7FFDFCAA0000
win32u.dll                    0x7FFDFCB40000
gdi32full.dll                 0x7FFDFCB70000
cfgmgr32.dll                  0x7FFDFCC90000
bcrypt.dll                    0x7FFDFCCE0000
sechost.dll                   0x7FFDFCD10000
SETUPAPI.dll                  0x7FFDFCDB0000
MSCTF.dll                     0x7FFDFD220000
shlwapi.dll                   0x7FFDFD340000
NSI.dll                       0x7FFDFD3B0000
KERNEL32.DLL                  0x7FFDFD3C0000
RPCRT4.dll                    0x7FFDFD480000
IMM32.DLL                     0x7FFDFD820000
GDI32.dll                     0x7FFDFD860000
PSAPI.DLL                     0x7FFDFD890000
msvcrt.dll                    0x7FFDFD8A0000
clbcatq.dll                   0x7FFDFD9D0000
WS2_32.dll                    0x7FFDFDA80000
OLEAUT32.dll                  0x7FFDFDAF0000
SHCORE.dll                    0x7FFDFDCA0000
ole32.dll                     0x7FFDFDD50000
imagehlp.dll                  0x7FFDFDE80000
combase.dll                   0x7FFDFDEA0000
COMDLG32.dll                  0x7FFDFE200000
SHELL32.dll                   0x7FFDFE2E0000
USER32.dll                    0x7FFDFEA30000
ADVAPI32.dll                  0x7FFDFEBD0000
ntdll.dll                     0x7FFDFECD0000
