[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     WorkshopFramework.esm
[09]     HUDFramework.esm
[0A]     SS2.esm
[0B]     SS2_XPAC_Chapter2.esm
[0C]     SS2_XPAC_Chapter3.esm
[0D]     AmericaRising2.esm
[0E]     XDI.esm
[0F]     CWPointLookoutFO4.esm
[10]     DCGuard_Overhaul.esp
[11]     SouthOfTheSea.esm
[12]     TrueStormsFO4.esm
[13]     ArmorKeywords.esm
[14]     MutantMenagerie.esm
[15]     integratedcommonwealth.esm
[16]     ProjectZeta.esm
[17]     MaxwellsWorl.esp
[18]     SS2-Jampads2.esp
[19]     CBBE.esp
[1A]     SS2WastelandVenturers.esp
[1B]     [SS20Addon] SimSettlements SuperStructures.esp
[1C]     SS2_Addon_NWE.esp
[1D]     SS2_Addon_R2R.esp
[1E]     SS2_Addon_FHE.esp
[1F]     3dnpc_fo4.esp
[20]     OutcastsAndRemnants.esp
[21]     Wasteland Illumination.esp
[22]     ImmersiveDrumlinDiner.esp
[23]     Vault4.esp
[24]     Stm_DiamondCityExpansion.esp
[25]     3DNPC_FO4Settler.esp
[26]     3DNPC_FO4_DLC.esp
[27]     ProjectValkyrie.esp
[28]     OldTimeReligion.esp
[29]     ellen.esp
[2A]     Miami Misadventures EP1.esp
[2B]     0_Vault120.esp
[2C]     AtomicRadio.esp
[2D]     Eli_Armour_Compendium.esp
[2E]     SettlementMenuManager.esp
[2F]     AzarPonytailHairstyles.esp
[30]     PD_LowerWeapon.esp
[31]     BetterSettlers.esp
[32]     DarkerNightsDetection.esp
[33]     FO4 NPCs Travel.esp
[34]     SkipDiMAMemories.esp
[35]     TheEyesOfBeauty.esp
[36]     Nexus_PMC.esp
[37]     Better_Notes.esp
[38]     Publick Occurrences Expanded.esp
[39]     Vault-Tec Workshop Overhaul Redux.esp
[3A]     W.A.T.Minutemen.esp
[3B]     cVc Dead Wasteland 6.esp
[3C]     cVc Dead Wasteland 6 DLC.esp
[3D]     cVc Dead Wasteland 6 DLC3.esp
[3E]     KSHairdos.esp
[3F]     cVc Dead Wasteland 6 DLC2.esp
[40]     WattzLaserGun.esp
[41]     ClassicSniper.esp
[42]     LooksMenu Customization Compendium.esp
[43]     The Eyes Of Beauty.esp
[44]     Vault88 - Essentials.esp
[45]     DCRE.esp
[46]     OWR.esp
[47]     OWR_CraftableDecor.esp
[48]     Cho1SS2FlagsMod.esp
[49]     Graffity2ElectricBoogaloo.esp
[4A]     Lore Friendly Posters.esp
[4B]     WorkingNCMachine.esp
[4C]     cVc Fishery.esp
[4D]     Rebel of Apocalypse.esp
[4E]     PMC_extended.esp
[4F]     CombinedArmsNV.esp
[50]     Backpacks of the Commonwealth.esp
[51]     Mk41GyrojetHMG.esp
[52]     CorvalhoWidowShotgun.esp
[53]     AER15.esp
[54]     X12Plasmacaster.esp
[55]     BullpupBozar.esp
[56]     ACR-W17.esp
[57]     HN66-SiriusArmor.esp
[58]     TERARogue.esp
[59]     tschutschiWardrobe2.esp
[5A]     Viper6610.esp
[5B]     WestTekTacticalOptics.esp
[5C]     Armorsmith Extended.esp
[5D]     Tactical Flashlights.esp
[5E]     Tactical Flashlights - Settings.esp
[5F]     MikesFallout Flags.esp
[60]     Clean & Smooth - Commonwealth Collection.esp
[61]     NukaWorldReborn.esp
[62]     NukaWorldPlus.esp
[63]     MoreUniques.esp
[64]     WelcometoGoodneighbor.esp
[65]     BTInteriors_Project.esp
[66]     subwayrunnnerdynamiclighting.esp
[67]     clothingoverhaul.esp
[68]     FunctionalDisplays.esp
[69]     FunctionalDisplays-Collectibles.esp
[6A]     FunctionalDisplays-MISC-Vanilla.esp
[6B]     nvvault1080.esp
[6C]     MojaveImports.esp
[6D]     CrimeTown.esp
[6E]     Underground Railroad.esp
[6F]     MadRock-999-01.esp
[70]     DiamondCitywithoutTrash0.5.esp
[71]     crowdedcommonwealth.esp
[72]     CombatZoneRestored.esp
[73]     Kellogg_House.esp
[74]     DiamondCitywithoutTrash0.21.esp
[75]     WRVR.esp
[76]     PennsWoods.esp
[77]     Integration.esp
[78]     MikeMooresMCAM.esp
[79]     mjp_PTRS41ATR.esp
[7A]     SCAR-L.esp
[7B]     M14.esp
[7C]     FusionCoreRefueler.esp
[7D]     This is MY Bed (Basic).esp
[7E]     TravisTips.esp
[7F]     BetterOpenSeason.esp
[80]     Galaxy News Radio.esp
[81]     Modern Firearms.esp
[82]     UniqueUniques.esp
[83]     MilitarizedMinutemen.esp
[84]     bigenoughradio.esp
[85]     NVUMP.esp
[86]     DOOMMerged.esp
[87]     mk14.esp
[88]     Survivalist.esp
[89]     TheRon_MapMarker.esp
[8A]     MP40.esp
[8B]     45autoPistol.esp
[8C]     MG42.esp
[8D]     Zapgun.esp
[8E]     CWCreateABot.esp
[8F]     raptureradio.esp
[90]     M1Garand.esp
[91]     P90.esp
[92]     P90NPC.esp
[93]     M60-M60E3.esp
[94]     QuantumBox.esp
[95]     M2045MagnumRevolverRifle.esp
[96]     AK74M.esp
[97]     P99.esp
[98]     SVT40.esp
[99]     SVT40-AWKCR.esp
[9A]     SimpleSurvivalConsole.esp
[9B]     StG44.esp
[9C]     NAC.esp
[9D]     Waterworld.esp
[9E]     SkibsWeapons-REDUX.esp
[9F]     MilitarisedMinutemen_PatchesAddon.esp
[A0]     Crimsomrider's Illusive Man's Eyes.esp
[A1]     VtawWardrobe1.esp
[A2]     Clothing Of The Commonwealth.esp
