XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x00005AE20000
steam_api64.dll               0x00005AE30000
Fallout4.exe                  0x7FF6D6D90000
nvcuda64.dll                  0x7FF878640000
steamclient64.dll             0x7FF88DEB0000
nvcuda.dll                    0x7FF89D0E0000
Buffout4.dll                  0x7FF89FC00000
IPHLPAPI.DLL                  0x7FF8A0770000
gameoverlayrenderer64.dll     0x7FF8A8100000
ResampleDmo.DLL               0x7FF8AD0F0000
DSOUND.DLL                    0x7FF8AD1B0000
msdmo.dll                     0x7FF8D5990000
nvspcap64.dll                 0x7FF8D6D10000
tier0_s64.dll                 0x7FF8D89C0000
nvwgf2umx.dll                 0x7FF8E1840000
nvgpucomp64.dll               0x7FF8E59F0000
nvldumdx.dll                  0x7FF8E7C10000
PhysXDevice64.dll             0x7FF8F1570000
XAudio2_7.dll                 0x7FF8F1630000
f4se_1_10_163.dll             0x7FF8F19B0000
vstdlib_s64.dll               0x7FF8F1C20000
usvfs_x64.dll                 0x7FF8F7300000
flexRelease_x64.dll           0x7FF8FECF0000
cudart64_75.dll               0x7FF8FF8F0000
webio.dll                     0x7FF90D510000
OneCoreCommonProxyStub.dll    0x7FF916DC0000
GFSDK_GodraysLib.x64.dll      0x7FF9185F0000
GFSDK_SSAO_D3D11.win64.dll    0x7FF918650000
MSVCP110.dll                  0x7FF918BA0000
Windows.UI.dll                0x7FF922D50000
ncryptsslp.dll                0x7FF926290000
VCRUNTIME140.dll              0x7FF928240000
MSVCP140.dll                  0x7FF928260000
VCRUNTIME140_1.dll            0x7FF928430000
textinputframework.dll        0x7FF92DC00000
AUDIOSES.DLL                  0x7FF92E260000
wbemsvc.dll                   0x7FF92E7A0000
fastprox.dll                  0x7FF92EE50000
NvMessageBus.dll              0x7FF92F660000
MSVCR110.dll                  0x7FF933090000
flexExtRelease_x64.dll        0x7FF933210000
bink2w64.dll                  0x7FF933270000
winmmbase.dll                 0x7FF933AD0000
WINSPOOL.DRV                  0x7FF935530000
COMCTL32.dll                  0x7FF9355E0000
MSIMG32.dll                   0x7FF935A40000
f4se_steam_loader.dll         0x7FF935B30000
wbemcomn.dll                  0x7FF936100000
MpOav.dll                     0x7FF936280000
amsi.dll                      0x7FF936310000
nvapi64.dll                   0x7FF9365C0000
OneCoreUAPCommonProxyStub.dll 0x7FF939D60000
CoreUIComponents.dll          0x7FF93BAE0000
wbemprox.dll                  0x7FF93C4F0000
MMDevApi.dll                  0x7FF93C760000
drvstore.dll                  0x7FF93D280000
cryptnet.dll                  0x7FF93D440000
VERSION.dll                   0x7FF93DC80000
directxdatabasehelper.dll     0x7FF93E520000
rasadhlp.dll                  0x7FF93E720000
WINMM.dll                     0x7FF93E730000
fwpuclnt.dll                  0x7FF93E9D0000
avrt.dll                      0x7FF93EDA0000
dhcpcsvc.DLL                  0x7FF93FF10000
dhcpcsvc6.DLL                 0x7FF940140000
WINHTTP.dll                   0x7FF940330000
nvToolsExt64_1.dll            0x7FF9410C0000
d3d11.dll                     0x7FF9415D0000
dcomp.dll                     0x7FF941E20000
CoreMessaging.dll             0x7FF942650000
apphelp.dll                   0x7FF942F60000
UxTheme.dll                   0x7FF943640000
WINNSI.DLL                    0x7FF9437A0000
dxcore.dll                    0x7FF943810000
dxgi.dll                      0x7FF943860000
dwmapi.dll                    0x7FF943970000
DbgHelp.dll                   0x7FF943CA0000
resourcepolicyclient.dll      0x7FF943F20000
wintypes.dll                  0x7FF9444B0000
windows.storage.dll           0x7FF9445F0000
HID.DLL                       0x7FF944EF0000
IpHlpAPI.dll                  0x7FF9451C0000
DNSAPI.dll                    0x7FF945230000
UMPDC.dll                     0x7FF945500000
POWRPROF.dll                  0x7FF945520000
Secur32.dll                   0x7FF945590000
schannel.DLL                  0x7FF945610000
rsaenh.dll                    0x7FF945720000
kernel.appcore.dll            0x7FF9457D0000
ntmarta.dll                   0x7FF9457F0000
